index,left,top,right,bottom,section,line,content
0,43.75,50,115.203125,120.0,question,0,What
1,115.203125,50,172.171875,120.0,question,0,best
2,172.171875,50,290.15625,120.0,question,0,describes
3,290.15625,50,335.3828125,120.0,question,0,the
4,335.3828125,50,481.625,120.0,question,0,relationship
5,481.625,50,589.5078125,120.0,question,0,between
6,589.5078125,50,673.828125,120.0,question,0,Rachel
7,673.828125,50,725.0859375,120.0,question,0,and
8,725.0859375,50,791.96875,120.0,question,0,Jack?
9,93.40625,190.0,159.140625,260.0,option:0,0,They
10,159.140625,190.0,212.140625,260.0,option:0,0,met
11,212.140625,190.0,296.90625,260.0,option:0,0,during
12,296.90625,190.0,317.40625,260.0,option:0,0,a
13,317.40625,190.0,393.765625,260.0,option:0,0,storm
14,393.765625,190.0,445.296875,260.0,option:0,0,and
15,445.296875,190.0,543.875,260.0,option:0,0,became
16,543.875,190.0,643.296875,260.0,option:0,0,friends.
17,93.40625,260.0,158.78125,330.0,option:1,0,They
18,158.78125,260.0,223.3125,330.0,option:1,0,were
19,223.3125,260.0,332.546875,330.0,option:1,0,business
20,332.546875,260.0,439.65625,330.0,option:1,0,partners
21,439.65625,260.0,523.09375,330.0,option:1,0,before
22,523.09375,260.0,567.453125,330.0,option:1,0,the
23,567.453125,260.0,636.203125,330.0,option:1,0,flight
24,636.203125,260.0,714.171875,330.0,option:1,0,delay.
25,93.40625,330.0,158.96875,400.0,option:2,0,They
26,158.96875,330.0,249.875,400.0,option:2,0,argued
27,249.875,330.0,325.5625,400.0,option:2,0,about
28,325.5625,330.0,414.40625,400.0,option:2,0,missed
29,414.40625,330.0,504.890625,400.0,option:2,0,flights.
30,93.40625,400.0,158.78125,470.0,option:3,0,They
31,158.78125,400.0,223.3515625,470.0,option:3,0,were
32,223.3515625,400.0,334.28125,470.0,option:3,0,longtime
33,334.28125,400.0,423.9140625,470.0,option:3,0,friends
34,423.9140625,400.0,547.796875,470.0,option:3,0,reuniting.
