index,left,top,right,bottom,section,line,content
1169,49.96875,80.5,61.96875,94.5,,0,s
1170,62.0,77.5,71.0,94.5,,0,t
1171,71.03125,80.5,85.03125,94.5,,0,a
1172,85.359375,80.5,95.359375,94.5,,0,r
1173,95.390625,77.5,104.390625,94.5,,0,t
1174,104.84375,80.5,119.84375,94.5,,0,u
1175,120.21875,80.5,135.21875,100.5,,0,p
1176,134.921875,91.5,141.921875,94.5,,0,.
1177,141.421875,94.5,148.421875,94.5,,0, 
1178,148.328125,76.5,162.328125,94.5,,0,T
1179,162.78125,75.5,177.78125,94.5,,0,h
1180,177.875,80.5,191.875,94.5,,0,e
1181,191.375,94.5,198.375,94.5,,0, 
1182,198.34375,80.5,210.34375,94.5,,0,s
1183,210.796875,75.5,225.796875,94.5,,0,h
1184,225.828125,80.5,239.828125,94.5,,0,a
1185,240.15625,80.5,250.15625,94.5,,0,r
1186,249.75,80.5,263.75,94.5,,0,e
1187,264.125,75.5,279.125,94.5,,0,d
1188,278.625,94.5,285.625,94.5,,0, 
1189,284.21875,75.5,294.21875,94.5,,0,f
1190,294.546875,80.5,304.546875,94.5,,0,r
1191,305.0,80.5,320.0,94.5,,0,u
1192,319.96875,80.5,331.96875,94.5,,0,s
1193,332.0,77.5,341.0,94.5,,0,t
1194,341.328125,80.5,351.328125,94.5,,0,r
1195,350.859375,80.5,364.859375,94.5,,0,a
1196,364.890625,77.5,373.890625,94.5,,0,t
1197,374.34375,75.5,380.34375,94.5,,0,i
1198,380.46875,80.5,395.46875,94.5,,0,o
1199,395.921875,80.5,410.921875,94.5,,0,n
1200,410.421875,94.5,417.421875,94.5,,0, 
1201,417.796875,75.5,432.796875,94.5,,0,d
1202,433.25,75.5,439.25,94.5,,0,i
1203,439.21875,80.5,451.21875,94.5,,0,s
1204,451.1875,80.5,463.1875,94.5,,0,s
1205,463.640625,75.5,469.640625,94.5,,0,i
1206,470.015625,80.5,485.015625,100.5,,0,p
1207,485.046875,80.5,499.046875,94.5,,0,a
1208,499.078125,77.5,508.078125,94.5,,0,t
1209,508.171875,80.5,522.171875,94.5,,0,e
1210,522.546875,75.5,537.546875,94.5,,0,d
1211,537.25,91.5,544.25,97.5,,0,","
1212,543.75,94.5,550.75,94.5,,0, 
1213,551.078125,80.5,561.078125,94.5,,0,r
1214,560.671875,80.5,574.671875,94.5,,0,e
1215,575.046875,80.5,590.046875,100.5,,0,p
1216,590.5,75.5,596.5,94.5,,0,l
1217,596.53125,80.5,610.53125,94.5,,0,a
1218,610.53125,80.5,622.53125,94.5,,0,c
1219,622.625,80.5,636.625,94.5,,0,e
1220,637.0,75.5,652.0,94.5,,0,d
1221,651.5,94.5,658.5,94.5,,0, 
1222,658.875,75.5,673.875,94.5,,0,b
1223,673.125,80.5,686.125,100.5,,0,y
1224,685.625,94.5,692.625,94.5,,0, 
1225,692.65625,80.5,706.65625,94.5,,0,a
1226,707.109375,80.5,722.109375,94.5,,0,n
1227,721.609375,94.5,728.609375,94.5,,0, 
1228,729.0625,80.5,744.0625,94.5,,0,u
1229,744.515625,80.5,759.515625,94.5,,0,n
1230,759.609375,80.5,773.609375,94.5,,0,e
1231,773.328125,80.5,786.328125,94.5,,0,x
1232,786.703125,80.5,801.703125,100.5,,0,p
1233,801.796875,80.5,815.796875,94.5,,0,e
1234,815.796875,80.5,827.796875,94.5,,0,c
1235,827.828125,77.5,836.828125,94.5,,0,t
1236,836.921875,80.5,850.921875,94.5,,0,e
1237,851.296875,75.5,866.296875,94.5,,0,d
1238,865.796875,94.5,872.796875,94.5,,0, 
1239,872.796875,80.5,884.796875,94.5,,0,c
1240,884.828125,80.5,898.828125,94.5,,0,a
1241,899.203125,80.5,922.203125,94.5,,0,m
1242,922.234375,80.5,936.234375,94.5,,0,a
1243,936.5625,80.5,946.5625,94.5,,0,r
1244,946.09375,80.5,960.09375,94.5,,0,a
1245,960.46875,75.5,975.46875,94.5,,0,d
1246,975.5625,80.5,989.5625,94.5,,0,e
1247,989.890625,80.5,999.890625,94.5,,0,r
1248,1000.34375,75.5,1006.34375,94.5,,0,i
1249,1006.4375,80.5,1020.4375,94.5,,0,e
1250,1020.140625,91.5,1027.140625,94.5,,0,.
1251,49.96875,216.5,65.96875,234.5,,2,A
1252,65.9375,220.5,77.9375,234.5,,2,s
1253,77.4375,234.5,84.4375,234.5,,2, 
1254,84.46875,217.5,93.46875,234.5,,2,t
1255,93.921875,215.5,108.921875,234.5,,2,h
1256,109.015625,220.5,123.015625,234.5,,2,e
1257,122.515625,234.5,129.515625,234.5,,2, 
1258,129.96875,215.5,144.96875,234.5,,2,h
1259,145.09375,220.5,160.09375,234.5,,2,o
1260,160.546875,220.5,175.546875,234.5,,2,u
1261,175.875,220.5,185.875,234.5,,2,r
1262,185.84375,220.5,197.84375,234.5,,2,s
1263,197.34375,234.5,204.34375,234.5,,2, 
1264,204.375,217.5,213.375,234.5,,2,t
