index,left,top,right,bottom,section,line,content
166,43.46875,50,145.125,120.0,,0,startup.
167,145.125,50,195.109375,120.0,,0,The
168,195.109375,50,281.671875,120.0,,0,shared
169,281.671875,50,414.359375,120.0,,0,frustration
170,414.359375,50,547.6640625,120.0,,0,"dissipated,"
171,547.6640625,50,655.4375,120.0,,0,replaced
172,655.4375,50,689.390625,120.0,,0,by
173,689.390625,50,725.5859375,120.0,,0,an
174,725.5859375,50,869.546875,120.0,,0,unexpected
175,869.546875,50,1033.640625,120.0,,0,camaraderie.
176,43.46875,190.0,81.203125,260.0,,2,As
177,81.203125,190.0,126.4921875,260.0,,2,the
178,126.4921875,190.0,201.109375,260.0,,2,hours
179,201.109375,190.0,278.078125,260.0,,2,ticked
180,278.078125,190.0,317.734375,260.0,,2,"by,"
181,317.734375,190.0,362.8125,260.0,,2,the
182,362.8125,190.0,467.328125,260.0,,2,airport's
183,467.328125,190.0,616.203125,260.0,,2,atmosphere
184,616.203125,190.0,779.84375,260.0,,2,transformed.
185,43.21875,260.0,553.3046875,330.0,,3,Strangers-turned-strangers-turned-friends
186,553.3046875,260.0,655.828125,330.0,,3,laughed
187,655.828125,260.0,707.3984375,330.0,,3,and
188,707.3984375,260.0,784.953125,330.0,,3,"joked,"
189,784.953125,260.0,889.9375,330.0,,3,bonding
190,889.9375,260.0,948.140625,330.0,,3,over
191,948.140625,260.0,1013.234375,330.0,,3,their
192,43.46875,330.0,134.1875,400.0,,4,shared
193,134.1875,330.0,288.8203125,400.0,,4,misfortunes.
194,288.8203125,330.0,373.3125,400.0,,4,Rachel
195,373.3125,330.0,506.0546875,400.0,,4,discovered
196,506.0546875,330.0,575.875,400.0,,4,Jack's
197,575.875,330.0,671.859375,400.0,,4,passion
198,671.859375,330.0,713.296875,400.0,,4,for
199,713.296875,330.0,878.25,400.0,,4,"photography,"
200,878.25,330.0,929.8203125,400.0,,4,and
201,929.8203125,330.0,968.890625,400.0,,4,he
202,43.875,400.0,163.71875,470.0,,5,marveled
203,163.71875,400.0,193.4921875,470.0,,5,at
204,193.4921875,400.0,239.8671875,470.0,,5,her
205,239.8671875,400.0,314.796875,470.0,,5,lyrical
206,314.796875,400.0,394.1015625,470.0,,5,prose.
207,394.1015625,400.0,568.421875,470.0,,5,Conversations
208,568.421875,400.0,699.5546875,470.0,,5,"deepened,"
209,699.5546875,400.0,814.1015625,470.0,,5,revealing
210,814.1015625,400.0,905.828125,470.0,,5,hidden
211,43.203125,470.0,217.5625,540.0,,6,vulnerabilities
212,217.5625,470.0,269.1328125,540.0,,6,and
213,269.1328125,470.0,413.09375,540.0,,6,unexpected
214,413.09375,470.0,602.484375,540.0,,6,commonalities.
215,43.03125,610.0,151.875,680.0,,8,"Outside,"
216,151.875,610.0,196.921875,680.0,,8,the
217,196.921875,610.0,273.4296875,680.0,,8,storm
218,273.4296875,610.0,348.53125,680.0,,8,raged
219,348.53125,610.0,392.4765625,680.0,,8,"on,"
220,392.4765625,610.0,425.5,680.0,,8,its
221,425.5,610.0,480.0546875,680.0,,8,fury
222,480.0546875,610.0,606.0,680.0,,8,unabated.
223,606.0,610.0,652.9375,680.0,,8,But
224,652.9375,610.0,732.125,680.0,,8,within
225,732.125,610.0,777.203125,680.0,,8,the
226,777.203125,610.0,881.6875,680.0,,8,airport's
227,881.6875,610.0,960.453125,680.0,,8,sterile
228,960.453125,610.0,1032.40625,680.0,,8,"walls,"
229,1032.40625,610.0,1056.171875,680.0,,8,a
230,43.5,680.0,183.625,750.0,,9,connection
231,183.625,680.0,325.2734375,750.0,,9,blossomed.
232,325.2734375,680.0,409.59375,750.0,,9,Rachel
233,409.59375,680.0,460.8515625,750.0,,9,and
234,460.8515625,680.0,513.6875,750.0,,9,Jack
235,513.6875,680.0,648.4609375,750.0,,9,exchanged
236,648.4609375,680.0,767.671875,750.0,,9,"numbers,"
237,767.671875,680.0,893.40625,750.0,,9,promising
238,893.40625,680.0,924.03125,750.0,,9,to
239,924.03125,680.0,978.5546875,750.0,,9,stay
240,978.5546875,680.0,1009.984375,750.0,,9,in
241,43.53125,750.0,127.0,820.0,,10,touch.
242,127.0,750.0,161.46875,820.0,,10,As
243,161.46875,750.0,218.96875,820.0,,10,they
244,218.96875,750.0,303.34375,820.0,,10,parted
245,303.34375,750.0,375.140625,820.0,,10,"ways,"
246,375.140625,750.0,420.390625,820.0,,10,the
247,420.390625,750.0,556.46875,820.0,,10,departures
248,556.46875,750.0,631.8125,820.0,,10,board
249,631.8125,750.0,739.4375,820.0,,10,flickered
250,739.4375,750.0,800.515625,820.0,,10,back
251,800.515625,750.0,831.3828125,820.0,,10,to
252,831.3828125,750.0,880.140625,820.0,,10,"life,"
253,880.140625,750.0,1006.15625,820.0,,10,displaying
254,1006.15625,750.0,1029.921875,820.0,,10,a
