index,left,top,right,bottom,section,line,content
188,43.171875,50,103.15625,120.0,,0,Max
189,103.15625,50,229.8984375,120.0,,0,shrugged.
190,229.8984375,50,289.796875,120.0,,0,"""Just"
191,289.796875,50,310.5,120.0,,0,a
192,310.5,50,419.5625,120.0,,0,business
193,419.5625,50,474.171875,120.0,,0,trip.
194,474.171875,50,517.171875,120.0,,0,I'm
195,517.171875,50,537.515625,120.0,,0,a
196,537.515625,50,616.796875,120.0,,0,"writer,"
197,616.796875,50,668.375,120.0,,0,and
198,668.375,50,711.375,120.0,,0,I'm
199,711.375,50,787.265625,120.0,,0,trying
200,787.265625,50,818.09375,120.0,,0,to
201,818.09375,50,885.015625,120.0,,0,meet
202,885.015625,50,905.71875,120.0,,0,a
203,905.71875,50,1033.515625,120.0,,0,"deadline."""
204,43.046875,190.0,147.71875,260.0,,2,Rachel's
205,147.71875,190.0,206.8046875,260.0,,2,eyes
206,206.8046875,190.0,235.2421875,260.0,,2,lit
207,235.2421875,190.0,279.1484375,260.0,,2,up.
208,279.1484375,190.0,329.703125,260.0,,2,"""No"
209,329.703125,190.0,389.765625,260.0,,2,way!
210,389.765625,190.0,432.765625,260.0,,2,I'm
211,432.765625,190.0,453.109375,260.0,,2,a
212,453.109375,190.0,529.6875,260.0,,2,writer
213,529.6875,190.0,582.28125,260.0,,2,too.
214,582.28125,190.0,650.09375,260.0,,2,What
215,650.09375,190.0,707.609375,260.0,,2,kind
216,707.609375,190.0,737.59375,260.0,,2,of
217,737.59375,190.0,827.203125,260.0,,2,writing
218,827.203125,190.0,863.890625,260.0,,2,do
219,863.890625,190.0,914.03125,260.0,,2,you
220,914.03125,190.0,975.140625,260.0,,2,"do?"""
221,43.46875,330.0,81.203125,400.0,,4,As
222,81.203125,330.0,138.53125,400.0,,4,they
223,138.53125,330.0,224.0625,400.0,,4,"talked,"
224,224.0625,330.0,269.109375,400.0,,4,the
225,269.109375,330.0,345.4375,400.0,,4,storm
226,345.4375,330.0,443.3515625,400.0,,4,showed
227,443.3515625,330.0,480.1875,400.0,,4,no
228,480.1875,330.0,547.984375,400.0,,4,signs
229,547.984375,330.0,578.3671875,400.0,,4,of
230,578.3671875,330.0,660.7578125,400.0,,4,letting
231,660.7578125,330.0,704.75,400.0,,4,"up,"
232,704.75,330.0,750.9375,400.0,,4,but
233,750.9375,330.0,796.0,400.0,,4,the
234,796.0,330.0,953.5625,400.0,,4,conversation
235,953.5625,330.0,1042.8125,400.0,,4,flowed
236,43.59375,400.0,124.65625,470.0,,5,easily.
237,124.65625,400.0,187.09375,470.0,,5,They
238,187.09375,400.0,319.9375,470.0,,5,discovered
239,319.9375,400.0,340.4375,470.0,,5,a
240,340.4375,400.0,427.9296875,470.0,,5,shared
241,427.9296875,400.0,482.140625,470.0,,5,love
242,482.140625,400.0,512.5234375,470.0,,5,of
243,512.5234375,400.0,627.109375,470.0,,5,literature
244,627.109375,400.0,678.640625,470.0,,5,and
245,678.640625,400.0,760.921875,470.0,,5,"music,"
246,760.921875,400.0,812.453125,470.0,,5,and
247,812.453125,400.0,896.1015625,470.0,,5,before
248,896.1015625,400.0,961.5,470.0,,5,"long,"
249,961.5,400.0,1022.0625,470.0,,5,they
250,43.15625,470.0,111.1484375,540.0,,6,were
251,111.1484375,470.0,221.484375,540.0,,6,laughing
252,221.484375,470.0,273.0546875,540.0,,6,and
253,273.0546875,470.0,351.7578125,540.0,,6,joking
254,351.7578125,470.0,398.4375,540.0,,6,like
255,398.4375,470.0,441.125,540.0,,6,old
256,441.125,470.0,540.546875,540.0,,6,friends.
257,43.46875,610.0,81.203125,680.0,,8,As
258,81.203125,610.0,126.4921875,680.0,,8,the
259,126.4921875,610.0,201.109375,680.0,,8,hours
260,201.109375,610.0,278.078125,680.0,,8,ticked
261,278.078125,610.0,317.734375,680.0,,8,"by,"
262,317.734375,610.0,362.8125,680.0,,8,the
263,362.8125,610.0,449.953125,680.0,,8,airport
264,449.953125,610.0,508.71875,680.0,,8,staff
265,508.71875,610.0,647.65625,680.0,,8,announced
266,647.65625,610.0,701.703125,680.0,,8,that
267,701.703125,610.0,746.75,680.0,,8,the
268,746.75,610.0,823.3203125,680.0,,8,storm
269,823.3203125,610.0,874.453125,680.0,,8,had
270,874.453125,610.0,963.890625,680.0,,8,caused
271,963.890625,610.0,987.65625,680.0,,8,a
272,43.875,680.0,127.390625,750.0,,9,power
273,127.390625,680.0,223.65625,750.0,,9,"outage,"
274,223.65625,680.0,275.015625,750.0,,9,and
275,275.015625,680.0,320.09375,750.0,,9,the
276,320.09375,680.0,425.625,750.0,,9,terminal
277,425.625,680.0,504.546875,750.0,,9,would
278,504.546875,680.0,540.328125,750.0,,9,be
279,540.328125,680.0,622.0703125,750.0,,9,closed
280,622.0703125,680.0,680.484375,750.0,,9,until
281,680.484375,680.0,771.1953125,750.0,,9,further
282,771.1953125,680.0,856.1015625,750.0,,9,notice.
283,856.1015625,680.0,940.421875,750.0,,9,Rachel
284,940.421875,680.0,991.6015625,750.0,,9,and
285,991.6015625,680.0,1051.4375,750.0,,9,Max
286,43.59375,750.0,181.359375,820.0,,10,exchanged
287,181.359375,750.0,202.1015625,820.0,,10,a
288,202.1015625,750.0,265.140625,820.0,,10,"look,"
289,265.140625,750.0,315.78125,820.0,,10,and
290,315.78125,750.0,357.046875,820.0,,10,for
291,357.046875,750.0,377.75,820.0,,10,a
292,377.75,750.0,491.234375,820.0,,10,"moment,"
293,491.234375,750.0,548.734375,820.0,,10,they
294,548.734375,750.0,609.328125,820.0,,10,both
295,609.328125,750.0,654.71875,820.0,,10,felt
296,654.71875,750.0,675.421875,820.0,,10,a
297,675.421875,750.0,742.03125,820.0,,10,pang
298,742.03125,750.0,772.375,820.0,,10,of
299,772.375,750.0,975.234375,820.0,,10,disappointment.
