index,left,top,right,bottom,section,line,content
2115,49.96875,76.5,65.96875,94.5,,0,A
2116,66.421875,80.5,81.421875,94.5,,0,n
2117,81.796875,75.5,96.796875,94.5,,0,d
2118,96.296875,94.5,103.296875,94.5,,0, 
2119,103.265625,80.5,115.265625,94.5,,0,s
2120,115.390625,80.5,130.390625,94.5,,0,o
2121,130.09375,91.5,137.09375,97.5,,0,","
2122,136.59375,94.5,143.59375,94.5,,0, 
2123,143.625,80.5,157.625,94.5,,0,a
2124,157.59375,80.5,169.59375,94.5,,0,s
2125,169.09375,94.5,176.09375,94.5,,0, 
2126,176.125,77.5,185.125,94.5,,0,t
2127,185.578125,75.5,200.578125,94.5,,0,h
2128,200.671875,80.5,214.671875,94.5,,0,e
2129,214.171875,94.5,221.171875,94.5,,0, 
2130,221.140625,80.5,233.140625,94.5,,0,s
2131,233.171875,77.5,242.171875,94.5,,0,t
2132,242.296875,80.5,257.296875,94.5,,0,o
2133,257.625,80.5,267.625,94.5,,0,r
2134,268.0,80.5,291.0,94.5,,0,m
2135,290.5,94.5,297.5,94.5,,0, 
2136,297.828125,80.5,307.828125,94.5,,0,r
2137,307.359375,80.5,321.359375,94.5,,0,a
2138,321.734375,80.5,336.734375,100.5,,0,g
2139,336.828125,80.5,350.828125,94.5,,0,e
2140,351.203125,75.5,366.203125,94.5,,0,d
2141,365.703125,94.5,372.703125,94.5,,0, 
2142,372.828125,80.5,387.828125,94.5,,0,o
2143,388.28125,80.5,403.28125,94.5,,0,n
2144,402.78125,94.5,409.78125,94.5,,0, 
2145,409.90625,80.5,424.90625,94.5,,0,o
2146,425.359375,80.5,440.359375,94.5,,0,u
2147,440.390625,77.5,449.390625,94.5,,0,t
2148,449.359375,80.5,461.359375,94.5,,0,s
2149,461.8125,75.5,467.8125,94.5,,0,i
2150,468.1875,75.5,483.1875,94.5,,0,d
2151,483.28125,80.5,497.28125,94.5,,0,e
2152,496.984375,91.5,503.984375,97.5,,0,","
2153,503.484375,94.5,510.484375,94.5,,0, 
2154,510.03125,76.5,526.03125,94.5,,0,R
2155,526.0625,80.5,540.0625,94.5,,0,a
2156,540.0625,80.5,552.0625,94.5,,0,c
2157,552.515625,75.5,567.515625,94.5,,0,h
2158,567.609375,80.5,581.609375,94.5,,0,e
2159,582.0625,75.5,588.0625,94.5,,0,l
2160,587.5625,94.5,594.5625,94.5,,0, 
2161,594.59375,80.5,608.59375,94.5,,0,a
2162,609.046875,80.5,624.046875,94.5,,0,n
2163,624.421875,75.5,639.421875,94.5,,0,d
2164,638.921875,94.5,645.921875,94.5,,0, 
2165,645.59375,76.5,668.59375,94.5,,0,M
2166,668.625,80.5,682.625,94.5,,0,a
2167,682.84375,80.5,695.84375,94.5,,0,x
2168,695.34375,94.5,702.34375,94.5,,0, 
2169,702.3125,80.5,714.3125,94.5,,0,s
2170,714.34375,80.5,728.34375,94.5,,0,a
2171,728.375,77.5,737.375,94.5,,0,t
2172,736.875,94.5,743.875,94.5,,0, 
2173,744.25,75.5,759.25,94.5,,0,d
2174,759.375,80.5,774.375,94.5,,0,o
2175,773.53125,80.5,793.53125,94.5,,0,w
2176,793.984375,80.5,808.984375,94.5,,0,n
2177,808.484375,94.5,815.484375,94.5,,0, 
2178,815.515625,80.5,829.515625,94.5,,0,a
2179,829.96875,80.5,844.96875,94.5,,0,n
2180,845.34375,75.5,860.34375,94.5,,0,d
2181,859.84375,94.5,866.84375,94.5,,0, 
2182,867.21875,75.5,882.21875,94.5,,0,b
2183,882.3125,80.5,896.3125,94.5,,0,e
2184,896.6875,80.5,911.6875,100.5,,0,g
2185,911.71875,80.5,925.71875,94.5,,0,a
2186,926.171875,80.5,941.171875,94.5,,0,n
2187,940.671875,94.5,947.671875,94.5,,0, 
2188,947.703125,77.5,956.703125,94.5,,0,t
2189,956.828125,80.5,971.828125,94.5,,0,o
2190,971.328125,94.5,978.328125,94.5,,0, 
2191,977.984375,80.5,997.984375,94.5,,0,w
2192,998.3125,80.5,1008.3125,94.5,,0,r
2193,1008.765625,75.5,1014.765625,94.5,,0,i
2194,1014.796875,77.5,1023.796875,94.5,,0,t
2195,1023.890625,80.5,1037.890625,94.5,,0,e
2196,1037.59375,91.5,1044.59375,94.5,,0,.
2197,49.90625,146.5,63.90625,164.5,,1,T
2198,64.359375,145.5,79.359375,164.5,,1,h
2199,79.453125,150.5,93.453125,164.5,,1,e
2200,92.953125,164.5,99.953125,164.5,,1, 
2201,99.609375,150.5,119.609375,164.5,,1,w
2202,119.734375,150.5,134.734375,164.5,,1,o
2203,135.0625,150.5,145.0625,164.5,,1,r
2204,144.9375,145.5,159.9375,164.5,,1,d
2205,159.90625,150.5,171.90625,164.5,,1,s
2206,171.40625,164.5,178.40625,164.5,,1, 
2207,177.0,145.5,187.0,164.5,,1,f
2208,187.453125,145.5,193.453125,164.5,,1,l
2209,193.578125,150.5,208.578125,164.5,,1,o
2210,207.734375,150.5,227.734375,164.5,,1,w
2211,227.828125,150.5,241.828125,164.5,,1,e
2212,242.203125,145.5,257.203125,164.5,,1,d
2213,256.703125,164.5,263.703125,164.5,,1, 
2214,263.796875,150.5,277.796875,164.5,,1,e
2215,277.828125,150.5,291.828125,164.5,,1,a
2216,291.796875,150.5,303.796875,164.5,,1,s
2217,304.25,145.5,310.25,164.5,,1,i
2218,310.703125,145.5,316.703125,164.5,,1,l
2219,316.453125,150.5,329.453125,170.5,,1,y
2220,328.15625,161.5,335.15625,167.5,,1,","
2221,334.65625,164.5,341.65625,164.5,,1, 
2222,341.6875,150.5,355.6875,164.5,,1,a
2223,356.140625,150.5,371.140625,164.5,,1,n
2224,371.515625,145.5,386.515625,164.5,,1,d
2225,386.015625,164.5,393.015625,164.5,,1, 
2226,393.390625,145.5,408.390625,164.5,,1,b
2227,408.484375,150.5,422.484375,164.5,,1,e
2228,421.078125,145.5,431.078125,164.5,,1,f
2229,431.203125,150.5,446.203125,164.5,,1,o
2230,446.53125,150.5,456.53125,164.5,,1,r
2231,456.125,150.5,470.125,164.5,,1,e
2232,469.625,164.5,476.625,164.5,,1, 
2233,477.078125,145.5,483.078125,164.5,,1,l
2234,483.203125,150.5,498.203125,164.5,,1,o
2235,498.65625,150.5,513.65625,164.5,,1,n
2236,514.03125,150.5,529.03125,170.5,,1,g
2237,528.734375,161.5,535.734375,167.5,,1,","
2238,535.234375,164.5,542.234375,164.5,,1, 
2239,542.265625,147.5,551.265625,164.5,,1,t
2240,551.71875,145.5,566.71875,164.5,,1,h
2241,566.8125,150.5,580.8125,164.5,,1,e
2242,580.0625,150.5,593.0625,170.5,,1,y
2243,592.5625,164.5,599.5625,164.5,,1, 
2244,600.015625,145.5,615.015625,164.5,,1,h
2245,615.046875,150.5,629.046875,164.5,,1,a
2246,629.421875,145.5,644.421875,164.5,,1,d
2247,643.921875,164.5,650.921875,164.5,,1, 
2248,650.921875,150.5,662.921875,164.5,,1,c
2249,663.25,150.5,673.25,164.5,,1,r
2250,672.84375,150.5,686.84375,164.5,,1,e
2251,686.875,150.5,700.875,164.5,,1,a
2252,700.90625,147.5,709.90625,164.5,,1,t
2253,710.0,150.5,724.0,164.5,,1,e
2254,724.375,145.5,739.375,164.5,,1,d
2255,738.875,164.5,745.875,164.5,,1, 
2256,745.90625,150.5,759.90625,164.5,,1,a
2257,759.40625,164.5,766.40625,164.5,,1, 
2258,766.375,150.5,778.375,164.5,,1,s
2259,778.40625,147.5,787.40625,164.5,,1,t
2260,787.53125,150.5,802.53125,164.5,,1,o
2261,802.859375,150.5,812.859375,164.5,,1,r
2262,812.609375,150.5,825.609375,170.5,,1,y
2263,825.109375,164.5,832.109375,164.5,,1, 
2264,832.140625,147.5,841.140625,164.5,,1,t
2265,841.59375,145.5,856.59375,164.5,,1,h
2266,856.625,150.5,870.625,164.5,,1,a
2267,870.65625,147.5,879.65625,164.5,,1,t
2268,879.15625,164.5,886.15625,164.5,,1, 
2269,885.8125,150.5,905.8125,164.5,,1,w
2270,905.84375,150.5,919.84375,164.5,,1,a
2271,919.8125,150.5,931.8125,164.5,,1,s
2272,931.3125,164.5,938.3125,164.5,,1, 
2273,938.765625,150.5,953.765625,164.5,,1,u
2274,954.21875,150.5,969.21875,164.5,,1,n
2275,969.671875,145.5,975.671875,164.5,,1,l
2276,976.125,145.5,982.125,164.5,,1,i
2277,981.46875,145.5,995.46875,164.5,,1,k
2278,995.5625,150.5,1009.5625,164.5,,1,e
2279,50.03125,220.5,64.03125,234.5,,2,a
2280,64.484375,220.5,79.484375,234.5,,2,n
2281,79.234375,220.5,92.234375,240.5,,2,y
2282,92.265625,217.5,101.265625,234.5,,2,t
2283,101.71875,215.5,116.71875,234.5,,2,h
2284,117.171875,215.5,123.171875,234.5,,2,i
2285,123.625,220.5,138.625,234.5,,2,n
2286,139.0,220.5,154.0,240.5,,2,g
2287,153.5,234.5,160.5,234.5,,2, 
2288,160.53125,217.5,169.53125,234.5,,2,t
2289,169.984375,215.5,184.984375,234.5,,2,h
2290,185.078125,220.5,199.078125,234.5,,2,e
2291,198.328125,220.5,211.328125,240.5,,2,y
2292,211.953125,216.5,217.953125,234.5,,2,'
2293,216.828125,215.5,231.828125,234.5,,2,d
2294,231.328125,234.5,238.328125,234.5,,2, 
2295,238.421875,220.5,252.421875,234.5,,2,e
2296,251.625,220.5,264.625,234.5,,2,v
2297,264.71875,220.5,278.71875,234.5,,2,e
2298,279.046875,220.5,289.046875,234.5,,2,r
2299,288.546875,234.5,295.546875,234.5,,2, 
2300,295.203125,220.5,315.203125,234.5,,2,w
2301,315.53125,220.5,325.53125,234.5,,2,r
2302,325.984375,215.5,331.984375,234.5,,2,i
2303,332.015625,217.5,341.015625,234.5,,2,t
2304,341.046875,217.5,350.046875,234.5,,2,t
2305,350.140625,220.5,364.140625,234.5,,2,e
2306,364.59375,220.5,379.59375,234.5,,2,n
2307,379.09375,234.5,386.09375,234.5,,2, 
2308,386.46875,215.5,401.46875,234.5,,2,b
2309,401.5625,220.5,415.5625,234.5,,2,e
2310,414.15625,215.5,424.15625,234.5,,2,f
2311,424.28125,220.5,439.28125,234.5,,2,o
2312,439.609375,220.5,449.609375,234.5,,2,r
2313,449.203125,220.5,463.203125,234.5,,2,e
2314,462.90625,231.5,469.90625,234.5,,2,.
2315,49.96875,356.5,65.96875,374.5,,4,A
2316,65.9375,360.5,77.9375,374.5,,4,s
2317,77.4375,374.5,84.4375,374.5,,4, 
2318,84.46875,357.5,93.46875,374.5,,4,t
2319,93.921875,355.5,108.921875,374.5,,4,h
2320,109.015625,360.5,123.015625,374.5,,4,e
2321,122.515625,374.5,129.515625,374.5,,4, 
2322,129.96875,360.5,144.96875,374.5,,4,n
2323,145.421875,355.5,151.421875,374.5,,4,i
2324,151.796875,360.5,166.796875,380.5,,4,g
2325,167.25,355.5,182.25,374.5,,4,h
2326,182.28125,357.5,191.28125,374.5,,4,t
2327,190.78125,374.5,197.78125,374.5,,4, 
2328,197.4375,360.5,217.4375,374.5,,4,w
2329,217.5625,360.5,232.5625,374.5,,4,o
2330,232.890625,360.5,242.890625,374.5,,4,r
2331,242.484375,360.5,256.484375,374.5,,4,e
2332,255.984375,374.5,262.984375,374.5,,4, 
2333,263.109375,360.5,278.109375,374.5,,4,o
2334,278.5625,360.5,293.5625,374.5,,4,n
2335,293.265625,371.5,300.265625,377.5,,4,","
2336,299.765625,374.5,306.765625,374.5,,4, 
2337,306.796875,357.5,315.796875,374.5,,4,t
2338,316.25,355.5,331.25,374.5,,4,h
2339,331.34375,360.5,345.34375,374.5,,4,e
2340,344.84375,374.5,351.84375,374.5,,4, 
2341,351.8125,360.5,363.8125,374.5,,4,s
2342,363.84375,357.5,372.84375,374.5,,4,t
2343,372.96875,360.5,387.96875,374.5,,4,o
2344,388.296875,360.5,398.296875,374.5,,4,r
2345,398.671875,360.5,421.671875,374.5,,4,m
2346,421.171875,374.5,428.171875,374.5,,4, 
2347,426.765625,355.5,436.765625,374.5,,4,f
2348,437.21875,355.5,443.21875,374.5,,4,i
2349,443.671875,360.5,458.671875,374.5,,4,n
2350,458.703125,360.5,472.703125,374.5,,4,a
2351,473.15625,355.5,479.15625,374.5,,4,l
2352,479.609375,355.5,485.609375,374.5,,4,l
2353,485.359375,360.5,498.359375,380.5,,4,y
2354,497.859375,374.5,504.859375,374.5,,4, 
2355,505.234375,355.5,520.234375,374.5,,4,b
2356,520.328125,360.5,534.328125,374.5,,4,e
2357,534.703125,360.5,549.703125,380.5,,4,g
2358,549.734375,360.5,563.734375,374.5,,4,a
2359,564.1875,360.5,579.1875,374.5,,4,n
2360,578.6875,374.5,585.6875,374.5,,4, 
2361,585.71875,357.5,594.71875,374.5,,4,t
2362,594.84375,360.5,609.84375,374.5,,4,o
2363,609.34375,374.5,616.34375,374.5,,4, 
2364,616.3125,360.5,628.3125,374.5,,4,s
2365,628.765625,360.5,643.765625,374.5,,4,u
2366,644.140625,355.5,659.140625,374.5,,4,b
2367,659.109375,360.5,671.109375,374.5,,4,s
2368,671.5625,355.5,677.5625,374.5,,4,i
2369,677.9375,355.5,692.9375,374.5,,4,d
2370,693.03125,360.5,707.03125,374.5,,4,e
2371,706.734375,371.5,713.734375,377.5,,4,","
2372,713.234375,374.5,720.234375,374.5,,4, 
2373,720.265625,360.5,734.265625,374.5,,4,a
2374,734.71875,360.5,749.71875,374.5,,4,n
2375,750.09375,355.5,765.09375,374.5,,4,d
2376,764.59375,374.5,771.59375,374.5,,4, 
2377,771.625,357.5,780.625,374.5,,4,t
2378,781.078125,355.5,796.078125,374.5,,4,h
2379,796.171875,360.5,810.171875,374.5,,4,e
2380,809.671875,374.5,816.671875,374.5,,4, 
2381,816.703125,360.5,830.703125,374.5,,4,a
2382,831.15625,355.5,837.15625,374.5,,4,i
2383,837.484375,360.5,847.484375,374.5,,4,r
2384,847.859375,360.5,862.859375,380.5,,4,p
2385,862.984375,360.5,877.984375,374.5,,4,o
2386,878.3125,360.5,888.3125,374.5,,4,r
2387,888.34375,357.5,897.34375,374.5,,4,t
2388,896.84375,374.5,903.84375,374.5,,4, 
2389,903.8125,360.5,915.8125,374.5,,4,s
2390,915.84375,357.5,924.84375,374.5,,4,t
2391,924.875,360.5,938.875,374.5,,4,a
2392,937.46875,355.5,947.46875,374.5,,4,f
2393,946.078125,355.5,956.078125,374.5,,4,f
2394,50.03125,430.5,64.03125,444.5,,5,a
2395,64.484375,430.5,79.484375,444.5,,5,n
2396,79.9375,430.5,94.9375,444.5,,5,n
2397,95.0625,430.5,110.0625,444.5,,5,o
2398,110.515625,430.5,125.515625,444.5,,5,u
2399,125.96875,430.5,140.96875,444.5,,5,n
2400,140.96875,430.5,152.96875,444.5,,5,c
2401,153.0625,430.5,167.0625,444.5,,5,e
2402,167.4375,425.5,182.4375,444.5,,5,d
2403,181.9375,444.5,188.9375,444.5,,5, 
2404,188.96875,427.5,197.96875,444.5,,5,t
2405,198.421875,425.5,213.421875,444.5,,5,h
2406,213.453125,430.5,227.453125,444.5,,5,a
2407,227.484375,427.5,236.484375,444.5,,5,t
2408,235.984375,444.5,242.984375,444.5,,5, 
2409,243.015625,427.5,252.015625,444.5,,5,t
2410,252.46875,425.5,267.46875,444.5,,5,h
2411,267.5625,430.5,281.5625,444.5,,5,e
2412,281.0625,444.5,288.0625,444.5,,5, 
2413,288.4375,430.5,303.4375,450.5,,5,p
2414,303.5625,430.5,318.5625,444.5,,5,o
2415,317.71875,430.5,337.71875,444.5,,5,w
2416,337.8125,430.5,351.8125,444.5,,5,e
2417,352.140625,430.5,362.140625,444.5,,5,r
2418,361.640625,444.5,368.640625,444.5,,5, 
2419,368.296875,430.5,388.296875,444.5,,5,w
2420,388.328125,430.5,402.328125,444.5,,5,a
2421,402.296875,430.5,414.296875,444.5,,5,s
2422,413.796875,444.5,420.796875,444.5,,5, 
2423,421.171875,425.5,436.171875,444.5,,5,b
2424,436.203125,430.5,450.203125,444.5,,5,a
2425,450.203125,430.5,462.203125,444.5,,5,c
2426,461.546875,425.5,475.546875,444.5,,5,k
2427,475.046875,444.5,482.046875,444.5,,5, 
