index,left,top,right,bottom,section,line,content
0,43.75,50,114.84375,120.0,question,0,What
1,114.84375,50,167.0,120.0,question,0,was
2,167.0,50,257.78125,120.0,question,0,written
3,257.78125,50,294.8125,120.0,question,0,on
4,294.8125,50,339.859375,120.0,question,0,the
5,339.859375,50,430.6171875,120.0,question,0,second
6,430.6171875,50,490.640625,120.0,question,0,note
7,490.640625,50,535.140625,120.0,question,0,Lily
8,535.140625,50,626.4375,120.0,question,0,found?
9,93.703125,190.0,186.015625,260.0,option:0,0,"""Thank"
10,186.015625,190.0,235.265625,260.0,option:0,0,you
11,235.265625,190.0,276.703125,260.0,option:0,0,for
12,276.703125,190.0,389.1953125,260.0,option:0,0,believing
13,389.1953125,190.0,417.5625,260.0,option:0,0,in
14,417.5625,190.0,515.265625,260.0,option:0,0,"magic."""
15,93.703125,260.0,167.515625,330.0,option:1,0,"""Take"
16,167.515625,260.0,234.828125,330.0,option:1,0,good
17,234.828125,260.0,291.34375,330.0,option:1,0,care
18,291.34375,260.0,321.375,330.0,option:1,0,of
19,321.375,260.0,381.8828125,330.0,option:1,0,your
20,381.8828125,260.0,437.046875,330.0,option:1,0,new
21,437.046875,260.0,502.015625,330.0,option:1,0,"pet."""
22,93.703125,330.0,177.609375,400.0,option:2,0,"""Make"
23,177.609375,330.0,197.953125,400.0,option:2,0,a
24,197.953125,330.0,264.875,400.0,option:2,0,"wish,"
25,264.875,330.0,316.453125,400.0,option:2,0,and
26,316.453125,330.0,349.90625,400.0,option:2,0,I'll
27,349.90625,330.0,421.2890625,400.0,option:2,0,make
28,421.2890625,330.0,443.046875,400.0,option:2,0,it
29,443.046875,330.0,514.15625,400.0,option:2,0,come
30,514.15625,330.0,589.703125,400.0,option:2,0,"true."""
31,93.703125,400.0,150.3984375,470.0,option:3,0,"""I'm"
32,150.3984375,400.0,196.5078125,470.0,option:3,0,not
33,196.5078125,400.0,245.703125,470.0,option:3,0,just
34,245.703125,400.0,265.515625,470.0,option:3,0,a
35,265.515625,400.0,322.125,470.0,option:3,0,"fish,"
36,322.125,400.0,365.125,470.0,option:3,0,I'm
37,365.125,400.0,409.859375,470.0,option:3,0,the
38,409.859375,400.0,456.390625,470.0,option:3,0,key
39,456.390625,400.0,487.046875,470.0,option:3,0,to
40,487.046875,400.0,507.7890625,470.0,option:3,0,a
41,507.7890625,400.0,562.59375,470.0,option:3,0,new
42,562.59375,400.0,656.359375,470.0,option:3,0,"world."""
