index,left,top,right,bottom,section,line,content
115,43.03125,50,102.375,120.0,,0,One
116,102.375,50,208.671875,120.0,,0,"evening,"
117,208.671875,50,241.140625,120.0,,0,as
118,241.140625,50,289.15625,120.0,,0,she
119,289.15625,50,330.890625,120.0,,0,sat
120,330.890625,50,364.84375,120.0,,0,by
121,364.84375,50,409.921875,120.0,,0,the
122,409.921875,50,474.953125,120.0,,0,"tank,"
123,474.953125,50,549.125,120.0,,0,Finley
124,549.125,50,624.8984375,120.0,,0,swam
125,624.8984375,50,662.015625,120.0,,0,up
126,662.015625,50,692.671875,120.0,,0,to
127,692.671875,50,737.921875,120.0,,0,the
128,737.921875,50,804.046875,120.0,,0,glass
129,804.046875,50,855.6171875,120.0,,0,and
130,855.6171875,50,941.421875,120.0,,0,looked
131,941.421875,50,971.1953125,120.0,,0,at
132,971.1953125,50,1020.59375,120.0,,0,her
133,43.15625,120.0,104.0703125,190.0,,1,with
134,104.0703125,120.0,144.40625,190.0,,1,his
135,144.40625,120.0,194.7890625,190.0,,1,"big,"
136,194.7890625,120.0,272.40625,190.0,,1,round
137,272.40625,120.0,338.203125,190.0,,1,eyes.
138,338.203125,120.0,361.796875,190.0,,1,It
139,361.796875,120.0,414.140625,190.0,,1,was
140,414.140625,120.0,446.8515625,190.0,,1,as
141,446.8515625,120.0,468.3984375,190.0,,1,if
142,468.3984375,120.0,504.046875,190.0,,1,he
143,504.046875,120.0,556.390625,190.0,,1,was
144,556.390625,120.0,632.28125,190.0,,1,trying
145,632.28125,120.0,662.9375,190.0,,1,to
146,662.9375,120.0,705.6796875,190.0,,1,tell
147,705.6796875,120.0,751.8125,190.0,,1,her
148,751.8125,120.0,891.40625,190.0,,1,something.
149,891.40625,120.0,935.90625,190.0,,1,Lily
150,935.90625,120.0,981.296875,190.0,,1,felt
151,981.296875,120.0,1005.0625,190.0,,1,a
152,43.953125,190.0,113.203125,260.0,,2,lump
153,113.203125,190.0,178.0546875,260.0,,2,form
154,178.0546875,190.0,206.4609375,260.0,,2,in
155,206.4609375,190.0,252.625,260.0,,2,her
156,252.625,190.0,331.625,260.0,,2,throat
157,331.625,190.0,364.09375,260.0,,2,as
158,364.09375,190.0,412.2890625,260.0,,2,she
159,412.2890625,190.0,513.5625,260.0,,2,reached
160,513.5625,190.0,559.8359375,260.0,,2,out
161,559.8359375,190.0,606.2109375,260.0,,2,her
162,606.2109375,190.0,672.8125,260.0,,2,hand
163,672.8125,190.0,703.46875,260.0,,2,to
164,703.46875,190.0,777.03125,260.0,,2,touch
165,777.03125,190.0,822.28125,260.0,,2,the
166,822.28125,190.0,895.046875,260.0,,2,glass.
167,895.046875,190.0,929.1015625,260.0,,2,To
168,929.1015625,190.0,978.5,260.0,,2,her
169,43.46875,260.0,155.90625,330.0,,3,"surprise,"
170,155.90625,260.0,230.078125,330.0,,3,Finley
171,230.078125,260.0,305.8515625,330.0,,3,swam
172,305.8515625,260.0,342.96875,330.0,,3,up
173,342.96875,260.0,373.8359375,330.0,,3,to
174,373.8359375,260.0,420.2109375,330.0,,3,her
175,420.2109375,260.0,486.8125,330.0,,3,hand
176,486.8125,260.0,538.3828125,330.0,,3,and
177,538.3828125,260.0,636.0078125,330.0,,3,nudged
178,636.0078125,260.0,657.953125,330.0,,3,it
179,657.953125,260.0,737.25,330.0,,3,gently
180,737.25,260.0,794.7421875,330.0,,3,with
181,794.7421875,260.0,835.1171875,330.0,,3,his
182,835.1171875,260.0,904.96875,330.0,,3,nose.
183,904.96875,260.0,928.5625,330.0,,3,It
184,928.5625,260.0,980.90625,330.0,,3,was
185,980.90625,260.0,1013.6171875,330.0,,3,as
186,1013.6171875,260.0,1038.1875,330.0,,3,if
187,43.953125,330.0,82.625,400.0,,4,he
188,82.625,330.0,134.96875,400.0,,4,was
189,134.96875,330.0,210.859375,400.0,,4,trying
190,210.859375,330.0,241.7265625,400.0,,4,to
191,241.7265625,330.0,298.1796875,400.0,,4,lead
192,298.1796875,330.0,344.34375,400.0,,4,her
193,344.34375,330.0,374.96875,400.0,,4,to
194,374.96875,330.0,517.765625,400.0,,4,something.
