index,left,top,right,bottom,section,line,content
0,43.75,50,115.1796875,120.0,question,0,What
1,115.1796875,50,167.203125,120.0,question,0,role
2,167.203125,50,230.0625,120.0,question,0,does
3,230.0625,50,304.265625,120.0,question,0,Finley
4,304.265625,50,349.515625,120.0,question,0,the
5,349.515625,50,450.609375,120.0,question,0,goldfish
6,450.609375,50,520.671875,120.0,question,0,seem
7,520.671875,50,551.5,120.0,question,0,to
8,551.5,50,606.6484375,120.0,question,0,play
9,606.6484375,50,634.84375,120.0,question,0,in
10,634.84375,50,679.890625,120.0,question,0,the
11,679.890625,50,760.203125,120.0,question,0,story?
12,93.03125,190.0,135.546875,260.0,option:0,0,He
13,135.546875,190.0,211.203125,260.0,option:0,0,keeps
14,211.203125,190.0,292.4375,260.0,option:0,0,Emma
15,292.4375,190.0,416.0,260.0,option:0,0,company.
16,93.03125,260.0,136.0625,330.0,option:1,0,He
17,136.0625,260.0,218.046875,330.0,option:1,0,grants
18,218.046875,260.0,286.671875,330.0,option:1,0,small
19,286.671875,260.0,382.890625,330.0,option:1,0,wishes.
20,93.03125,330.0,135.875,400.0,option:2,0,He
21,135.875,330.0,221.90625,400.0,option:2,0,causes
22,221.90625,330.0,313.765625,400.0,option:2,0,trouble
23,313.765625,330.0,343.328125,400.0,option:2,0,at
24,343.328125,330.0,388.6171875,400.0,option:2,0,the
25,388.6171875,330.0,498.734375,400.0,option:2,0,hospital.
26,93.03125,400.0,136.1015625,470.0,option:3,0,He
27,136.1015625,400.0,205.71875,470.0,option:3,0,helps
28,205.71875,400.0,268.0,470.0,option:3,0,cook
29,268.0,400.0,394.5625,470.0,option:3,0,breakfast.
