index,left,top,right,bottom,section,line,content
0,43.03125,50,102.375,120.0,,0,One
1,102.375,50,157.078125,120.0,,0,Last
2,157.078125,50,223.828125,120.0,,0,Wish
3,43.40625,190.0,127.921875,260.0,,2,Emma
4,127.921875,190.0,169.65625,260.0,,2,sat
5,169.65625,190.0,253.5546875,260.0,,2,beside
6,253.5546875,190.0,299.890625,260.0,,2,her
7,299.890625,190.0,481.7421875,260.0,,2,grandmother's
8,481.7421875,190.0,582.09375,260.0,,2,hospital
9,582.09375,190.0,639.953125,260.0,,2,"bed,"
10,639.953125,190.0,754.140625,260.0,,2,clutching
11,754.140625,190.0,799.390625,260.0,,2,the
12,799.390625,190.0,881.015625,260.0,,2,plastic
13,881.015625,190.0,1002.734375,260.0,,2,container
14,43.953125,260.0,143.1640625,330.0,,3,holding
15,143.1640625,260.0,189.5,330.0,,3,her
16,189.5,260.0,288.71875,330.0,,3,beloved
17,288.71875,260.0,396.515625,330.0,,3,"goldfish,"
18,396.515625,260.0,476.390625,330.0,,3,Finley.
19,476.390625,260.0,568.484375,330.0,,3,Finley's
20,568.484375,260.0,722.5,330.0,,3,once-vibrant
21,722.5,260.0,799.7578125,330.0,,3,scales
22,799.7578125,260.0,855.953125,330.0,,3,now
23,855.953125,260.0,942.3984375,330.0,,3,"dulled,"
24,942.3984375,260.0,985.796875,330.0,,3,his
25,43.875,330.0,191.953125,400.0,,4,movements
26,191.953125,330.0,303.625,400.0,,4,sluggish.
27,303.625,330.0,401.640625,400.0,,4,Emma's
28,401.640625,330.0,583.3125,400.0,,4,grandmother's
29,583.3125,330.0,648.859375,400.0,,4,"eyes,"
30,648.859375,330.0,741.15625,400.0,,4,sunken
31,741.15625,330.0,792.328125,400.0,,4,and
32,792.328125,330.0,867.0546875,400.0,,4,"weak,"
33,867.0546875,330.0,949.78125,400.0,,4,locked
34,949.78125,330.0,1014.203125,400.0,,4,onto
35,43.953125,400.0,115.046875,470.0,,5,hers.
36,43.703125,540.0,180.6875,610.0,,7,"""Grandma,"
37,180.6875,540.0,223.65625,610.0,,7,I'm
38,223.65625,540.0,257.25,610.0,,7,so
39,257.25,540.0,340.125,610.0,,7,"sorry,"""
40,340.125,540.0,421.1875,610.0,,7,Emma
41,421.1875,540.0,556.875,610.0,,7,"whispered,"
42,556.875,540.0,622.796875,610.0,,7,tears
43,622.796875,540.0,749.109375,610.0,,7,streaming
44,749.109375,540.0,820.7578125,610.0,,7,down
45,820.7578125,540.0,866.203125,610.0,,7,her
46,866.203125,540.0,932.078125,610.0,,7,face.
47,43.03125,680.0,96.390625,750.0,,9,Her
48,96.390625,680.0,277.8671875,750.0,,9,grandmother's
49,277.8671875,680.0,351.78125,750.0,,9,"voice,"
50,351.78125,680.0,430.640625,750.0,,9,barely
51,430.640625,680.0,507.96875,750.0,,9,above
52,507.96875,680.0,528.3125,750.0,,9,a
53,528.3125,680.0,631.1796875,750.0,,9,"whisper,"
54,631.1796875,680.0,725.9921875,750.0,,9,"replied,"
55,725.9921875,680.0,777.5,750.0,,9,"""It's"
56,777.5,680.0,844.875,750.0,,9,"okay,"
57,844.875,680.0,947.46875,750.0,,9,sweetie.
58,947.46875,680.0,1042.75,750.0,,9,Finley's
59,43.875,750.0,112.28125,820.0,,10,been
60,112.28125,750.0,192.453125,820.0,,10,taking
61,192.453125,750.0,248.96875,820.0,,10,care
62,248.96875,750.0,279.3125,820.0,,10,of
63,279.3125,750.0,329.8125,820.0,,10,"me,"
64,329.8125,750.0,395.734375,820.0,,10,"too."""
