index,left,top,right,bottom,section,line,content
2028,50.203125,76.5,60.203125,94.5,,0,""""
2029,58.421875,76.5,74.421875,94.5,,0,A
2030,74.453125,77.5,83.453125,94.5,,0,t
2031,83.484375,77.5,92.484375,94.5,,0,t
2032,92.578125,80.5,106.578125,94.5,,0,e
2033,107.03125,80.5,122.03125,94.5,,0,n
2034,122.0625,77.5,131.0625,94.5,,0,t
2035,131.515625,75.5,137.515625,94.5,,0,i
2036,137.640625,80.5,152.640625,94.5,,0,o
2037,153.09375,80.5,168.09375,94.5,,0,n
2038,167.796875,91.5,174.796875,97.5,,0,","
2039,174.296875,94.5,181.296875,94.5,,0, 
2040,181.671875,80.5,196.671875,100.5,,0,p
2041,196.703125,80.5,210.703125,94.5,,0,a
2042,210.734375,77.5,219.734375,94.5,,0,t
2043,220.1875,75.5,226.1875,94.5,,0,i
2044,226.28125,80.5,240.28125,94.5,,0,e
2045,240.734375,80.5,255.734375,94.5,,0,n
2046,255.765625,77.5,264.765625,94.5,,0,t
2047,264.734375,80.5,276.734375,94.5,,0,s
2048,276.234375,94.5,283.234375,94.5,,0, 
2049,283.265625,80.5,297.265625,94.5,,0,a
2050,297.71875,80.5,312.71875,94.5,,0,n
2051,313.09375,75.5,328.09375,94.5,,0,d
2052,327.59375,94.5,334.59375,94.5,,0, 
2053,334.5625,80.5,346.5625,94.5,,0,s
2054,346.59375,77.5,355.59375,94.5,,0,t
2055,355.625,80.5,369.625,94.5,,0,a
2056,368.21875,75.5,378.21875,94.5,,0,f
2057,376.828125,75.5,386.828125,94.5,,0,f
2058,386.03125,91.5,393.03125,94.5,,0,.
2059,392.53125,94.5,399.53125,94.5,,0, 
2060,399.78125,76.5,417.78125,94.5,,0,D
2061,418.234375,80.5,433.234375,94.5,,0,u
2062,433.328125,80.5,447.328125,94.5,,0,e
2063,446.828125,94.5,453.828125,94.5,,0, 
2064,453.859375,77.5,462.859375,94.5,,0,t
2065,462.984375,80.5,477.984375,94.5,,0,o
2066,477.484375,94.5,484.484375,94.5,,0, 
2067,484.9375,80.5,499.9375,94.5,,0,u
2068,500.390625,80.5,515.390625,94.5,,0,n
2069,513.984375,75.5,523.984375,94.5,,0,f
2070,524.109375,80.5,539.109375,94.5,,0,o
2071,539.4375,80.5,549.4375,94.5,,0,r
2072,549.03125,80.5,563.03125,94.5,,0,e
2073,563.0,80.5,575.0,94.5,,0,s
2074,575.09375,80.5,589.09375,94.5,,0,e
2075,589.1875,80.5,603.1875,94.5,,0,e
2076,603.640625,80.5,618.640625,94.5,,0,n
2077,618.140625,94.5,625.140625,94.5,,0, 
2078,625.140625,80.5,637.140625,94.5,,0,c
2079,637.59375,75.5,643.59375,94.5,,0,i
2080,643.921875,80.5,653.921875,94.5,,0,r
2081,653.421875,80.5,665.421875,94.5,,0,c
2082,665.875,80.5,680.875,94.5,,0,u
2083,681.25,80.5,704.25,94.5,,0,m
2084,704.21875,80.5,716.21875,94.5,,0,s
2085,716.25,77.5,725.25,94.5,,0,t
2086,725.28125,80.5,739.28125,94.5,,0,a
2087,739.734375,80.5,754.734375,94.5,,0,n
2088,754.734375,80.5,766.734375,94.5,,0,c
2089,766.828125,80.5,780.828125,94.5,,0,e
2090,780.796875,80.5,792.796875,94.5,,0,s
2091,792.5,91.5,799.5,97.5,,0,","
2092,799.0,94.5,806.0,94.5,,0, 
2093,806.03125,77.5,815.03125,94.5,,0,t
2094,815.484375,75.5,830.484375,94.5,,0,h
2095,830.578125,80.5,844.578125,94.5,,0,e
2096,844.078125,94.5,851.078125,94.5,,0, 
2097,851.53125,75.5,866.53125,94.5,,0,h
2098,866.65625,80.5,881.65625,94.5,,0,o
2099,881.625,80.5,893.625,94.5,,0,s
2100,894.0,80.5,909.0,100.5,,0,p
2101,909.453125,75.5,915.453125,94.5,,0,i
2102,915.484375,77.5,924.484375,94.5,,0,t
2103,924.515625,80.5,938.515625,94.5,,0,a
2104,938.96875,75.5,944.96875,94.5,,0,l
2105,944.59375,76.5,950.59375,94.5,,0,'
2106,949.8125,80.5,961.8125,94.5,,0,s
2107,49.65625,150.5,69.65625,164.5,,1,w
2108,69.75,150.5,83.75,164.5,,1,e
2109,83.78125,150.5,97.78125,164.5,,1,a
2110,97.8125,147.5,106.8125,164.5,,1,t
2111,107.265625,145.5,122.265625,164.5,,1,h
2112,122.359375,150.5,136.359375,164.5,,1,e
2113,136.6875,150.5,146.6875,164.5,,1,r
2114,146.1875,164.5,153.1875,164.5,,1, 
2115,153.1875,150.5,165.1875,164.5,,1,c
2116,165.3125,150.5,180.3125,164.5,,1,o
2117,180.765625,150.5,195.765625,164.5,,1,n
2118,195.796875,147.5,204.796875,164.5,,1,t
2119,205.125,150.5,215.125,164.5,,1,r
2120,214.75,150.5,229.75,164.5,,1,o
2121,230.203125,145.5,236.203125,164.5,,1,l
2122,235.703125,164.5,242.703125,164.5,,1, 
2123,242.671875,150.5,254.671875,164.5,,1,s
2124,254.421875,150.5,267.421875,170.5,,1,y
2125,267.390625,150.5,279.390625,164.5,,1,s
2126,279.421875,147.5,288.421875,164.5,,1,t
2127,288.515625,150.5,302.515625,164.5,,1,e
2128,302.890625,150.5,325.890625,164.5,,1,m
2129,325.390625,164.5,332.390625,164.5,,1, 
2130,332.84375,145.5,347.84375,164.5,,1,h
2131,347.875,150.5,361.875,164.5,,1,a
2132,361.84375,150.5,373.84375,164.5,,1,s
2133,373.34375,164.5,380.34375,164.5,,1, 
2134,380.71875,150.5,403.71875,164.5,,1,m
2135,403.75,150.5,417.75,164.5,,1,a
2136,418.203125,145.5,424.203125,164.5,,1,l
2137,422.796875,145.5,432.796875,164.5,,1,f
2138,433.25,150.5,448.25,164.5,,1,u
2139,448.703125,150.5,463.703125,164.5,,1,n
2140,463.703125,150.5,475.703125,164.5,,1,c
2141,475.734375,147.5,484.734375,164.5,,1,t
2142,485.1875,145.5,491.1875,164.5,,1,i
2143,491.3125,150.5,506.3125,164.5,,1,o
2144,506.765625,150.5,521.765625,164.5,,1,n
2145,521.859375,150.5,535.859375,164.5,,1,e
2146,536.234375,145.5,551.234375,164.5,,1,d
2147,550.9375,161.5,557.9375,167.5,,1,","
2148,557.4375,164.5,564.4375,164.5,,1, 
2149,564.4375,150.5,576.4375,164.5,,1,c
2150,576.890625,145.5,582.890625,164.5,,1,l
2151,582.984375,150.5,596.984375,164.5,,1,e
2152,597.015625,150.5,611.015625,164.5,,1,a
2153,611.34375,150.5,621.34375,164.5,,1,r
2154,621.796875,145.5,627.796875,164.5,,1,i
2155,628.25,150.5,643.25,164.5,,1,n
2156,643.625,150.5,658.625,170.5,,1,g
2157,658.125,164.5,665.125,164.5,,1, 
2158,665.15625,147.5,674.15625,164.5,,1,t
2159,674.609375,145.5,689.609375,164.5,,1,h
2160,689.703125,150.5,703.703125,164.5,,1,e
2161,703.203125,164.5,710.203125,164.5,,1, 
2162,710.171875,150.5,722.171875,164.5,,1,s
2163,721.515625,145.5,735.515625,164.5,,1,k
2164,735.96875,145.5,741.96875,164.5,,1,i
2165,742.0625,150.5,756.0625,164.5,,1,e
2166,756.03125,150.5,768.03125,164.5,,1,s
2167,767.53125,164.5,774.53125,164.5,,1, 
2168,774.5625,150.5,788.5625,164.5,,1,a
2169,789.015625,150.5,804.015625,164.5,,1,n
2170,804.390625,145.5,819.390625,164.5,,1,d
2171,818.890625,164.5,825.890625,164.5,,1, 
2172,826.34375,150.5,841.34375,164.5,,1,u
2173,841.3125,150.5,853.3125,164.5,,1,s
2174,853.765625,145.5,868.765625,164.5,,1,h
2175,868.859375,150.5,882.859375,164.5,,1,e
2176,883.1875,150.5,893.1875,164.5,,1,r
2177,893.640625,145.5,899.640625,164.5,,1,i
2178,900.09375,150.5,915.09375,164.5,,1,n
2179,915.46875,150.5,930.46875,170.5,,1,g
2180,929.96875,164.5,936.96875,164.5,,1, 
2181,937.421875,145.5,943.421875,164.5,,1,i
2182,943.875,150.5,958.875,164.5,,1,n
2183,958.375,164.5,965.375,164.5,,1, 
2184,965.40625,150.5,979.40625,164.5,,1,a
2185,50.375,215.5,65.375,234.5,,2,b
2186,65.46875,220.5,79.46875,234.5,,2,e
2187,79.5,220.5,93.5,234.5,,2,a
2188,93.953125,220.5,108.953125,234.5,,2,u
2189,108.984375,217.5,117.984375,234.5,,2,t
2190,118.4375,215.5,124.4375,234.5,,2,i
2191,123.03125,215.5,133.03125,234.5,,2,f
2192,133.484375,220.5,148.484375,234.5,,2,u
2193,148.9375,215.5,154.9375,234.5,,2,l
2194,154.640625,231.5,161.640625,237.5,,2,","
2195,161.140625,234.5,168.140625,234.5,,2, 
2196,168.109375,220.5,180.109375,234.5,,2,s
2197,180.5625,220.5,195.5625,234.5,,2,u
2198,196.015625,220.5,211.015625,234.5,,2,n
2199,211.46875,220.5,226.46875,234.5,,2,n
2200,226.21875,220.5,239.21875,240.5,,2,y
2201,238.71875,234.5,245.71875,234.5,,2, 
2202,246.09375,215.5,261.09375,234.5,,2,d
2203,261.125,220.5,275.125,234.5,,2,a
2204,274.875,220.5,287.875,240.5,,2,y
2205,286.578125,231.5,293.578125,234.5,,2,.
2206,293.78125,216.5,303.78125,234.5,,2,""""
2207,49.90625,356.5,63.90625,374.5,,4,E
2208,64.28125,360.5,87.28125,374.5,,4,m
2209,87.65625,360.5,110.65625,374.5,,4,m
2210,110.6875,360.5,124.6875,374.5,,4,a
2211,124.0625,356.5,130.0625,374.5,,4,'
2212,129.28125,360.5,141.28125,374.5,,4,s
2213,140.78125,374.5,147.78125,374.5,,4, 
2214,148.234375,355.5,154.234375,380.5,,4,j
2215,154.265625,360.5,168.265625,374.5,,4,a
2216,167.921875,360.5,187.921875,374.5,,4,w
2217,187.421875,374.5,194.421875,374.5,,4, 
2218,194.796875,355.5,209.796875,374.5,,4,d
2219,210.125,360.5,220.125,374.5,,4,r
2220,219.75,360.5,234.75,374.5,,4,o
2221,235.125,360.5,250.125,380.5,,4,p
2222,250.5,360.5,265.5,380.5,,4,p
2223,265.59375,360.5,279.59375,374.5,,4,e
2224,279.96875,355.5,294.96875,374.5,,4,d
2225,294.671875,371.5,301.671875,374.5,,4,.
2226,301.171875,374.5,308.171875,374.5,,4, 
2227,308.140625,356.5,321.140625,374.5,,4,F
2228,321.59375,355.5,327.59375,374.5,,4,i
2229,328.046875,360.5,343.046875,374.5,,4,n
2230,343.5,355.5,349.5,374.5,,4,l
2231,349.59375,360.5,363.59375,374.5,,4,e
2232,362.84375,360.5,375.84375,380.5,,4,y
2233,374.546875,371.5,381.546875,377.5,,4,","
2234,381.046875,374.5,388.046875,374.5,,4, 
2235,388.015625,360.5,400.015625,374.5,,4,s
2236,400.109375,360.5,414.109375,374.5,,4,e
2237,414.5625,360.5,429.5625,374.5,,4,n
2238,429.53125,360.5,441.53125,374.5,,4,s
2239,441.984375,355.5,447.984375,374.5,,4,i
2240,448.4375,360.5,463.4375,374.5,,4,n
2241,463.8125,360.5,478.8125,380.5,,4,g
2242,478.3125,374.5,485.3125,374.5,,4, 
2243,485.765625,355.5,500.765625,374.5,,4,h
2244,500.859375,360.5,514.859375,374.5,,4,e
2245,515.1875,360.5,525.1875,374.5,,4,r
2246,524.6875,374.5,531.6875,374.5,,4, 
2247,531.78125,360.5,545.78125,374.5,,4,e
2248,545.5,360.5,558.5,374.5,,4,x
2249,558.0,360.5,570.0,374.5,,4,c
2250,570.453125,355.5,576.453125,374.5,,4,i
2251,576.484375,357.5,585.484375,374.5,,4,t
2252,585.578125,360.5,599.578125,374.5,,4,e
2253,599.953125,360.5,622.953125,374.5,,4,m
2254,623.046875,360.5,637.046875,374.5,,4,e
2255,637.5,360.5,652.5,374.5,,4,n
2256,652.53125,357.5,661.53125,374.5,,4,t
2257,661.234375,371.5,668.234375,377.5,,4,","
2258,667.734375,374.5,674.734375,374.5,,4, 
2259,674.703125,360.5,686.703125,374.5,,4,s
2260,686.359375,360.5,706.359375,374.5,,4,w
2261,706.390625,360.5,720.390625,374.5,,4,a
2262,720.765625,360.5,743.765625,374.5,,4,m
2263,743.265625,374.5,750.265625,374.5,,4, 
2264,750.296875,357.5,759.296875,374.5,,4,t
2265,759.625,360.5,769.625,374.5,,4,r
2266,770.078125,355.5,776.078125,374.5,,4,i
2267,776.53125,360.5,791.53125,374.5,,4,u
2268,791.90625,360.5,814.90625,374.5,,4,m
2269,815.28125,360.5,830.28125,380.5,,4,p
2270,830.734375,355.5,845.734375,374.5,,4,h
2271,845.765625,360.5,859.765625,374.5,,4,a
2272,860.21875,360.5,875.21875,374.5,,4,n
2273,875.25,357.5,884.25,374.5,,4,t
2274,884.703125,355.5,890.703125,374.5,,4,l
2275,890.453125,360.5,903.453125,380.5,,4,y
2276,902.953125,374.5,909.953125,374.5,,4, 
2277,909.984375,360.5,923.984375,374.5,,4,a
2278,924.3125,360.5,934.3125,374.5,,4,r
2279,933.9375,360.5,948.9375,374.5,,4,o
2280,949.390625,360.5,964.390625,374.5,,4,u
2281,964.84375,360.5,979.84375,374.5,,4,n
2282,980.21875,355.5,995.21875,374.5,,4,d
2283,994.71875,374.5,1001.71875,374.5,,4, 
2284,1002.171875,355.5,1017.171875,374.5,,4,h
2285,1017.625,355.5,1023.625,374.5,,4,i
2286,1023.59375,360.5,1035.59375,374.5,,4,s
2287,50.0,430.5,62.0,444.5,,5,c
2288,62.125,430.5,77.125,444.5,,5,o
