index,left,top,right,bottom,section,line,content
0,49.53125,76.5,69.53125,94.5,,0,O
1,69.984375,80.5,84.984375,94.5,,0,n
2,85.078125,80.5,99.078125,94.5,,0,e
3,98.578125,94.5,105.578125,94.5,,0, 
4,105.671875,76.5,118.671875,94.5,,0,L
5,118.703125,80.5,132.703125,94.5,,0,a
6,132.671875,80.5,144.671875,94.5,,0,s
7,144.703125,77.5,153.703125,94.5,,0,t
8,153.203125,94.5,160.203125,94.5,,0, 
9,160.453125,76.5,183.453125,94.5,,0,W
10,183.90625,75.5,189.90625,94.5,,0,i
11,189.875,80.5,201.875,94.5,,0,s
12,202.328125,75.5,217.328125,94.5,,0,h
13,49.90625,216.5,63.90625,234.5,,2,E
14,64.28125,220.5,87.28125,234.5,,2,m
15,87.65625,220.5,110.65625,234.5,,2,m
16,110.6875,220.5,124.6875,234.5,,2,a
17,124.0625,216.5,130.0625,234.5,,2,'
18,129.28125,220.5,141.28125,234.5,,2,s
19,140.78125,234.5,147.78125,234.5,,2, 
20,147.875,220.5,161.875,234.5,,2,e
21,161.125,220.5,174.125,240.5,,2,y
22,174.21875,220.5,188.21875,234.5,,2,e
23,188.1875,220.5,200.1875,234.5,,2,s
24,199.6875,234.5,206.6875,234.5,,2, 
25,206.34375,220.5,226.34375,234.5,,2,w
26,226.4375,220.5,240.4375,234.5,,2,e
27,240.890625,215.5,246.890625,234.5,,2,l
28,247.34375,215.5,253.34375,234.5,,2,l
29,253.4375,220.5,267.4375,234.5,,2,e
30,267.8125,215.5,282.8125,234.5,,2,d
31,282.3125,234.5,289.3125,234.5,,2, 
32,289.765625,220.5,304.765625,234.5,,2,u
33,305.140625,220.5,320.140625,240.5,,2,p
34,319.640625,234.5,326.640625,234.5,,2, 
35,326.296875,220.5,346.296875,234.5,,2,w
36,346.75,215.5,352.75,234.5,,2,i
37,352.78125,217.5,361.78125,234.5,,2,t
38,362.234375,215.5,377.234375,234.5,,2,h
39,376.734375,234.5,383.734375,234.5,,2, 
40,383.765625,217.5,392.765625,234.5,,2,t
41,392.859375,220.5,406.859375,234.5,,2,e
42,406.890625,220.5,420.890625,234.5,,2,a
43,421.21875,220.5,431.21875,234.5,,2,r
