index,left,top,right,bottom,section,line,content
223,43.03125,50,109.921875,120.0,,0,Over
224,109.921875,50,155.2109375,120.0,,0,the
225,155.2109375,50,212.078125,120.0,,0,next
226,212.078125,50,261.3125,120.0,,0,few
227,261.3125,50,328.40625,120.0,,0,"days,"
228,328.40625,50,409.46875,120.0,,0,Emma
229,409.46875,50,461.859375,120.0,,0,was
230,461.859375,50,583.359375,120.0,,0,overjoyed
231,583.359375,50,614.2265625,120.0,,0,to
232,614.2265625,50,676.765625,120.0,,0,have
233,676.765625,50,751.140625,120.0,,0,Finley
234,751.140625,50,812.390625,120.0,,0,back
235,812.390625,50,846.5546875,120.0,,0,by
236,846.5546875,50,892.6875,120.0,,0,her
237,892.6875,50,953.65625,120.0,,0,side.
238,953.65625,50,1002.859375,120.0,,0,She
239,1002.859375,50,1051.375,120.0,,0,fed
240,43.953125,120.0,105.421875,190.0,,1,"him,"
241,105.421875,120.0,189.640625,190.0,,1,played
242,189.640625,120.0,247.1328125,190.0,,1,with
243,247.1328125,120.0,305.40625,190.0,,1,"him,"
244,305.40625,120.0,356.796875,190.0,,1,and
245,356.796875,120.0,419.078125,190.0,,1,even
246,419.078125,120.0,482.4375,190.0,,1,sang
247,482.4375,120.0,513.3046875,190.0,,1,to
248,513.3046875,120.0,564.875,190.0,,1,him
249,564.875,120.0,643.53125,190.0,,1,again.
250,643.53125,120.0,690.65625,190.0,,1,But
251,690.65625,120.0,723.15625,190.0,,1,as
252,723.15625,120.0,768.40625,190.0,,1,the
253,768.40625,120.0,828.671875,190.0,,1,days
254,828.671875,120.0,893.765625,190.0,,1,went
255,893.765625,120.0,933.359375,190.0,,1,"by,"
256,933.359375,120.0,1017.84375,190.0,,1,Emma
257,43.875,190.0,127.59375,260.0,,2,began
258,127.59375,190.0,158.4609375,260.0,,2,to
259,158.4609375,190.0,236.875,260.0,,2,notice
260,236.875,190.0,369.703125,260.0,,2,something
261,369.703125,190.0,472.65625,260.0,,2,strange.
262,472.65625,190.0,543.0,260.0,,2,Every
263,543.0,190.0,602.421875,260.0,,2,time
264,602.421875,190.0,650.640625,260.0,,2,she
265,650.640625,190.0,723.84375,260.0,,2,made
266,723.84375,190.0,744.1875,260.0,,2,a
267,744.1875,190.0,811.078125,260.0,,2,"wish,"
268,811.078125,190.0,885.09375,260.0,,2,Finley
269,885.09375,190.0,964.015625,260.0,,2,would
270,964.015625,190.0,1037.296875,260.0,,2,grant
271,43.953125,260.0,75.6640625,330.0,,3,"it,"
272,75.6640625,260.0,112.703125,330.0,,3,no
273,112.703125,260.0,199.1328125,330.0,,3,matter
274,199.1328125,260.0,255.328125,330.0,,3,how
275,255.328125,260.0,298.90625,330.0,,3,big
276,298.90625,260.0,330.78125,330.0,,3,or
277,330.78125,260.0,409.53125,330.0,,3,small.
278,43.46875,400.0,77.546875,470.0,,5,At
279,77.546875,400.0,138.0546875,470.0,,5,"first,"
280,138.0546875,400.0,159.640625,470.0,,5,it
281,159.640625,400.0,212.1953125,470.0,,5,was
282,212.1953125,400.0,261.6015625,470.0,,5,just
283,261.6015625,400.0,319.40625,470.0,,5,little
284,319.40625,400.0,406.28125,470.0,,5,things.
285,406.28125,400.0,487.34375,470.0,,5,Emma
286,487.34375,400.0,576.3125,470.0,,5,wished
287,576.3125,400.0,617.578125,470.0,,5,for
288,617.578125,400.0,638.3203125,470.0,,5,a
289,638.3203125,400.0,693.484375,470.0,,5,new
290,693.484375,400.0,765.484375,470.0,,5,"book,"
291,765.484375,400.0,816.8125,470.0,,5,and
292,816.8125,400.0,890.828125,470.0,,5,Finley
293,890.828125,400.0,969.546875,470.0,,5,would
294,969.546875,400.0,1040.765625,470.0,,5,swim
295,43.953125,470.0,84.09375,540.0,,6,up
296,84.09375,470.0,114.75,540.0,,6,to
297,114.75,470.0,159.796875,540.0,,6,the
298,159.796875,470.0,252.84375,540.0,,6,surface
299,252.84375,470.0,283.015625,540.0,,6,of
300,283.015625,470.0,327.90625,540.0,,6,the
301,327.90625,470.0,404.4375,540.0,,6,"water,"
302,404.4375,470.0,455.796875,540.0,,6,and
303,455.796875,470.0,476.5,540.0,,6,a
304,476.5,470.0,541.609375,540.0,,6,book
305,541.609375,470.0,619.640625,540.0,,6,would
306,619.640625,470.0,680.09375,540.0,,6,float
307,680.09375,470.0,710.75,540.0,,6,to
308,710.75,470.0,755.828125,540.0,,6,the
309,755.828125,470.0,801.90625,540.0,,6,top
310,801.90625,470.0,832.078125,540.0,,6,of
311,832.078125,470.0,877.15625,540.0,,6,the
312,877.15625,470.0,942.15625,540.0,,6,tank.
313,942.15625,470.0,1026.640625,540.0,,6,Emma
314,43.15625,540.0,135.546875,610.0,,7,wished
315,135.546875,540.0,176.8125,610.0,,7,for
316,176.8125,540.0,197.3125,610.0,,7,a
317,197.3125,540.0,275.09375,610.0,,7,sunny
318,275.09375,540.0,329.28125,610.0,,7,"day,"
319,329.28125,540.0,380.640625,610.0,,7,and
320,380.640625,540.0,425.6875,610.0,,7,the
321,425.6875,540.0,474.90625,610.0,,7,sun
322,474.90625,540.0,553.625,610.0,,7,would
323,553.625,540.0,623.75,610.0,,7,shine
324,623.75,540.0,721.296875,610.0,,7,brightly
325,721.296875,540.0,823.515625,610.0,,7,through
326,823.515625,540.0,868.40625,610.0,,7,the
327,868.40625,540.0,972.125,610.0,,7,window.
328,972.125,540.0,1019.25,610.0,,7,But
329,1019.25,540.0,1054.984375,610.0,,7,as
330,43.53125,610.0,106.03125,680.0,,8,time
331,106.03125,610.0,171.0,680.0,,8,went
332,171.0,610.0,214.671875,680.0,,8,"on,"
333,214.671875,610.0,312.328125,680.0,,8,Emma's
334,312.328125,610.0,398.78125,680.0,,8,wishes
335,398.78125,610.0,498.25,680.0,,8,became
336,498.25,610.0,567.0,680.0,,8,more
337,567.0,610.0,618.53125,680.0,,8,and
338,618.53125,610.0,687.3125,680.0,,8,more
339,687.3125,610.0,840.65625,680.0,,8,extravagant.
340,840.65625,610.0,890.390625,680.0,,8,She
341,890.390625,610.0,979.359375,680.0,,8,wished
342,979.359375,610.0,1020.625,680.0,,8,for
343,1020.625,610.0,1044.390625,680.0,,8,a
344,43.953125,680.0,102.140625,750.0,,9,new
345,102.140625,680.0,164.4375,750.0,,9,"bike,"
346,164.4375,680.0,215.765625,750.0,,9,and
347,215.765625,680.0,289.78125,750.0,,9,Finley
348,289.78125,680.0,368.5,750.0,,9,would
349,368.5,680.0,436.484375,750.0,,9,swim
350,436.484375,680.0,467.140625,750.0,,9,to
351,467.140625,680.0,512.1875,750.0,,9,the
352,512.1875,680.0,611.890625,750.0,,9,"surface,"
353,611.890625,680.0,663.25,750.0,,9,and
354,663.25,680.0,683.75,750.0,,9,a
355,683.75,680.0,752.5703125,750.0,,9,shiny
356,752.5703125,680.0,807.734375,750.0,,9,new
357,807.734375,680.0,863.140625,750.0,,9,bike
358,863.140625,680.0,941.890625,750.0,,9,would
359,941.890625,680.0,1034.859375,750.0,,9,appear
360,43.953125,750.0,74.453125,820.0,,10,in
361,74.453125,750.0,139.75,820.0,,10,front
362,139.75,750.0,170.1328125,820.0,,10,of
363,170.1328125,750.0,218.84375,820.0,,10,her.
364,218.84375,750.0,268.578125,820.0,,10,She
365,268.578125,750.0,357.546875,820.0,,10,wished
366,357.546875,750.0,398.8125,820.0,,10,for
367,398.8125,750.0,419.34375,820.0,,10,a
368,419.34375,750.0,467.03125,820.0,,10,trip
369,467.03125,750.0,497.6875,820.0,,10,to
370,497.6875,750.0,542.9375,820.0,,10,the
371,542.9375,750.0,626.921875,820.0,,10,"beach,"
372,626.921875,750.0,678.25,820.0,,10,and
373,678.25,750.0,752.265625,820.0,,10,Finley
374,752.265625,750.0,830.984375,820.0,,10,would
375,830.984375,750.0,898.96875,820.0,,10,swim
376,898.96875,750.0,929.625,820.0,,10,to
377,929.625,750.0,977.9375,820.0,,10,the
