index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.453125,80.5,101.453125,100.5,question,0,y
3,100.953125,94.5,107.953125,94.5,question,0, 
4,108.328125,75.5,123.328125,94.5,question,0,d
5,123.78125,75.5,129.78125,94.5,question,0,i
6,130.15625,75.5,145.15625,94.5,question,0,d
7,144.65625,94.5,151.65625,94.5,question,0, 
8,151.5625,76.5,165.5625,94.5,question,0,E
9,165.9375,80.5,188.9375,94.5,question,0,m
10,189.390625,75.5,195.390625,94.5,question,0,i
11,195.84375,75.5,201.84375,94.5,question,0,l
12,201.59375,80.5,214.59375,100.5,question,0,y
13,214.09375,94.5,221.09375,94.5,question,0, 
14,221.125,80.5,235.125,94.5,question,0,a
15,235.5,80.5,250.5,100.5,question,0,p
16,250.625,80.5,265.625,94.5,question,0,o
17,266.078125,75.5,272.078125,94.5,question,0,l
18,272.203125,80.5,287.203125,94.5,question,0,o
19,287.578125,80.5,302.578125,100.5,question,0,g
20,303.03125,75.5,309.03125,94.5,question,0,i
21,308.78125,80.5,320.78125,94.5,question,0,z
22,320.875,80.5,334.875,94.5,question,0,e
23,334.71875,76.5,345.71875,94.5,question,0,?
24,99.71875,216.5,113.71875,234.5,option:0,0,S
25,114.171875,215.5,129.171875,234.5,option:0,0,h
26,129.265625,220.5,143.265625,234.5,option:0,0,e
27,142.765625,234.5,149.765625,234.5,option:0,0, 
28,149.421875,220.5,169.421875,234.5,option:0,0,w
29,169.453125,220.5,183.453125,234.5,option:0,0,a
30,183.421875,220.5,195.421875,234.5,option:0,0,s
31,194.921875,234.5,201.921875,234.5,option:0,0, 
32,202.375,215.5,208.375,234.5,option:0,0,l
33,208.40625,220.5,222.40625,234.5,option:0,0,a
34,222.4375,217.5,231.4375,234.5,option:0,0,t
35,231.53125,220.5,245.53125,234.5,option:0,0,e
36,245.03125,234.5,252.03125,234.5,option:0,0, 
37,250.625,215.5,260.625,234.5,option:0,0,f
38,260.75,220.5,275.75,234.5,option:0,0,o
39,276.078125,220.5,286.078125,234.5,option:0,0,r
40,285.578125,234.5,292.578125,234.5,option:0,0, 
41,292.609375,217.5,301.609375,234.5,option:0,0,t
42,302.0625,215.5,317.0625,234.5,option:0,0,h
43,317.15625,220.5,331.15625,234.5,option:0,0,e
44,330.65625,234.5,337.65625,234.5,option:0,0, 
45,338.03125,220.5,361.03125,234.5,option:0,0,m
46,361.125,220.5,375.125,234.5,option:0,0,e
47,375.21875,220.5,389.21875,234.5,option:0,0,e
48,389.25,217.5,398.25,234.5,option:0,0,t
49,398.703125,215.5,404.703125,234.5,option:0,0,i
50,405.15625,220.5,420.15625,234.5,option:0,0,n
51,420.53125,220.5,435.53125,240.5,option:0,0,g
52,99.71875,286.5,113.71875,304.5,option:1,0,S
53,114.171875,285.5,129.171875,304.5,option:1,0,h
54,129.265625,290.5,143.265625,304.5,option:1,0,e
55,142.765625,304.5,149.765625,304.5,option:1,0, 
56,150.21875,285.5,165.21875,304.5,option:1,0,h
57,165.25,290.5,179.25,304.5,option:1,0,a
58,179.625,285.5,194.625,304.5,option:1,0,d
59,194.125,304.5,201.125,304.5,option:1,0, 
60,201.09375,290.5,213.09375,304.5,option:1,0,s
61,213.46875,290.5,228.46875,310.5,option:1,0,p
62,228.921875,285.5,234.921875,304.5,option:1,0,i
63,235.375,285.5,241.375,304.5,option:1,0,l
64,241.828125,285.5,247.828125,304.5,option:1,0,l
65,247.921875,290.5,261.921875,304.5,option:1,0,e
66,262.296875,285.5,277.296875,304.5,option:1,0,d
67,276.796875,304.5,283.796875,304.5,option:1,0, 
68,284.25,285.5,299.25,304.5,option:1,0,h
69,299.34375,290.5,313.34375,304.5,option:1,0,e
70,313.671875,290.5,323.671875,304.5,option:1,0,r
71,323.171875,304.5,330.171875,304.5,option:1,0, 
72,330.171875,290.5,342.171875,304.5,option:1,0,c
73,342.296875,290.5,357.296875,304.5,option:1,0,o
74,355.890625,285.5,365.890625,304.5,option:1,0,f
75,364.5,285.5,374.5,304.5,option:1,0,f
76,374.59375,290.5,388.59375,304.5,option:1,0,e
77,388.6875,290.5,402.6875,304.5,option:1,0,e
78,402.390625,301.5,409.390625,304.5,option:1,0,.
79,99.71875,356.5,113.71875,374.5,option:2,0,S
80,114.171875,355.5,129.171875,374.5,option:2,0,h
81,129.265625,360.5,143.265625,374.5,option:2,0,e
82,142.765625,374.5,149.765625,374.5,option:2,0, 
83,150.140625,355.5,165.140625,374.5,option:2,0,b
84,165.59375,360.5,180.59375,374.5,option:2,0,u
85,180.96875,360.5,203.96875,374.5,option:2,0,m
86,204.34375,360.5,219.34375,380.5,option:2,0,p
87,219.4375,360.5,233.4375,374.5,option:2,0,e
88,233.8125,355.5,248.8125,374.5,option:2,0,d
89,248.3125,374.5,255.3125,374.5,option:2,0, 
90,255.765625,355.5,261.765625,374.5,option:2,0,i
91,262.21875,360.5,277.21875,374.5,option:2,0,n
92,277.25,357.5,286.25,374.5,option:2,0,t
