index,left,top,right,bottom,section,line,content
0,43.75,50,104.890625,120.0,question,0,Why
1,104.890625,50,148.359375,120.0,question,0,did
2,148.359375,50,217.859375,120.0,question,0,Emily
3,217.859375,50,352.21875,120.0,question,0,apologize?
4,93.21875,190.0,146.34375,260.0,option:0,0,She
5,146.34375,190.0,198.8984375,260.0,option:0,0,was
6,198.8984375,190.0,248.078125,260.0,option:0,0,late
7,248.078125,190.0,289.34375,260.0,option:0,0,for
8,289.34375,190.0,334.59375,260.0,option:0,0,the
9,334.59375,190.0,442.03125,260.0,option:0,0,meeting
10,93.21875,260.0,146.7421875,330.0,option:1,0,She
11,146.7421875,260.0,197.859375,330.0,option:1,0,had
12,197.859375,260.0,280.7734375,330.0,option:1,0,spilled
13,280.7734375,260.0,326.921875,330.0,option:1,0,her
14,326.921875,260.0,415.890625,330.0,option:1,0,coffee.
15,93.21875,330.0,146.703125,400.0,option:2,0,She
16,146.703125,330.0,252.2890625,400.0,option:2,0,bumped
17,252.2890625,330.0,304.609375,400.0,option:2,0,into
18,304.609375,330.0,430.3125,400.0,option:2,0,someone.
19,93.21875,400.0,146.34375,470.0,option:3,0,She
20,146.34375,400.0,198.8984375,470.0,option:3,0,was
21,198.8984375,400.0,334.515625,470.0,option:3,0,improperly
22,334.515625,400.0,443.484375,470.0,option:3,0,dressed.
