index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.640625,75.5,133.640625,94.5,question,0,d
6,133.765625,80.5,148.765625,94.5,question,0,o
7,148.859375,80.5,162.859375,94.5,question,0,e
8,162.828125,80.5,174.828125,94.5,question,0,s
9,174.328125,94.5,181.328125,94.5,question,0, 
10,181.234375,76.5,195.234375,94.5,question,0,E
11,195.609375,80.5,218.609375,94.5,question,0,m
12,218.984375,80.5,241.984375,94.5,question,0,m
13,242.015625,80.5,256.015625,94.5,question,0,a
14,255.515625,94.5,262.515625,94.5,question,0, 
15,262.96875,80.5,277.96875,94.5,question,0,u
16,278.421875,75.5,284.421875,94.5,question,0,l
17,284.453125,77.5,293.453125,94.5,question,0,t
18,293.90625,75.5,299.90625,94.5,question,0,i
19,300.28125,80.5,323.28125,94.5,question,0,m
20,323.3125,80.5,337.3125,94.5,question,0,a
21,337.34375,77.5,346.34375,94.5,question,0,t
22,346.4375,80.5,360.4375,94.5,question,0,e
23,360.890625,75.5,366.890625,94.5,question,0,l
24,366.640625,80.5,379.640625,100.5,question,0,y
25,379.140625,94.5,386.140625,94.5,question,0, 
26,386.515625,80.5,401.515625,100.5,question,0,g
27,401.96875,75.5,407.96875,94.5,question,0,i
28,407.671875,80.5,420.671875,94.5,question,0,v
29,420.765625,80.5,434.765625,94.5,question,0,e
30,434.265625,94.5,441.265625,94.5,question,0, 
31,441.71875,80.5,456.71875,94.5,question,0,u
32,457.09375,80.5,472.09375,100.5,question,0,p
33,471.59375,94.5,478.59375,94.5,question,0, 
34,478.96875,75.5,493.96875,94.5,question,0,b
35,493.21875,80.5,506.21875,100.5,question,0,y
36,505.71875,94.5,512.71875,94.5,question,0, 
37,512.6875,80.5,524.6875,94.5,question,0,s
38,525.140625,75.5,531.140625,94.5,question,0,i
39,531.515625,80.5,546.515625,100.5,question,0,g
40,546.96875,80.5,561.96875,94.5,question,0,n
41,562.421875,75.5,568.421875,94.5,question,0,i
42,568.875,80.5,583.875,94.5,question,0,n
43,584.25,80.5,599.25,100.5,question,0,g
44,598.75,94.5,605.75,94.5,question,0, 
45,605.78125,77.5,614.78125,94.5,question,0,t
46,615.234375,75.5,630.234375,94.5,question,0,h
47,630.328125,80.5,644.328125,94.5,question,0,e
48,643.828125,94.5,650.828125,94.5,question,0, 
49,650.828125,80.5,662.828125,94.5,question,0,c
50,662.953125,80.5,677.953125,94.5,question,0,o
51,678.40625,80.5,693.40625,94.5,question,0,n
52,693.4375,77.5,702.4375,94.5,question,0,t
53,702.765625,80.5,712.765625,94.5,question,0,r
54,712.296875,80.5,726.296875,94.5,question,0,a
55,726.296875,80.5,738.296875,94.5,question,0,c
56,738.328125,77.5,747.328125,94.5,question,0,t
57,747.171875,76.5,758.171875,94.5,question,0,?
58,99.53125,216.5,118.53125,234.5,option:0,0,H
59,118.625,220.5,132.625,234.5,option:0,0,e
60,132.953125,220.5,142.953125,234.5,option:0,0,r
61,142.453125,234.5,149.453125,234.5,option:0,0, 
62,149.78125,220.5,159.78125,234.5,option:0,0,r
63,159.375,220.5,173.375,234.5,option:0,0,e
64,173.828125,215.5,179.828125,234.5,option:0,0,l
65,179.859375,220.5,193.859375,234.5,option:0,0,a
66,193.890625,217.5,202.890625,234.5,option:0,0,t
67,203.34375,215.5,209.34375,234.5,option:0,0,i
68,209.46875,220.5,224.46875,234.5,option:0,0,o
69,224.921875,220.5,239.921875,234.5,option:0,0,n
70,239.890625,220.5,251.890625,234.5,option:0,0,s
71,252.34375,215.5,267.34375,234.5,option:0,0,h
72,267.796875,215.5,273.796875,234.5,option:0,0,i
73,274.171875,220.5,289.171875,240.5,option:0,0,p
74,289.140625,220.5,301.140625,234.5,option:0,0,s
75,300.640625,234.5,307.640625,234.5,option:0,0, 
76,307.296875,220.5,327.296875,234.5,option:0,0,w
77,327.75,215.5,333.75,234.5,option:0,0,i
78,333.78125,217.5,342.78125,234.5,option:0,0,t
79,343.234375,215.5,358.234375,234.5,option:0,0,h
80,357.734375,234.5,364.734375,234.5,option:0,0, 
81,363.328125,215.5,373.328125,234.5,option:0,0,f
82,373.65625,220.5,383.65625,234.5,option:0,0,r
83,384.109375,215.5,390.109375,234.5,option:0,0,i
84,390.203125,220.5,404.203125,234.5,option:0,0,e
85,404.65625,220.5,419.65625,234.5,option:0,0,n
86,420.03125,215.5,435.03125,234.5,option:0,0,d
87,435.0,220.5,447.0,234.5,option:0,0,s
88,99.53125,286.5,118.53125,304.5,option:1,0,H
89,118.625,290.5,132.625,304.5,option:1,0,e
90,132.953125,290.5,142.953125,304.5,option:1,0,r
91,142.453125,304.5,149.453125,304.5,option:1,0, 
92,149.109375,290.5,169.109375,304.5,option:1,0,w
93,169.234375,290.5,184.234375,304.5,option:1,0,o
94,184.359375,290.5,199.359375,304.5,option:1,0,o
