index,left,top,right,bottom,section,line,content
0,43.21875,50,139.078125,120.0,,0,Second
1,139.078125,50,210.46875,120.0,,0,Place
2,43.40625,190.0,128.1640625,260.0,,2,Emma
3,128.1640625,190.0,179.3125,260.0,,2,had
4,179.3125,190.0,264.875,260.0,,2,always
5,264.875,190.0,330.21875,260.0,,2,been
6,330.21875,190.0,375.46875,260.0,,2,the
7,375.46875,190.0,496.203125,260.0,,2,perpetual
8,496.203125,190.0,642.0625,260.0,,2,"bridesmaid,"
9,642.0625,190.0,687.3125,260.0,,2,the
10,687.3125,190.0,808.0234375,260.0,,2,perpetual
11,808.0234375,190.0,941.0625,260.0,,2,"runner-up,"
12,941.0625,190.0,989.375,260.0,,2,the
13,43.875,260.0,167.5,330.0,,3,perpetual
14,167.5,260.0,424.921875,330.0,,3,almost-but-not-quite.
15,424.921875,260.0,448.515625,330.0,,3,It
16,448.515625,260.0,530.9296875,330.0,,3,wasn't
17,530.9296875,260.0,580.3359375,330.0,,3,just
18,580.3359375,260.0,667.859375,330.0,,3,limited
19,667.859375,260.0,698.5,330.0,,3,to
20,698.5,260.0,810.421875,330.0,,3,"contests,"
21,810.421875,260.0,892.28125,330.0,,3,either.
22,43.046875,330.0,216.65625,400.0,,4,"Relationships,"
23,216.65625,330.0,362.125,400.0,,4,"friendships,"
24,362.125,330.0,424.46875,400.0,,4,even
25,424.46875,330.0,536.5625,400.0,,4,everyday
26,536.5625,330.0,748.953125,400.0,,4,accomplishments
27,748.953125,330.0,768.1875,400.0,,4,–
28,768.1875,330.0,816.21875,400.0,,4,she
29,816.21875,330.0,961.796875,400.0,,4,consistently
30,961.796875,330.0,1042.25,400.0,,4,found
31,43.953125,400.0,133.53125,470.0,,5,herself
32,133.53125,400.0,242.375,470.0,,5,finishing
33,242.375,400.0,339.375,470.0,,5,second.
34,339.375,400.0,388.359375,470.0,,5,Her
35,388.359375,400.0,477.65625,470.0,,5,friends
36,477.65625,400.0,556.40625,470.0,,5,would
37,556.40625,400.0,626.3359375,470.0,,5,tease
38,626.3359375,400.0,672.671875,470.0,,5,her
39,672.671875,400.0,866.203125,470.0,,5,"good-naturedly,"
40,866.203125,400.0,949.1484375,470.0,,5,calling
41,949.1484375,400.0,998.546875,470.0,,5,her
42,43.703125,470.0,188.609375,540.0,,6,"""Runner-up"
43,188.609375,470.0,279.984375,540.0,,6,"Emma"""
44,279.984375,470.0,368.7265625,540.0,,6,behind
45,368.7265625,470.0,415.0625,540.0,,6,her
46,415.0625,470.0,483.015625,540.0,,6,"back,"
47,483.015625,470.0,529.375,540.0,,6,but
48,529.375,470.0,594.8125,540.0,,6,deep
49,594.8125,470.0,673.1640625,540.0,,6,"down,"
50,673.1640625,470.0,694.90625,540.0,,6,it
51,694.90625,470.0,778.65625,540.0,,6,stung.
52,43.46875,610.0,81.171875,680.0,,8,As
53,81.171875,610.0,129.25,680.0,,8,she
54,129.25,610.0,227.6875,680.0,,8,entered
55,227.6875,610.0,362.3125,680.0,,8,"adulthood,"
56,362.3125,610.0,406.671875,680.0,,8,the
57,406.671875,610.0,494.453125,680.0,,8,feeling
58,494.453125,610.0,550.8984375,680.0,,8,only
59,550.8984375,610.0,687.15625,680.0,,8,intensified.
60,687.15625,610.0,737.078125,680.0,,8,She
61,737.078125,610.0,830.015625,680.0,,8,applied
62,830.015625,610.0,871.4921875,680.0,,8,for
63,871.4921875,610.0,936.640625,680.0,,8,"jobs,"
64,43.953125,680.0,192.0,750.0,,9,"internships,"
65,192.0,680.0,243.53125,750.0,,9,and
66,243.53125,680.0,357.25,750.0,,9,graduate
67,357.25,680.0,485.234375,750.0,,9,"programs,"
68,485.234375,680.0,541.46875,750.0,,9,only
69,541.46875,680.0,572.296875,750.0,,9,to
70,572.296875,680.0,608.2421875,750.0,,9,be
71,608.2421875,680.0,709.7734375,750.0,,9,rejected
72,709.7734375,680.0,737.25,750.0,,9,in
73,737.25,680.0,805.296875,750.0,,9,favor
74,805.296875,680.0,835.640625,750.0,,9,of
75,835.640625,680.0,904.5625,750.0,,9,more
76,904.5625,680.0,1016.40625,750.0,,9,qualified
77,43.5,750.0,187.53125,820.0,,10,candidates.
78,187.53125,750.0,237.3828125,820.0,,10,Her
79,237.3828125,750.0,349.1796875,820.0,,10,romantic
80,349.1796875,750.0,506.5,820.0,,10,relationships
81,506.5,750.0,588.234375,820.0,,10,fizzled
82,588.234375,750.0,641.0,820.0,,10,"out,"
83,641.0,750.0,673.7109375,820.0,,10,as
84,673.7109375,750.0,720.046875,820.0,,10,her
85,720.046875,750.0,827.1953125,820.0,,10,partners
86,827.1953125,750.0,945.0625,820.0,,10,inevitably
87,945.0625,750.0,1025.515625,820.0,,10,found
