index,left,top,right,bottom,section,line,content
1253,49.96875,80.5,61.96875,94.5,,0,s
1254,62.0,77.5,71.0,94.5,,0,t
1255,71.03125,80.5,85.03125,94.5,,0,a
1256,85.359375,80.5,95.359375,94.5,,0,r
1257,95.8125,75.5,101.8125,94.5,,0,i
1258,102.265625,80.5,117.265625,94.5,,0,n
1259,117.640625,80.5,132.640625,100.5,,0,g
1260,132.140625,94.5,139.140625,94.5,,0, 
1261,139.171875,80.5,153.171875,94.5,,0,a
1262,153.203125,77.5,162.203125,94.5,,0,t
1263,161.703125,94.5,168.703125,94.5,,0, 
1264,169.15625,75.5,184.15625,94.5,,0,h
1265,184.25,80.5,198.25,94.5,,0,e
1266,198.578125,80.5,208.578125,94.5,,0,r
1267,204.28125,91.5,211.28125,97.5,,0,","
1268,210.78125,94.5,217.78125,94.5,,0, 
1269,218.15625,75.5,233.15625,94.5,,0,b
1270,233.609375,80.5,248.609375,94.5,,0,u
1271,248.640625,77.5,257.640625,94.5,,0,t
1272,257.140625,94.5,264.140625,94.5,,0, 
1273,264.59375,80.5,279.59375,94.5,,0,n
1274,279.71875,80.5,294.71875,94.5,,0,o
1275,294.75,77.5,303.75,94.5,,0,t
1276,303.25,94.5,310.25,94.5,,0, 
1277,310.703125,75.5,316.703125,94.5,,0,i
1278,317.15625,80.5,332.15625,94.5,,0,n
1279,331.65625,94.5,338.65625,94.5,,0, 
1280,338.6875,80.5,352.6875,94.5,,0,a
1281,352.1875,94.5,359.1875,94.5,,0, 
1282,359.1875,80.5,371.1875,94.5,,0,c
1283,371.28125,80.5,385.28125,94.5,,0,e
1284,385.734375,75.5,391.734375,94.5,,0,l
1285,391.828125,80.5,405.828125,94.5,,0,e
1286,406.203125,75.5,421.203125,94.5,,0,b
1287,421.53125,80.5,431.53125,94.5,,0,r
1288,431.0625,80.5,445.0625,94.5,,0,a
1289,445.09375,77.5,454.09375,94.5,,0,t
1290,454.21875,80.5,469.21875,94.5,,0,o
1291,469.546875,80.5,479.546875,94.5,,0,r
1292,479.296875,80.5,492.296875,100.5,,0,y
1293,491.796875,94.5,498.796875,94.5,,0, 
1294,498.453125,80.5,518.453125,94.5,,0,w
1295,518.484375,80.5,532.484375,94.5,,0,a
1296,532.234375,80.5,545.234375,100.5,,0,y
1297,543.9375,91.5,550.9375,94.5,,0,.
1298,550.4375,94.5,557.4375,94.5,,0, 
1299,557.34375,76.5,571.34375,94.5,,0,T
1300,571.796875,75.5,586.796875,94.5,,0,h
1301,586.890625,80.5,600.890625,94.5,,0,e
1302,600.140625,80.5,613.140625,100.5,,0,y
1303,612.640625,94.5,619.640625,94.5,,0, 
1304,619.296875,80.5,639.296875,94.5,,0,w
1305,639.390625,80.5,653.390625,94.5,,0,e
1306,653.71875,80.5,663.71875,94.5,,0,r
1307,663.3125,80.5,677.3125,94.5,,0,e
1308,676.8125,94.5,683.8125,94.5,,0, 
1309,683.78125,80.5,695.78125,94.5,,0,s
1310,695.8125,77.5,704.8125,94.5,,0,t
1311,704.84375,80.5,718.84375,94.5,,0,a
1312,719.171875,80.5,729.171875,94.5,,0,r
1313,729.625,75.5,735.625,94.5,,0,i
1314,736.078125,80.5,751.078125,94.5,,0,n
1315,751.453125,80.5,766.453125,100.5,,0,g
1316,765.953125,94.5,772.953125,94.5,,0, 
1317,772.984375,80.5,786.984375,94.5,,0,a
1318,787.015625,77.5,796.015625,94.5,,0,t
1319,795.515625,94.5,802.515625,94.5,,0, 
1320,802.96875,75.5,817.96875,94.5,,0,h
1321,818.0625,80.5,832.0625,94.5,,0,e
1322,832.390625,80.5,842.390625,94.5,,0,r
1323,841.890625,94.5,848.890625,94.5,,0, 
1324,848.546875,80.5,868.546875,94.5,,0,w
1325,869.0,75.5,875.0,94.5,,0,i
1326,875.03125,77.5,884.03125,94.5,,0,t
1327,884.484375,75.5,899.484375,94.5,,0,h
1328,898.984375,94.5,905.984375,94.5,,0, 
1329,906.015625,80.5,920.015625,94.5,,0,a
1330,919.515625,94.5,926.515625,94.5,,0, 
1331,926.890625,80.5,949.890625,94.5,,0,m
1332,950.34375,75.5,956.34375,94.5,,0,i
1333,956.5625,80.5,969.5625,94.5,,0,x
1334,969.59375,77.5,978.59375,94.5,,0,t
1335,979.046875,80.5,994.046875,94.5,,0,u
1336,994.375,80.5,1004.375,94.5,,0,r
1337,1003.96875,80.5,1017.96875,94.5,,0,e
1338,1017.46875,94.5,1024.46875,94.5,,0, 
1339,1024.59375,80.5,1039.59375,94.5,,0,o
1340,1038.1875,75.5,1048.1875,94.5,,0,f
1341,50.0,150.5,62.0,164.5,,1,c
1342,62.453125,150.5,77.453125,164.5,,1,u
1343,77.78125,150.5,87.78125,164.5,,1,r
1344,88.234375,145.5,94.234375,164.5,,1,i
1345,94.359375,150.5,109.359375,164.5,,1,o
1346,109.328125,150.5,121.328125,164.5,,1,s
1347,121.78125,145.5,127.78125,164.5,,1,i
1348,127.8125,147.5,136.8125,164.5,,1,t
1349,136.5625,150.5,149.5625,170.5,,1,y
1350,149.0625,164.5,156.0625,164.5,,1, 
1351,156.09375,150.5,170.09375,164.5,,1,a
1352,170.546875,150.5,185.546875,164.5,,1,n
1353,185.921875,145.5,200.921875,164.5,,1,d
1354,200.421875,164.5,207.421875,164.5,,1, 
1355,207.390625,150.5,219.390625,164.5,,1,s
1356,219.84375,150.5,234.84375,164.5,,1,u
1357,234.8125,150.5,246.8125,164.5,,1,s
1358,247.1875,150.5,262.1875,170.5,,1,p
1359,262.640625,145.5,268.640625,164.5,,1,i
1360,268.640625,150.5,280.640625,164.5,,1,c
1361,281.09375,145.5,287.09375,164.5,,1,i
1362,287.21875,150.5,302.21875,164.5,,1,o
1363,302.671875,150.5,317.671875,164.5,,1,n
1364,317.375,161.5,324.375,164.5,,1,.
1365,49.96875,286.5,65.96875,304.5,,3,A
1366,65.9375,290.5,77.9375,304.5,,3,s
1367,77.4375,304.5,84.4375,304.5,,3, 
1368,84.34375,286.5,98.34375,304.5,,3,E
