index,left,top,right,bottom,section,line,content
430,43.703125,50,72.109375,120.0,,0,"""I"
431,72.109375,50,138.453125,120.0,,0,don't
432,138.453125,50,208.5859375,120.0,,0,know
433,208.5859375,50,230.140625,120.0,,0,if
434,230.140625,50,273.2890625,120.0,,0,I'm
435,273.2890625,50,345.0,120.0,,0,ready
436,345.0,50,386.265625,120.0,,0,for
437,386.265625,50,457.15625,120.0,,0,"that,"""
438,457.15625,50,526.625,120.0,,0,Emily
439,526.625,50,586.96875,120.0,,0,"said,"
440,586.96875,50,674.703125,120.0,,0,feeling
441,674.703125,50,695.203125,120.0,,0,a
442,695.203125,50,769.359375,120.0,,0,sense
443,769.359375,50,799.53125,120.0,,0,of
444,799.53125,50,946.21875,120.0,,0,trepidation.
445,43.40625,190.0,96.53125,260.0,,2,The
446,96.53125,190.0,190.828125,260.0,,2,woman
447,190.828125,190.0,281.8671875,260.0,,2,smiled.
448,281.8671875,190.0,342.390625,260.0,,2,"""You"
449,342.390625,190.0,409.2890625,260.0,,2,don't
450,409.2890625,190.0,471.859375,260.0,,2,have
451,471.859375,190.0,492.375,260.0,,2,a
452,492.375,190.0,580.65625,260.0,,2,"choice,"
453,580.65625,190.0,655.421875,260.0,,2,Emily.
454,655.421875,190.0,734.640625,260.0,,2,You're
455,734.640625,190.0,779.765625,260.0,,2,the
456,779.765625,190.0,836.046875,260.0,,2,only
457,836.046875,190.0,886.984375,260.0,,2,one
458,886.984375,190.0,943.890625,260.0,,2,who
459,943.890625,190.0,992.0625,260.0,,2,can
460,992.0625,190.0,1032.125,260.0,,2,do
461,43.53125,260.0,102.84375,330.0,,3,this.
462,102.84375,260.0,156.3828125,330.0,,3,And
463,156.3828125,260.0,177.578125,330.0,,3,if
464,177.578125,260.0,227.6953125,330.0,,3,you
465,227.6953125,260.0,314.640625,330.0,,3,"refuse,"
466,314.640625,260.0,383.3125,330.0,,3,you'll
467,383.3125,260.0,419.078125,330.0,,3,be
468,419.078125,260.0,487.6171875,330.0,,3,stuck
469,487.6171875,260.0,515.78125,330.0,,3,in
470,515.78125,260.0,606.5,330.0,,3,second
471,606.5,260.0,674.0625,330.0,,3,place
472,674.0625,260.0,781.6875,330.0,,3,"forever."""
473,43.40625,400.0,116.4140625,470.0,,5,Emily
474,116.4140625,400.0,239.1484375,470.0,,5,"hesitated,"
475,239.1484375,400.0,327.734375,470.0,,5,unsure
476,327.734375,400.0,357.71875,470.0,,5,of
477,357.71875,400.0,422.578125,470.0,,5,what
478,422.578125,400.0,453.40625,470.0,,5,to
479,453.40625,400.0,497.046875,470.0,,5,do.
480,497.046875,400.0,544.171875,470.0,,5,But
481,544.171875,400.0,576.640625,470.0,,5,as
482,576.640625,400.0,624.8984375,470.0,,5,she
483,624.8984375,400.0,710.75,470.0,,5,looked
484,710.75,400.0,756.8125,470.0,,5,out
485,756.8125,400.0,786.375,470.0,,5,at
486,786.375,400.0,831.4375,470.0,,5,the
487,831.4375,400.0,916.109375,470.0,,5,"crowd,"
488,916.109375,400.0,963.8125,470.0,,5,she
489,963.8125,400.0,1035.9375,470.0,,5,knew
490,43.46875,470.0,94.9921875,540.0,,6,she
491,94.9921875,470.0,146.3515625,540.0,,6,had
492,146.3515625,470.0,183.203125,540.0,,6,no
493,183.203125,470.0,271.390625,540.0,,6,choice.
494,271.390625,470.0,321.5234375,540.0,,6,She
495,321.5234375,470.0,372.671875,540.0,,6,had
496,372.671875,470.0,403.328125,540.0,,6,to
497,403.328125,470.0,460.328125,540.0,,6,take
498,460.328125,470.0,505.578125,540.0,,6,the
499,505.578125,470.0,576.8203125,540.0,,6,"prize,"
500,576.8203125,470.0,613.859375,540.0,,6,no
501,613.859375,470.0,700.078125,540.0,,6,matter
502,700.078125,470.0,745.140625,540.0,,6,the
503,745.140625,470.0,809.71875,540.0,,6,cost.
