index,left,top,right,bottom,section,line,content
221,43.953125,50,84.015625,120.0,,0,no
222,84.015625,50,170.046875,120.0,,0,matter
223,170.046875,50,234.875,120.0,,0,what
224,234.875,50,283.09375,120.0,,0,she
225,283.09375,50,333.296875,120.0,,0,"did,"
226,333.296875,50,381.328125,120.0,,0,she
227,381.328125,50,482.078125,120.0,,0,couldn't
228,482.078125,50,557.5,120.0,,0,shake
229,557.5,50,601.859375,120.0,,0,the
230,601.859375,50,689.640625,120.0,,0,feeling
231,689.640625,50,719.984375,120.0,,0,of
232,719.984375,50,792.875,120.0,,0,being
233,792.875,50,909.140625,120.0,,0,watched.
234,43.03125,190.0,102.5546875,260.0,,2,One
235,102.5546875,190.0,177.3125,260.0,,2,"night,"
236,177.3125,190.0,209.78125,260.0,,2,as
237,209.78125,190.0,257.640625,260.0,,2,she
238,257.640625,190.0,309.796875,260.0,,2,was
239,309.796875,190.0,407.4609375,260.0,,2,walking
240,407.4609375,190.0,481.078125,260.0,,2,home
241,481.078125,190.0,545.03125,260.0,,2,from
242,545.03125,190.0,616.84375,260.0,,2,"work,"
243,616.84375,190.0,664.859375,260.0,,2,she
244,664.859375,190.0,717.046875,260.0,,2,saw
245,717.046875,190.0,736.859375,260.0,,2,a
246,736.859375,190.0,814.0859375,260.0,,2,figure
247,814.0859375,190.0,842.28125,260.0,,2,in
248,842.28125,190.0,887.53125,260.0,,2,the
249,887.53125,190.0,999.1875,260.0,,2,distance.
250,999.1875,190.0,1026.203125,260.0,,2,It
251,43.15625,260.0,98.921875,330.0,,3,was
252,98.921875,260.0,119.265625,330.0,,3,a
253,119.265625,260.0,213.40625,330.0,,3,woman
254,213.40625,260.0,270.8984375,330.0,,3,with
255,270.8984375,260.0,336.46875,330.0,,3,"long,"
256,336.46875,260.0,396.0859375,330.0,,3,dark
257,396.0859375,260.0,448.640625,330.0,,3,hair
258,448.640625,260.0,500.0,330.0,,3,and
259,500.0,260.0,520.7421875,330.0,,3,a
260,520.7421875,260.0,608.828125,330.0,,3,hoodie
261,608.828125,260.0,688.40625,330.0,,3,pulled
262,688.40625,260.0,746.8203125,330.0,,3,over
263,746.8203125,260.0,793.1953125,330.0,,3,her
264,793.1953125,260.0,865.078125,330.0,,3,head.
265,865.078125,260.0,952.6328125,330.0,,3,Emily's
266,952.6328125,260.0,1025.09375,330.0,,3,heart
267,43.46875,330.0,145.25,400.0,,4,skipped
268,145.25,330.0,165.953125,400.0,,4,a
269,165.953125,330.0,224.8125,400.0,,4,beat
270,224.8125,330.0,257.28125,400.0,,4,as
271,257.28125,330.0,305.5,400.0,,4,she
272,305.5,330.0,433.6796875,400.0,,4,quickened
273,433.6796875,330.0,480.015625,400.0,,4,her
274,480.015625,330.0,548.71875,400.0,,4,"pace,"
275,548.71875,330.0,594.90625,400.0,,4,but
276,594.90625,330.0,627.375,400.0,,4,as
277,627.375,330.0,675.59375,400.0,,4,she
278,675.59375,330.0,721.4375,400.0,,4,got
279,721.4375,330.0,800.625,400.0,,4,"closer,"
280,800.625,330.0,845.515625,400.0,,4,the
281,845.515625,330.0,939.6796875,400.0,,4,woman
282,939.6796875,330.0,1055.109375,400.0,,4,vanished
283,43.953125,400.0,99.328125,470.0,,5,into
284,99.328125,400.0,152.21875,470.0,,5,thin
285,152.21875,400.0,195.46875,470.0,,5,air.
286,43.96875,540.0,70.578125,610.0,,7,It
287,70.578125,540.0,122.921875,610.0,,7,was
288,122.921875,540.0,183.453125,610.0,,7,then
289,183.453125,540.0,237.4375,610.0,,7,that
290,237.4375,540.0,307.0859375,610.0,,7,Emily
291,307.0859375,540.0,405.515625,610.0,,7,realized
292,405.515625,540.0,450.765625,610.0,,7,the
293,450.765625,540.0,561.8125,610.0,,7,message
294,561.8125,540.0,614.328125,610.0,,7,was
295,614.328125,540.0,683.078125,610.0,,7,more
296,683.078125,540.0,743.7578125,610.0,,7,than
297,743.7578125,540.0,792.953125,610.0,,7,just
298,792.953125,540.0,813.65625,610.0,,7,a
299,813.65625,540.0,894.9375,610.0,,7,prank.
300,894.9375,540.0,918.53125,610.0,,7,It
301,918.53125,540.0,970.875,610.0,,7,was
302,970.875,540.0,994.640625,610.0,,7,a
303,43.15625,610.0,156.6875,680.0,,8,warning.
304,156.6875,610.0,209.984375,680.0,,8,And
305,209.984375,610.0,258.2421875,680.0,,8,she
306,258.2421875,610.0,309.6015625,680.0,,8,had
307,309.6015625,610.0,346.6796875,680.0,,8,no
308,346.6796875,610.0,402.734375,680.0,,8,idea
309,402.734375,610.0,459.46875,680.0,,8,who
310,459.46875,610.0,511.984375,680.0,,8,was
311,511.984375,610.0,600.7265625,680.0,,8,behind
312,600.7265625,610.0,622.546875,680.0,,8,it
313,622.546875,610.0,654.265625,680.0,,8,or
314,654.265625,610.0,719.125,680.0,,8,what
315,719.125,610.0,776.265625,680.0,,8,they
