index,left,top,right,bottom,section,line,content
0,43.03125,50,106.2890625,120.0,question,0,How
1,106.2890625,50,239.984375,120.0,question,0,interesting
2,239.984375,50,283.375,120.0,question,0,did
3,283.375,50,332.625,120.0,question,0,you
4,332.625,50,385.71875,120.0,question,0,find
5,385.71875,50,435.125,120.0,question,0,this
6,435.125,50,500.578125,120.0,question,0,text?
7,93.796875,190.0,117.296875,260.0,option:0,0,4
8,117.296875,190.0,136.3984375,260.0,option:0,0,–
9,136.3984375,190.0,193.1484375,260.0,option:0,0,very
10,193.1484375,190.0,329.90625,260.0,option:0,0,interesting
11,93.796875,260.0,117.296875,330.0,option:1,0,3
12,117.296875,260.0,136.7109375,330.0,option:1,0,–
13,136.7109375,260.0,216.0390625,330.0,option:1,0,rather
14,216.0390625,260.0,352.796875,330.0,option:1,0,interesting
15,93.796875,330.0,117.296875,400.0,option:2,0,2
16,117.296875,330.0,136.7109375,400.0,option:2,0,–
17,136.7109375,330.0,216.0,400.0,option:2,0,rather
18,216.0,330.0,303.671875,400.0,option:2,0,boring
19,93.796875,400.0,117.296875,470.0,option:3,0,1
20,117.296875,400.0,136.3984375,470.0,option:3,0,–
21,136.3984375,400.0,193.109375,470.0,option:3,0,very
22,193.109375,400.0,280.78125,470.0,option:3,0,boring
