index,left,top,right,bottom,section,line,content
1120,50.375,80.5,65.375,100.5,,0,q
1121,65.828125,80.5,80.828125,94.5,,0,u
1122,80.921875,80.5,94.921875,94.5,,0,e
1123,94.890625,80.5,106.890625,94.5,,0,s
1124,106.921875,77.5,115.921875,94.5,,0,t
1125,116.375,75.5,122.375,94.5,,0,i
1126,122.5,80.5,137.5,94.5,,0,o
1127,137.953125,80.5,152.953125,94.5,,0,n
1128,153.40625,75.5,159.40625,94.5,,0,i
1129,159.859375,80.5,174.859375,94.5,,0,n
1130,175.234375,80.5,190.234375,100.5,,0,g
1131,189.734375,94.5,196.734375,94.5,,0, 
1132,196.828125,80.5,210.828125,94.5,,0,e
1133,210.03125,80.5,223.03125,94.5,,0,v
1134,223.125,80.5,237.125,94.5,,0,e
1135,237.453125,80.5,247.453125,94.5,,0,r
1136,247.203125,80.5,260.203125,100.5,,0,y
1137,259.703125,94.5,266.703125,94.5,,0, 
1138,267.15625,75.5,273.15625,94.5,,0,i
1139,273.609375,80.5,288.609375,94.5,,0,n
1140,288.640625,77.5,297.640625,94.5,,0,t
1141,297.734375,80.5,311.734375,94.5,,0,e
1142,312.0625,80.5,322.0625,94.5,,0,r
1143,321.59375,80.5,335.59375,94.5,,0,a
1144,335.59375,80.5,347.59375,94.5,,0,c
1145,347.625,77.5,356.625,94.5,,0,t
1146,357.078125,75.5,363.078125,94.5,,0,i
1147,363.203125,80.5,378.203125,94.5,,0,o
1148,378.65625,80.5,393.65625,94.5,,0,n
1149,393.359375,91.5,400.359375,97.5,,0,","
1150,399.859375,94.5,406.859375,94.5,,0, 
1151,406.953125,80.5,420.953125,94.5,,0,e
1152,420.15625,80.5,433.15625,94.5,,0,v
1153,433.25,80.5,447.25,94.5,,0,e
1154,447.578125,80.5,457.578125,94.5,,0,r
1155,457.328125,80.5,470.328125,100.5,,0,y
1156,469.828125,94.5,476.828125,94.5,,0, 
1157,476.828125,80.5,488.828125,94.5,,0,c
1158,488.953125,80.5,503.953125,94.5,,0,o
1159,504.40625,80.5,519.40625,94.5,,0,n
1160,519.109375,80.5,532.109375,94.5,,0,v
1161,532.203125,80.5,546.203125,94.5,,0,e
1162,546.53125,80.5,556.53125,94.5,,0,r
1163,556.5,80.5,568.5,94.5,,0,s
1164,568.53125,80.5,582.53125,94.5,,0,a
1165,582.5625,77.5,591.5625,94.5,,0,t
1166,592.015625,75.5,598.015625,94.5,,0,i
1167,598.140625,80.5,613.140625,94.5,,0,o
1168,613.59375,80.5,628.59375,94.5,,0,n
1169,628.296875,91.5,635.296875,94.5,,0,.
1170,634.796875,94.5,641.796875,94.5,,0, 
1171,641.515625,76.5,655.515625,94.5,,0,S
1172,655.546875,77.5,664.546875,94.5,,0,t
1173,664.875,80.5,674.875,94.5,,0,r
1174,674.40625,80.5,688.40625,94.5,,0,a
1175,688.859375,80.5,703.859375,94.5,,0,n
1176,704.234375,80.5,719.234375,100.5,,0,g
1177,719.328125,80.5,733.328125,94.5,,0,e
1178,733.65625,80.5,743.65625,94.5,,0,r
1179,743.625,80.5,755.625,94.5,,0,s
1180,755.25,76.5,761.25,94.5,,0,'
1181,760.75,94.5,767.75,94.5,,0, 
1182,767.71875,80.5,779.71875,94.5,,0,s
1183,780.09375,80.5,803.09375,94.5,,0,m
1184,803.546875,75.5,809.546875,94.5,,0,i
1185,810.0,75.5,816.0,94.5,,0,l
1186,816.09375,80.5,830.09375,94.5,,0,e
1187,830.0625,80.5,842.0625,94.5,,0,s
1188,841.5625,94.5,848.5625,94.5,,0, 
1189,848.53125,80.5,860.53125,94.5,,0,s
1190,860.625,80.5,874.625,94.5,,0,e
1191,874.71875,80.5,888.71875,94.5,,0,e
1192,889.09375,80.5,912.09375,94.5,,0,m
1193,912.1875,80.5,926.1875,94.5,,0,e
1194,926.5625,75.5,941.5625,94.5,,0,d
1195,50.453125,145.5,56.453125,164.5,,1,i
1196,56.90625,150.5,71.90625,164.5,,1,n
1197,71.875,150.5,83.875,164.5,,1,s
1198,84.328125,145.5,90.328125,164.5,,1,i
1199,90.78125,150.5,105.78125,164.5,,1,n
1200,105.78125,150.5,117.78125,164.5,,1,c
1201,117.875,150.5,131.875,164.5,,1,e
1202,132.203125,150.5,142.203125,164.5,,1,r
1203,141.796875,150.5,155.796875,164.5,,1,e
1204,155.5,161.5,162.5,167.5,,1,","
1205,162.0,164.5,169.0,164.5,,1, 
1206,169.03125,150.5,183.03125,164.5,,1,a
1207,183.03125,150.5,195.03125,164.5,,1,c
1208,195.40625,150.5,210.40625,170.5,,1,q
1209,210.859375,150.5,225.859375,164.5,,1,u
1210,225.890625,150.5,239.890625,164.5,,1,a
1211,240.34375,145.5,246.34375,164.5,,1,i
1212,246.796875,150.5,261.796875,164.5,,1,n
1213,261.828125,147.5,270.828125,164.5,,1,t
1214,270.859375,150.5,284.859375,164.5,,1,a
1215,285.3125,150.5,300.3125,164.5,,1,n
1216,300.3125,150.5,312.3125,164.5,,1,c
1217,312.40625,150.5,326.40625,164.5,,1,e
1218,326.375,150.5,338.375,164.5,,1,s
1219,338.0,146.5,344.0,164.5,,1,'
1220,343.5,164.5,350.5,164.5,,1, 
1221,350.15625,150.5,370.15625,164.5,,1,w
1222,370.28125,150.5,385.28125,164.5,,1,o
1223,385.609375,150.5,395.609375,164.5,,1,r
1224,395.484375,145.5,410.484375,164.5,,1,d
1225,410.453125,150.5,422.453125,164.5,,1,s
1226,421.953125,164.5,428.953125,164.5,,1, 
1227,429.40625,145.5,435.40625,164.5,,1,l
1228,435.4375,150.5,449.4375,164.5,,1,a
1229,449.4375,150.5,461.4375,164.5,,1,c
1230,461.53125,150.5,475.53125,164.5,,1,e
1231,475.90625,145.5,490.90625,164.5,,1,d
1232,490.40625,164.5,497.40625,164.5,,1, 
1233,497.0625,150.5,517.0625,164.5,,1,w
1234,517.515625,145.5,523.515625,164.5,,1,i
1235,523.546875,147.5,532.546875,164.5,,1,t
1236,533.0,145.5,548.0,164.5,,1,h
1237,547.5,164.5,554.5,164.5,,1, 
1238,554.953125,145.5,569.953125,164.5,,1,h
1239,570.40625,145.5,576.40625,164.5,,1,i
1240,576.78125,145.5,591.78125,164.5,,1,d
1241,592.15625,145.5,607.15625,164.5,,1,d
1242,607.25,150.5,621.25,164.5,,1,e
1243,621.703125,150.5,636.703125,164.5,,1,n
1244,636.203125,164.5,643.203125,164.5,,1, 
1245,643.234375,150.5,657.234375,164.5,,1,a
1246,657.609375,150.5,672.609375,170.5,,1,g
1247,672.703125,150.5,686.703125,164.5,,1,e
1248,687.15625,150.5,702.15625,164.5,,1,n
1249,702.53125,145.5,717.53125,164.5,,1,d
1250,717.5625,150.5,731.5625,164.5,,1,a
1251,731.53125,150.5,743.53125,164.5,,1,s
1252,743.234375,161.5,750.234375,164.5,,1,.
1253,749.734375,164.5,756.734375,164.5,,1, 
1254,757.203125,146.5,765.203125,164.5,,1,I
1255,764.703125,164.5,771.703125,164.5,,1, 
1256,771.671875,150.5,783.671875,164.5,,1,s
1257,783.703125,147.5,792.703125,164.5,,1,t
1258,792.734375,150.5,806.734375,164.5,,1,a
1259,807.0625,150.5,817.0625,164.5,,1,r
1260,817.09375,147.5,826.09375,164.5,,1,t
1261,826.1875,150.5,840.1875,164.5,,1,e
1262,840.5625,145.5,855.5625,164.5,,1,d
1263,855.0625,164.5,862.0625,164.5,,1, 
1264,862.09375,147.5,871.09375,164.5,,1,t
1265,871.21875,150.5,886.21875,164.5,,1,o
1266,885.71875,164.5,892.71875,164.5,,1, 
1267,892.375,150.5,912.375,164.5,,1,w
1268,912.828125,145.5,918.828125,164.5,,1,i
1269,918.859375,147.5,927.859375,164.5,,1,t
1270,928.3125,145.5,943.3125,164.5,,1,h
1271,943.6875,145.5,958.6875,164.5,,1,d
1272,959.015625,150.5,969.015625,164.5,,1,r
1273,968.546875,150.5,982.546875,164.5,,1,a
1274,982.203125,150.5,1002.203125,164.5,,1,w
1275,1000.90625,161.5,1007.90625,167.5,,1,","
1276,50.03125,220.5,64.03125,234.5,,2,a
1277,63.734375,220.5,76.734375,234.5,,2,v
1278,76.859375,220.5,91.859375,234.5,,2,o
1279,92.3125,215.5,98.3125,234.5,,2,i
1280,98.6875,215.5,113.6875,234.5,,2,d
1281,114.140625,215.5,120.140625,234.5,,2,i
1282,120.59375,220.5,135.59375,234.5,,2,n
1283,135.96875,220.5,150.96875,240.5,,2,g
1284,150.46875,234.5,157.46875,234.5,,2, 
1285,157.4375,220.5,169.4375,234.5,,2,s
1286,169.5625,220.5,184.5625,234.5,,2,o
1287,184.5625,220.5,196.5625,234.5,,2,c
1288,197.015625,215.5,203.015625,234.5,,2,i
1289,203.046875,220.5,217.046875,234.5,,2,a
1290,217.5,215.5,223.5,234.5,,2,l
1291,223.0,234.5,230.0,234.5,,2, 
1292,230.375,220.5,245.375,240.5,,2,g
1293,245.40625,220.5,259.40625,234.5,,2,a
