index,left,top,right,bottom,section,line,content
273,43.96875,50,61.90625,120.0,,0,I
274,61.90625,50,154.0859375,120.0,,0,ducked
275,154.0859375,50,206.4375,120.0,,0,into
276,206.4375,50,227.1796875,120.0,,0,a
277,227.1796875,50,315.0,120.0,,0,nearby
278,315.0,50,427.09375,120.0,,0,"alleyway,"
279,427.09375,50,469.71875,120.0,,0,my
280,469.71875,50,553.84375,120.0,,0,breath
281,553.84375,50,648.3515625,120.0,,0,coming
282,648.3515625,50,676.6953125,120.0,,0,in
283,676.6953125,50,767.296875,120.0,,0,ragged
284,767.296875,50,848.890625,120.0,,0,gasps.
285,848.890625,50,969.921875,120.0,,0,"Suddenly,"
286,969.921875,50,1018.234375,120.0,,0,the
287,42.09375,120.0,123.09375,190.0,,1,figure
288,123.09375,120.0,242.9609375,190.0,,1,"emerged,"
289,242.9609375,120.0,275.984375,190.0,,1,its
290,275.984375,120.0,380.265625,190.0,,1,features
291,380.265625,120.0,427.203125,190.0,,1,still
292,427.203125,120.0,549.6640625,190.0,,1,obscured.
293,549.6640625,120.0,652.09375,190.0,,1,"""They're"
294,652.09375,120.0,783.3515625,190.0,,1,"watching,"""
295,783.3515625,120.0,805.2734375,190.0,,1,it
296,805.2734375,120.0,924.4609375,190.0,,1,"repeated,"
297,924.4609375,120.0,958.0390625,190.0,,1,its
298,958.0390625,120.0,1028.3125,190.0,,1,voice
299,43.953125,190.0,94.0,260.0,,2,low
300,94.0,190.0,145.53125,260.0,,2,and
301,145.53125,190.0,274.8828125,260.0,,2,menacing.
302,274.8828125,190.0,354.734375,260.0,,2,"""Don't"
303,354.734375,190.0,417.046875,260.0,,2,trust
304,417.046875,190.0,530.59375,260.0,,2,"anyone."""
305,43.96875,330.0,61.703125,400.0,,4,I
306,61.703125,330.0,179.53125,400.0,,4,stumbled
307,179.53125,330.0,306.203125,400.0,,4,"backward,"
308,306.203125,330.0,406.59375,400.0,,4,tripping
309,406.59375,330.0,464.96875,400.0,,4,over
310,464.96875,330.0,507.46875,400.0,,4,my
311,507.46875,330.0,562.9375,400.0,,4,own
312,562.9375,330.0,622.640625,400.0,,4,feet.
313,622.640625,330.0,657.328125,400.0,,4,As
314,657.328125,330.0,671.359375,400.0,,4,I
315,671.359375,330.0,720.875,400.0,,4,"fell,"
316,720.875,330.0,765.234375,400.0,,4,the
317,765.234375,330.0,842.0859375,400.0,,4,figure
318,842.0859375,330.0,961.1953125,400.0,,4,"vanished,"
319,961.1953125,330.0,1055.28125,400.0,,4,leaving
320,43.875,400.0,90.703125,470.0,,5,me
321,90.703125,400.0,181.578125,470.0,,5,shaken
322,181.578125,400.0,233.109375,470.0,,5,and
323,233.109375,400.0,376.65625,470.0,,5,bewildered.
324,376.65625,400.0,391.375,470.0,,5,I
325,391.375,400.0,520.40625,470.0,,5,scrambled
326,520.40625,400.0,551.234375,470.0,,5,to
327,551.234375,400.0,592.96875,470.0,,5,my
328,592.96875,400.0,652.671875,470.0,,5,"feet,"
329,652.671875,400.0,765.3046875,470.0,,5,sprinting
330,765.3046875,400.0,846.34375,470.0,,5,"home,"
331,846.34375,400.0,891.234375,470.0,,5,the
332,891.234375,400.0,973.109375,470.0,,5,words
333,43.59375,470.0,147.4296875,540.0,,6,echoing
334,147.4296875,470.0,175.796875,540.0,,6,in
335,175.796875,470.0,218.421875,540.0,,6,my
336,218.421875,470.0,292.1953125,540.0,,6,mind:
337,292.1953125,470.0,372.046875,540.0,,6,"""Don't"
338,372.046875,470.0,434.359375,540.0,,6,trust
339,434.359375,470.0,547.90625,540.0,,6,"anyone."""
