index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,116.859375,75.5,126.859375,94.5,question,0,f
6,127.3125,75.5,133.3125,94.5,question,0,i
7,133.640625,80.5,143.640625,94.5,question,0,r
8,143.609375,80.5,155.609375,94.5,question,0,s
9,155.640625,77.5,164.640625,94.5,question,0,t
10,164.140625,94.5,171.140625,94.5,question,0, 
11,171.171875,80.5,185.171875,94.5,question,0,a
12,185.625,75.5,191.625,94.5,question,0,l
13,191.71875,80.5,205.71875,94.5,question,0,e
14,206.046875,80.5,216.046875,94.5,question,0,r
15,216.078125,77.5,225.078125,94.5,question,0,t
16,225.171875,80.5,239.171875,94.5,question,0,e
17,239.546875,75.5,254.546875,94.5,question,0,d
18,254.046875,94.5,261.046875,94.5,question,0, 
19,260.953125,76.5,274.953125,94.5,question,0,E
20,275.328125,80.5,298.328125,94.5,question,0,m
21,298.78125,75.5,304.78125,94.5,question,0,i
22,305.234375,75.5,311.234375,94.5,question,0,l
23,310.984375,80.5,323.984375,100.5,question,0,y
24,323.484375,94.5,330.484375,94.5,question,0, 
25,330.515625,77.5,339.515625,94.5,question,0,t
26,339.96875,75.5,354.96875,94.5,question,0,h
27,355.0,80.5,369.0,94.5,question,0,a
28,369.03125,77.5,378.03125,94.5,question,0,t
29,377.53125,94.5,384.53125,94.5,question,0, 
30,384.5,80.5,396.5,94.5,question,0,s
31,396.625,80.5,411.625,94.5,question,0,o
32,412.0,80.5,435.0,94.5,question,0,m
33,435.09375,80.5,449.09375,94.5,question,0,e
34,449.125,77.5,458.125,94.5,question,0,t
35,458.578125,75.5,473.578125,94.5,question,0,h
36,474.03125,75.5,480.03125,94.5,question,0,i
37,480.484375,80.5,495.484375,94.5,question,0,n
38,495.859375,80.5,510.859375,100.5,question,0,g
39,510.359375,94.5,517.359375,94.5,question,0, 
40,517.015625,80.5,537.015625,94.5,question,0,w
41,537.046875,80.5,551.046875,94.5,question,0,a
42,551.015625,80.5,563.015625,94.5,question,0,s
43,562.515625,94.5,569.515625,94.5,question,0, 
44,569.171875,80.5,589.171875,94.5,question,0,w
45,589.5,80.5,599.5,94.5,question,0,r
46,599.125,80.5,614.125,94.5,question,0,o
47,614.578125,80.5,629.578125,94.5,question,0,n
48,629.953125,80.5,644.953125,100.5,question,0,g
49,644.796875,76.5,655.796875,94.5,question,0,?
50,99.96875,216.5,115.96875,234.5,option:0,0,A
51,115.46875,234.5,122.46875,234.5,option:0,0, 
52,122.4375,220.5,134.4375,234.5,option:0,0,s
53,134.4375,220.5,146.4375,234.5,option:0,0,c
54,146.765625,220.5,156.765625,234.5,option:0,0,r
55,156.296875,220.5,170.296875,234.5,option:0,0,a
56,170.328125,217.5,179.328125,234.5,option:0,0,t
57,179.328125,220.5,191.328125,234.5,option:0,0,c
58,191.78125,215.5,206.78125,234.5,option:0,0,h
59,207.234375,215.5,213.234375,234.5,option:0,0,i
60,213.6875,220.5,228.6875,234.5,option:0,0,n
61,229.0625,220.5,244.0625,240.5,option:0,0,g
62,243.5625,234.5,250.5625,234.5,option:0,0, 
63,250.53125,220.5,262.53125,234.5,option:0,0,s
64,262.65625,220.5,277.65625,234.5,option:0,0,o
65,278.109375,220.5,293.109375,234.5,option:0,0,u
66,293.5625,220.5,308.5625,234.5,option:0,0,n
67,308.9375,215.5,323.9375,234.5,option:0,0,d
68,323.4375,234.5,330.4375,234.5,option:0,0, 
69,330.46875,220.5,344.46875,234.5,option:0,0,a
70,344.5,217.5,353.5,234.5,option:0,0,t
71,353.0,234.5,360.0,234.5,option:0,0, 
72,360.453125,215.5,375.453125,234.5,option:0,0,h
73,375.546875,220.5,389.546875,234.5,option:0,0,e
74,389.875,220.5,399.875,234.5,option:0,0,r
75,399.375,234.5,406.375,234.5,option:0,0, 
76,406.03125,220.5,426.03125,234.5,option:0,0,w
77,426.484375,215.5,432.484375,234.5,option:0,0,i
78,432.9375,220.5,447.9375,234.5,option:0,0,n
79,448.3125,215.5,463.3125,234.5,option:0,0,d
80,463.4375,220.5,478.4375,234.5,option:0,0,o
81,477.59375,220.5,497.59375,234.5,option:0,0,w
82,99.96875,286.5,115.96875,304.5,option:1,0,A
83,115.46875,304.5,122.46875,304.5,option:1,0, 
84,122.171875,290.5,135.171875,304.5,option:1,0,v
85,135.296875,290.5,150.296875,304.5,option:1,0,o
86,150.75,285.5,156.75,304.5,option:1,0,i
87,156.75,290.5,168.75,304.5,option:1,0,c
88,168.84375,290.5,182.84375,304.5,option:1,0,e
89,183.21875,290.5,206.21875,304.5,option:1,0,m
90,206.25,290.5,220.25,304.5,option:1,0,a
91,220.703125,285.5,226.703125,304.5,option:1,0,i
92,227.15625,285.5,233.15625,304.5,option:1,0,l
93,232.65625,304.5,239.65625,304.5,option:1,0, 
94,238.25,285.5,248.25,304.5,option:1,0,f
