index,left,top,right,bottom,section,line,content
536,49.65625,80.5,69.65625,94.5,,0,w
537,69.6875,80.5,83.6875,94.5,,0,a
538,83.65625,80.5,95.65625,94.5,,0,s
539,95.15625,94.5,102.15625,94.5,,0, 
540,102.1875,77.5,111.1875,94.5,,0,t
541,111.640625,75.5,126.640625,94.5,,0,h
542,127.09375,75.5,133.09375,94.5,,0,i
543,133.0625,80.5,145.0625,94.5,,0,s
544,144.5625,94.5,151.5625,94.5,,0, 
545,151.9375,80.5,166.9375,100.5,,0,p
546,167.03125,80.5,181.03125,94.5,,0,e
547,181.359375,80.5,191.359375,94.5,,0,r
548,191.328125,80.5,203.328125,94.5,,0,s
549,203.453125,80.5,218.453125,94.5,,0,o
550,218.90625,80.5,233.90625,94.5,,0,n
551,233.75,76.5,244.75,94.5,,0,?
552,244.25,94.5,251.25,94.5,,0, 
553,251.5,76.5,274.5,94.5,,0,W
554,274.953125,75.5,289.953125,94.5,,0,h
555,289.984375,80.5,303.984375,94.5,,0,a
556,304.015625,77.5,313.015625,94.5,,0,t
557,312.515625,94.5,319.515625,94.5,,0, 
558,319.890625,75.5,334.890625,94.5,,0,d
559,335.34375,75.5,341.34375,94.5,,0,i
560,341.71875,75.5,356.71875,94.5,,0,d
561,356.21875,94.5,363.21875,94.5,,0, 
562,363.25,77.5,372.25,94.5,,0,t
563,372.703125,75.5,387.703125,94.5,,0,h
564,387.796875,80.5,401.796875,94.5,,0,e
565,401.046875,80.5,414.046875,100.5,,0,y
566,413.546875,94.5,420.546875,94.5,,0, 
567,420.921875,80.5,443.921875,94.5,,0,m
568,444.015625,80.5,458.015625,94.5,,0,e
569,458.046875,80.5,472.046875,94.5,,0,a
570,472.5,80.5,487.5,94.5,,0,n
571,487.34375,76.5,498.34375,94.5,,0,?
572,497.84375,94.5,504.84375,94.5,,0, 
573,504.8125,76.5,520.8125,94.5,,0,A
574,521.265625,80.5,536.265625,94.5,,0,n
575,536.640625,75.5,551.640625,94.5,,0,d
576,551.140625,94.5,558.140625,94.5,,0, 
577,557.796875,80.5,577.796875,94.5,,0,w
578,578.25,75.5,593.25,94.5,,0,h
579,593.375,80.5,608.375,94.5,,0,o
580,607.875,94.5,614.875,94.5,,0, 
581,614.53125,80.5,634.53125,94.5,,0,w
582,634.5625,80.5,648.5625,94.5,,0,a
583,648.53125,80.5,660.53125,94.5,,0,s
584,660.03125,94.5,667.03125,94.5,,0, 
585,667.03125,80.5,679.03125,94.5,,0,c
586,679.15625,80.5,694.15625,94.5,,0,o
587,694.53125,80.5,717.53125,94.5,,0,m
588,717.984375,75.5,723.984375,94.5,,0,i
589,724.4375,80.5,739.4375,94.5,,0,n
590,739.8125,80.5,754.8125,100.5,,0,g
591,754.3125,94.5,761.3125,94.5,,0, 
592,759.90625,75.5,769.90625,94.5,,0,f
593,770.03125,80.5,785.03125,94.5,,0,o
594,785.359375,80.5,795.359375,94.5,,0,r
595,794.859375,94.5,801.859375,94.5,,0, 
596,802.3125,75.5,817.3125,94.5,,0,h
597,817.40625,80.5,831.40625,94.5,,0,e
598,831.734375,80.5,841.734375,94.5,,0,r
599,841.578125,76.5,852.578125,94.5,,0,?
600,49.71875,216.5,63.71875,234.5,,2,S
601,64.171875,215.5,79.171875,234.5,,2,h
602,79.265625,220.5,93.265625,234.5,,2,e
603,92.765625,234.5,99.765625,234.5,,2, 
604,99.796875,217.5,108.796875,234.5,,2,t
605,109.125,220.5,119.125,234.5,,2,r
606,119.578125,215.5,125.578125,234.5,,2,i
607,125.671875,220.5,139.671875,234.5,,2,e
608,140.046875,215.5,155.046875,234.5,,2,d
609,154.546875,234.5,161.546875,234.5,,2, 
610,161.578125,217.5,170.578125,234.5,,2,t
611,170.703125,220.5,185.703125,234.5,,2,o
612,185.203125,234.5,192.203125,234.5,,2, 
613,192.171875,220.5,204.171875,234.5,,2,s
614,204.625,215.5,219.625,234.5,,2,h
615,219.65625,220.5,233.65625,234.5,,2,a
616,233.0,215.5,247.0,234.5,,2,k
617,247.09375,220.5,261.09375,234.5,,2,e
618,260.59375,234.5,267.59375,234.5,,2, 
619,267.71875,220.5,282.71875,234.5,,2,o
620,281.3125,215.5,291.3125,234.5,,2,f
621,289.921875,215.5,299.921875,234.5,,2,f
622,299.421875,234.5,306.421875,234.5,,2, 
623,306.453125,217.5,315.453125,234.5,,2,t
624,315.90625,215.5,330.90625,234.5,,2,h
625,331.0,220.5,345.0,234.5,,2,e
626,344.5,234.5,351.5,234.5,,2, 
627,350.09375,215.5,360.09375,234.5,,2,f
628,360.1875,220.5,374.1875,234.5,,2,e
629,374.28125,220.5,388.28125,234.5,,2,e
630,388.734375,215.5,394.734375,234.5,,2,l
631,395.1875,215.5,401.1875,234.5,,2,i
632,401.640625,220.5,416.640625,234.5,,2,n
633,417.015625,220.5,432.015625,240.5,,2,g
634,431.515625,234.5,438.515625,234.5,,2, 
635,438.640625,220.5,453.640625,234.5,,2,o
636,452.234375,215.5,462.234375,234.5,,2,f
