subject_id,stimulus,question_response,question_correct,difficulty_rating,naturalness_rating,interest_rating
P01,goldfish-pos,1,1,2,3,4
P01,breakfast-zero,3,1,2,3,2
P01,delayed-pos,0,1,1,2,2
P01,prize-neg,3,1,1,2,2
P01,blackout-zero,2,1,2,2,3
P01,voicemail-neg,0,1,1,1,2
P02,goldfish-neg,3,1,2,3,3
P02,blackout-pos,3,1,3,3,3
P02,delayed-zero,0,0,2,4,2
P02,prize-zero,2,1,2,3,3
P02,voicemail-neg,0,1,2,3,4
P02,breakfast-pos,1,1,2,3,3
P03,goldfish-neg,3,1,2,3,2
P03,breakfast-zero,3,1,3,3,2
P03,delayed-pos,0,1,2,3,2
P03,blackout-neg,0,1,2,1,2
P03,prize-pos,3,1,3,3,3
P03,voicemail-zero,1,1,2,3,1
P04,breakfast-pos,1,1,3,2,3
P04,delayed-neg,1,1,1,3,3
P04,goldfish-zero,3,1,1,4,3
P04,prize-zero,2,1,2,3,3
P04,voicemail-pos,1,1,2,3,3
P04,blackout-neg,0,1,2,3,3
P05,breakfast-neg,3,1,1,3,3
P05,goldfish-pos,0,0,3,2,3
P05,delayed-neg,1,1,1,4,4
P05,blackout-zero,2,1,3,3,3
P05,voicemail-zero,1,1,2,1,2
P05,prize-pos,3,1,3,2,2
P06,delayed-zero,1,1,1,3,3
P06,breakfast-neg,3,1,1,3,3
P06,blackout-pos,3,1,2,1,2
P06,goldfish-zero,3,1,1,4,2
P06,prize-neg,3,1,2,3,3
P06,voicemail-pos,1,1,1,2,2
P07,voicemail-zero,1,1,2,2,3
P07,breakfast-pos,1,1,2,3,3
P07,goldfish-neg,2,0,2,3,2
P07,blackout-zero,2,1,3,2,3
P07,delayed-pos,0,1,2,3,3
P07,prize-neg,3,1,2,3,2
P08,prize-neg,3,1,2,3,2
P08,goldfish-zero,3,1,2,1,1
P08,blackout-pos,3,1,2,3,3
P08,breakfast-zero,3,1,2,3,3
P08,voicemail-pos,1,1,2,3,3
P08,delayed-neg,1,1,3,3,1
P09,delayed-neg,1,1,1,4,3
P09,breakfast-pos,1,1,2,3,3
P09,prize-zero,2,1,1,3,3
P09,goldfish-pos,1,1,1,4,3
P09,voicemail-neg,0,1,1,4,2
P09,blackout-zero,2,1,2,4,4
P10,goldfish-zero,3,1,1,4,4
P10,breakfast-neg,3,1,1,3,4
P10,blackout-pos,3,1,3,3,3
P10,voicemail-neg,0,1,4,3,2
P10,prize-pos,3,1,4,1,2
P10,delayed-zero,1,1,2,4,1
P11,delayed-pos,0,1,2,2,2
P11,breakfast-neg,3,1,2,3,3
P11,voicemail-zero,2,0,2,3,2
P11,goldfish-pos,1,1,3,2,2
P11,blackout-neg,0,1,2,3,1
P11,prize-zero,2,1,2,3,2
P12,breakfast-zero,3,1,1,4,3
P12,blackout-neg,0,1,3,2,2
P12,goldfish-neg,3,1,2,3,3
P12,delayed-zero,1,1,1,4,3
P12,prize-pos,3,1,3,2,2
P12,voicemail-pos,1,1,2,4,3
