index,left,top,right,bottom,section,line,content
0,43.03125,50,106.25,120.0,question,0,How
1,106.25,50,200.8125,120.0,question,0,difficult
2,200.8125,50,253.15625,120.0,question,0,was
3,253.15625,50,302.5625,120.0,question,0,this
4,302.5625,50,353.21875,120.0,question,0,text
5,353.21875,50,394.34375,120.0,question,0,for
6,394.34375,50,444.3125,120.0,question,0,you
7,444.3125,50,475.1171875,120.0,question,0,to
8,475.1171875,50,534.796875,120.0,question,0,read
9,534.796875,50,586.3671875,120.0,question,0,and
10,586.3671875,50,743.296875,120.0,question,0,understand?
11,93.796875,190.0,117.296875,260.0,option:0,0,4
12,117.296875,190.0,136.3984375,260.0,option:0,0,–
13,136.3984375,190.0,193.109375,260.0,option:0,0,very
14,193.109375,190.0,291.09375,260.0,option:0,0,difficult
15,93.796875,260.0,117.296875,330.0,option:1,0,3
16,117.296875,260.0,136.7109375,330.0,option:1,0,–
17,136.7109375,260.0,216.0,330.0,option:1,0,rather
18,216.0,260.0,313.984375,330.0,option:1,0,difficult
19,93.796875,330.0,117.296875,400.0,option:2,0,2
20,117.296875,330.0,136.7109375,400.0,option:2,0,–
21,136.7109375,330.0,215.859375,400.0,option:2,0,rather
22,215.859375,330.0,278.40625,400.0,option:2,0,easy
23,93.796875,400.0,117.296875,470.0,option:3,0,1
24,117.296875,400.0,136.3984375,470.0,option:3,0,–
25,136.3984375,400.0,192.96875,470.0,option:3,0,very
26,192.96875,400.0,255.515625,470.0,option:3,0,easy
