index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.640625,75.5,133.640625,94.5,question,0,d
6,133.96875,80.5,143.96875,94.5,question,0,r
7,143.5625,80.5,157.5625,94.5,question,0,e
8,156.71875,80.5,176.71875,94.5,question,0,w
9,176.21875,94.5,183.21875,94.5,question,0, 
10,183.25,77.5,192.25,94.5,question,0,t
11,192.703125,75.5,207.703125,94.5,question,0,h
12,207.796875,80.5,221.796875,94.5,question,0,e
13,221.296875,94.5,228.296875,94.5,question,0, 
14,228.296875,80.5,240.296875,94.5,question,0,c
15,240.625,80.5,250.625,94.5,question,0,r
16,250.25,80.5,265.25,94.5,question,0,o
17,264.40625,80.5,284.40625,94.5,question,0,w
18,284.78125,75.5,299.78125,94.5,question,0,d
19,299.28125,94.5,306.28125,94.5,question,0, 
20,306.3125,77.5,315.3125,94.5,question,0,t
21,315.4375,80.5,330.4375,94.5,question,0,o
22,329.9375,94.5,336.9375,94.5,question,0, 
23,336.96875,77.5,345.96875,94.5,question,0,t
24,346.421875,75.5,361.421875,94.5,question,0,h
25,361.515625,80.5,375.515625,94.5,question,0,e
26,375.015625,94.5,382.015625,94.5,question,0, 
27,382.46875,75.5,397.46875,94.5,question,0,h
28,397.59375,80.5,412.59375,94.5,question,0,o
29,413.046875,80.5,428.046875,94.5,question,0,u
30,428.015625,80.5,440.015625,94.5,question,0,s
31,440.109375,80.5,454.109375,94.5,question,0,e
32,453.609375,94.5,460.609375,94.5,question,0, 
33,460.734375,80.5,475.734375,94.5,question,0,o
34,476.1875,80.5,491.1875,94.5,question,0,n
35,490.6875,94.5,497.6875,94.5,question,0, 
36,497.59375,76.5,511.59375,94.5,question,0,E
37,512.046875,75.5,518.046875,94.5,question,0,l
38,518.421875,80.5,541.421875,94.5,question,0,m
39,540.921875,94.5,547.921875,94.5,question,0, 
40,547.640625,76.5,561.640625,94.5,question,0,S
41,561.671875,77.5,570.671875,94.5,question,0,t
42,571.0,80.5,581.0,94.5,question,0,r
43,580.59375,80.5,594.59375,94.5,question,0,e
44,594.6875,80.5,608.6875,94.5,question,0,e
45,608.71875,77.5,617.71875,94.5,question,0,t
46,617.5625,76.5,628.5625,94.5,question,0,?
47,99.96875,216.5,115.96875,234.5,option:0,0,A
48,115.46875,234.5,122.46875,234.5,option:0,0, 
49,122.84375,220.5,145.84375,234.5,option:0,0,m
50,145.59375,220.5,158.59375,240.5,option:0,0,y
51,158.5625,220.5,170.5625,234.5,option:0,0,s
52,170.59375,217.5,179.59375,234.5,option:0,0,t
53,179.6875,220.5,193.6875,234.5,option:0,0,e
54,194.015625,220.5,204.015625,234.5,option:0,0,r
55,204.46875,215.5,210.46875,234.5,option:0,0,i
56,210.59375,220.5,225.59375,234.5,option:0,0,o
57,226.046875,220.5,241.046875,234.5,option:0,0,u
58,241.015625,220.5,253.015625,234.5,option:0,0,s
59,252.71875,231.5,259.71875,237.5,option:0,0,","
60,259.21875,234.5,266.21875,234.5,option:0,0, 
61,266.59375,220.5,281.59375,240.5,option:0,0,g
62,281.921875,220.5,291.921875,234.5,option:0,0,r
63,291.546875,220.5,306.546875,234.5,option:0,0,o
64,305.703125,220.5,325.703125,234.5,option:0,0,w
65,326.15625,215.5,332.15625,234.5,option:0,0,i
66,332.609375,220.5,347.609375,234.5,option:0,0,n
67,347.984375,220.5,362.984375,240.5,option:0,0,g
68,362.484375,234.5,369.484375,234.5,option:0,0, 
69,369.9375,215.5,375.9375,234.5,option:0,0,l
70,376.390625,215.5,382.390625,234.5,option:0,0,i
71,382.765625,220.5,397.765625,240.5,option:0,0,g
72,398.21875,215.5,413.21875,234.5,option:0,0,h
73,413.25,217.5,422.25,234.5,option:0,0,t
74,99.90625,286.5,113.90625,304.5,option:1,0,T
75,114.359375,285.5,129.359375,304.5,option:1,0,h
76,129.453125,290.5,143.453125,304.5,option:1,0,e
77,142.953125,304.5,149.953125,304.5,option:1,0, 
78,149.609375,290.5,169.609375,304.5,option:1,0,w
79,169.734375,290.5,184.734375,304.5,option:1,0,o
80,185.109375,290.5,208.109375,304.5,option:1,0,m
81,208.140625,290.5,222.140625,304.5,option:1,0,a
82,222.59375,290.5,237.59375,304.5,option:1,0,n
83,236.96875,286.5,242.96875,304.5,option:1,0,'
84,242.1875,290.5,254.1875,304.5,option:1,0,s
85,253.6875,304.5,260.6875,304.5,option:1,0, 
86,260.34375,290.5,280.34375,304.5,option:1,0,w
87,280.796875,285.5,295.796875,304.5,option:1,0,h
88,296.25,285.5,302.25,304.5,option:1,0,i
89,302.21875,290.5,314.21875,304.5,option:1,0,s
90,314.59375,290.5,329.59375,310.5,option:1,0,p
91,329.6875,290.5,343.6875,304.5,option:1,0,e
92,344.015625,290.5,354.015625,304.5,option:1,0,r
93,353.609375,290.5,367.609375,304.5,option:1,0,e
