index,left,top,right,bottom,section,line,content
0,43.40625,50,96.75,120.0,,0,The
1,96.75,50,151.375,120.0,,0,Last
2,151.375,50,217.0,120.0,,0,Light
3,217.0,50,261.96875,120.0,,0,On
4,43.96875,190.0,70.578125,260.0,,2,It
5,70.578125,190.0,122.921875,260.0,,2,was
6,122.921875,190.0,155.6328125,260.0,,2,as
7,155.6328125,190.0,176.96875,260.0,,2,if
8,176.96875,190.0,221.859375,260.0,,2,the
9,221.859375,190.0,295.6953125,260.0,,2,world
10,295.6953125,190.0,346.828125,260.0,,2,had
11,346.828125,190.0,417.9375,260.0,,2,come
12,417.9375,190.0,448.59375,260.0,,2,to
13,448.59375,190.0,469.09375,260.0,,2,a
14,469.09375,190.0,588.484375,260.0,,2,standstill.
15,588.484375,190.0,638.46875,260.0,,2,The
16,638.46875,190.0,724.828125,260.0,,2,streets
17,724.828125,190.0,789.15625,260.0,,2,were
18,789.15625,190.0,908.5703125,260.0,,2,shrouded
19,908.5703125,190.0,936.765625,260.0,,2,in
20,936.765625,190.0,972.9609375,260.0,,2,an
21,972.9609375,190.0,1030.484375,260.0,,2,inky
22,43.875,260.0,167.953125,330.0,,3,blackness
23,167.953125,260.0,221.96875,330.0,,3,that
24,221.96875,260.0,321.5,330.0,,3,seemed
25,321.5,260.0,352.3671875,330.0,,3,to
26,352.3671875,260.0,414.9375,330.0,,3,have
27,414.9375,260.0,435.6796875,330.0,,3,a
28,435.6796875,260.0,477.609375,330.0,,3,life
29,477.609375,260.0,507.9921875,330.0,,3,of
30,507.9921875,260.0,541.78125,330.0,,3,its
31,541.78125,260.0,604.609375,330.0,,3,own.
32,604.609375,260.0,654.671875,330.0,,3,The
33,654.671875,260.0,710.875,330.0,,3,only
34,710.875,260.0,790.59375,330.0,,3,sound
35,790.59375,260.0,842.9375,330.0,,3,was
36,842.9375,260.0,888.1875,330.0,,3,the
37,888.1875,260.0,976.0703125,330.0,,3,distant
38,976.0703125,260.0,1039.875,330.0,,3,hum
39,43.625,330.0,77.15625,400.0,,4,of
40,77.15625,330.0,212.8125,400.0,,4,generators
41,212.8125,330.0,264.171875,400.0,,4,and
42,264.171875,330.0,309.296875,400.0,,4,the
43,309.296875,330.0,438.5625,400.0,,4,occasional
44,438.5625,330.0,498.015625,400.0,,4,bark
45,498.015625,330.0,528.1875,400.0,,4,of
46,528.1875,330.0,548.890625,400.0,,4,a
47,548.890625,330.0,607.90625,400.0,,4,dog.
48,607.90625,330.0,655.2421875,400.0,,4,But
49,655.2421875,330.0,683.484375,400.0,,4,in
50,683.484375,330.0,734.8203125,400.0,,4,one
51,734.8203125,330.0,813.25,400.0,,4,house
52,813.25,330.0,850.21875,400.0,,4,on
53,850.21875,330.0,900.359375,400.0,,4,Elm
54,900.359375,330.0,983.515625,400.0,,4,"Street,"
55,983.515625,330.0,1007.28125,400.0,,4,a
56,43.953125,400.0,104.6015625,470.0,,5,lone
57,104.6015625,400.0,162.9375,470.0,,5,light
58,162.9375,400.0,270.390625,470.0,,5,flickered
59,270.390625,400.0,301.2578125,470.0,,5,to
60,301.2578125,400.0,353.078125,470.0,,5,life.
61,43.46875,540.0,77.546875,610.0,,7,At
62,77.546875,540.0,138.0546875,610.0,,7,"first,"
63,138.0546875,540.0,159.640625,610.0,,7,it
64,159.640625,540.0,212.1953125,610.0,,7,was
65,212.1953125,540.0,261.390625,610.0,,7,just
66,261.390625,540.0,281.203125,610.0,,7,a
67,281.203125,540.0,342.15625,610.0,,7,faint
68,342.15625,540.0,410.46875,610.0,,7,"glow,"
69,410.46875,540.0,456.65625,610.0,,7,but
70,456.65625,540.0,489.15625,610.0,,7,as
71,489.15625,540.0,534.40625,610.0,,7,the
72,534.40625,540.0,636.5625,610.0,,7,minutes
73,636.5625,540.0,713.53125,610.0,,7,ticked
74,713.53125,540.0,753.3984375,610.0,,7,"by,"
75,753.3984375,540.0,775.34375,610.0,,7,it
76,775.34375,540.0,840.296875,610.0,,7,grew
77,840.296875,540.0,943.0625,610.0,,7,brighter
78,943.0625,540.0,997.65625,610.0,,7,and
79,43.875,610.0,149.9140625,680.0,,8,brighter
80,149.9140625,610.0,209.046875,680.0,,8,until
81,209.046875,610.0,254.15625,680.0,,8,the
82,254.15625,610.0,329.7890625,680.0,,8,entire
83,329.7890625,610.0,407.984375,680.0,,8,house
84,407.984375,610.0,460.5,680.0,,8,was
85,460.5,610.0,550.3984375,680.0,,8,bathed
86,550.3984375,610.0,578.59375,680.0,,8,in
87,578.59375,610.0,598.9375,680.0,,8,a
88,598.9375,610.0,679.890625,680.0,,8,"warm,"
89,679.890625,610.0,768.3046875,680.0,,8,golden
90,768.3046875,610.0,834.28125,680.0,,8,light.
91,834.28125,610.0,857.875,680.0,,8,It
92,857.875,610.0,910.21875,680.0,,8,was
93,910.21875,610.0,942.9296875,680.0,,8,as
94,942.9296875,610.0,964.265625,680.0,,8,if
95,964.265625,610.0,1012.578125,680.0,,8,the
96,43.203125,680.0,103.171875,750.0,,9,very
97,103.171875,680.0,203.359375,750.0,,9,essence
