index,left,top,right,bottom,section,line,content
1163,50.125,80.5,65.125,94.5,,0,o
1164,65.5,80.5,80.5,100.5,,0,p
1165,80.59375,80.5,94.59375,94.5,,0,e
1166,95.046875,80.5,110.046875,94.5,,0,n
1167,109.75,91.5,116.75,97.5,,0,","
1168,116.25,94.5,123.25,94.5,,0, 
1169,123.703125,75.5,129.703125,100.5,,0,j
1170,130.15625,80.5,145.15625,94.5,,0,u
1171,145.125,80.5,157.125,94.5,,0,s
1172,157.15625,77.5,166.15625,94.5,,0,t
1173,165.65625,94.5,172.65625,94.5,,0, 
1174,172.6875,80.5,186.6875,94.5,,0,a
1175,186.1875,94.5,193.1875,94.5,,0, 
1176,193.1875,80.5,205.1875,94.5,,0,c
1177,205.515625,80.5,215.515625,94.5,,0,r
1178,215.046875,80.5,229.046875,94.5,,0,a
1179,229.046875,80.5,241.046875,94.5,,0,c
1180,240.390625,75.5,254.390625,94.5,,0,k
1181,254.09375,91.5,261.09375,94.5,,0,.
1182,260.59375,94.5,267.59375,94.5,,0, 
1183,268.0625,76.5,276.0625,94.5,,0,I
1184,276.09375,77.5,285.09375,94.5,,0,t
1185,284.59375,94.5,291.59375,94.5,,0, 
1186,291.25,80.5,311.25,94.5,,0,w
1187,311.28125,80.5,325.28125,94.5,,0,a
1188,325.25,80.5,337.25,94.5,,0,s
1189,336.75,94.5,343.75,94.5,,0, 
1190,343.78125,80.5,357.78125,94.5,,0,a
1191,357.75,80.5,369.75,94.5,,0,s
1192,369.25,94.5,376.25,94.5,,0, 
1193,376.703125,75.5,382.703125,94.5,,0,i
1194,381.296875,75.5,391.296875,94.5,,0,f
1195,390.796875,94.5,397.796875,94.5,,0, 
1196,397.765625,80.5,409.765625,94.5,,0,s
1197,409.890625,80.5,424.890625,94.5,,0,o
1198,425.265625,80.5,448.265625,94.5,,0,m
1199,448.359375,80.5,462.359375,94.5,,0,e
1200,462.484375,80.5,477.484375,94.5,,0,o
1201,477.9375,80.5,492.9375,94.5,,0,n
1202,493.03125,80.5,507.03125,94.5,,0,e
1203,506.53125,94.5,513.53125,94.5,,0, 
1204,513.984375,75.5,528.984375,94.5,,0,h
1205,529.015625,80.5,543.015625,94.5,,0,a
1206,543.390625,75.5,558.390625,94.5,,0,d
1207,557.890625,94.5,564.890625,94.5,,0, 
1208,565.265625,75.5,580.265625,94.5,,0,b
1209,580.359375,80.5,594.359375,94.5,,0,e
1210,594.453125,80.5,608.453125,94.5,,0,e
1211,608.90625,80.5,623.90625,94.5,,0,n
1212,623.40625,94.5,630.40625,94.5,,0, 
1213,630.0625,80.5,650.0625,94.5,,0,w
1214,650.09375,80.5,664.09375,94.5,,0,a
1215,664.546875,75.5,670.546875,94.5,,0,i
1216,670.578125,77.5,679.578125,94.5,,0,t
1217,680.03125,75.5,686.03125,94.5,,0,i
1218,686.484375,80.5,701.484375,94.5,,0,n
1219,701.859375,80.5,716.859375,100.5,,0,g
1220,716.359375,94.5,723.359375,94.5,,0, 
1221,721.953125,75.5,731.953125,94.5,,0,f
1222,732.078125,80.5,747.078125,94.5,,0,o
1223,747.40625,80.5,757.40625,94.5,,0,r
1224,756.90625,94.5,763.90625,94.5,,0, 
1225,763.9375,77.5,772.9375,94.5,,0,t
1226,773.390625,75.5,788.390625,94.5,,0,h
1227,788.484375,80.5,802.484375,94.5,,0,e
1228,802.859375,80.5,825.859375,94.5,,0,m
1229,825.5625,91.5,832.5625,97.5,,0,","
1230,832.0625,94.5,839.0625,94.5,,0, 
1231,839.515625,75.5,854.515625,94.5,,0,h
1232,854.546875,80.5,868.546875,94.5,,0,a
1233,868.921875,75.5,883.921875,94.5,,0,d
1234,883.421875,94.5,890.421875,94.5,,0, 
1235,890.796875,75.5,905.796875,94.5,,0,b
1236,905.890625,80.5,919.890625,94.5,,0,e
1237,919.984375,80.5,933.984375,94.5,,0,e
1238,934.4375,80.5,949.4375,94.5,,0,n
1239,948.9375,94.5,955.9375,94.5,,0, 
1240,955.59375,80.5,975.59375,94.5,,0,w
1241,975.625,80.5,989.625,94.5,,0,a
1242,990.078125,75.5,996.078125,94.5,,0,i
1243,996.109375,77.5,1005.109375,94.5,,0,t
1244,1005.5625,75.5,1011.5625,94.5,,0,i
1245,1012.015625,80.5,1027.015625,94.5,,0,n
1246,1027.390625,80.5,1042.390625,100.5,,0,g
1247,48.59375,145.5,58.59375,164.5,,1,f
1248,58.71875,150.5,73.71875,164.5,,1,o
1249,74.046875,150.5,84.046875,164.5,,1,r
1250,83.546875,164.5,90.546875,164.5,,1, 
1251,90.578125,147.5,99.578125,164.5,,1,t
1252,100.03125,145.5,115.03125,164.5,,1,h
1253,115.125,150.5,129.125,164.5,,1,e
1254,129.5,150.5,152.5,164.5,,1,m
1255,152.0,164.5,159.0,164.5,,1, 
1256,159.03125,147.5,168.03125,164.5,,1,t
1257,168.15625,150.5,183.15625,164.5,,1,o
1258,182.65625,164.5,189.65625,164.5,,1, 
1259,189.65625,150.5,201.65625,164.5,,1,c
1260,201.78125,150.5,216.78125,164.5,,1,o
1261,217.15625,150.5,240.15625,164.5,,1,m
1262,240.25,150.5,254.25,164.5,,1,e
1263,253.75,164.5,260.75,164.5,,1, 
1264,260.78125,150.5,274.78125,164.5,,1,a
1265,275.234375,150.5,290.234375,164.5,,1,n
1266,290.609375,145.5,305.609375,164.5,,1,d
1267,305.109375,164.5,312.109375,164.5,,1, 
1268,310.703125,145.5,320.703125,164.5,,1,f
1269,321.15625,145.5,327.15625,164.5,,1,i
1270,327.609375,150.5,342.609375,164.5,,1,n
1271,342.984375,145.5,357.984375,164.5,,1,d
1272,357.484375,164.5,364.484375,164.5,,1, 
1273,364.515625,147.5,373.515625,164.5,,1,t
1274,373.96875,145.5,388.96875,164.5,,1,h
1275,389.0625,150.5,403.0625,164.5,,1,e
1276,402.5625,164.5,409.5625,164.5,,1, 
1277,410.015625,145.5,416.015625,164.5,,1,l
1278,416.46875,145.5,422.46875,164.5,,1,i
1279,422.84375,150.5,437.84375,170.5,,1,g
1280,438.296875,145.5,453.296875,164.5,,1,h
1281,453.328125,147.5,462.328125,164.5,,1,t
1282,462.03125,161.5,469.03125,164.5,,1,.
1283,468.53125,164.5,475.53125,164.5,,1, 
1284,475.5,146.5,491.5,164.5,,1,A
1285,491.953125,150.5,506.953125,164.5,,1,n
1286,507.328125,145.5,522.328125,164.5,,1,d
1287,521.828125,164.5,528.828125,164.5,,1, 
1288,528.859375,147.5,537.859375,164.5,,1,t
1289,538.3125,145.5,553.3125,164.5,,1,h
1290,553.40625,150.5,567.40625,164.5,,1,e
1291,567.859375,150.5,582.859375,164.5,,1,n
1292,582.5625,161.5,589.5625,167.5,,1,","
1293,589.0625,164.5,596.0625,164.5,,1, 
1294,596.515625,145.5,602.515625,170.5,,1,j
1295,602.96875,150.5,617.96875,164.5,,1,u
1296,617.9375,150.5,629.9375,164.5,,1,s
1297,629.96875,147.5,638.96875,164.5,,1,t
1298,638.46875,164.5,645.46875,164.5,,1, 
1299,645.5,150.5,659.5,164.5,,1,a
1300,659.46875,150.5,671.46875,164.5,,1,s
1301,670.96875,164.5,677.96875,164.5,,1, 
1302,678.0,147.5,687.0,164.5,,1,t
1303,687.453125,145.5,702.453125,164.5,,1,h
1304,702.546875,150.5,716.546875,164.5,,1,e
1305,715.796875,150.5,728.796875,170.5,,1,y
