index,left,top,right,bottom,section,line,content
0,49.90625,76.5,63.90625,94.5,,0,T
1,64.359375,75.5,79.359375,94.5,,0,h
2,79.453125,80.5,93.453125,94.5,,0,e
3,92.953125,94.5,99.953125,94.5,,0, 
4,100.046875,76.5,113.046875,94.5,,0,L
5,113.078125,80.5,127.078125,94.5,,0,a
6,127.046875,80.5,139.046875,94.5,,0,s
7,139.078125,77.5,148.078125,94.5,,0,t
8,147.578125,94.5,154.578125,94.5,,0, 
9,154.671875,76.5,167.671875,94.5,,0,L
10,168.125,75.5,174.125,94.5,,0,i
11,174.5,80.5,189.5,100.5,,0,g
12,189.953125,75.5,204.953125,94.5,,0,h
13,204.984375,77.5,213.984375,94.5,,0,t
14,213.484375,94.5,220.484375,94.5,,0, 
15,220.015625,76.5,240.015625,94.5,,0,O
16,240.46875,80.5,255.46875,94.5,,0,n
17,49.90625,216.5,63.90625,234.5,,2,T
18,64.359375,215.5,79.359375,234.5,,2,h
19,79.453125,220.5,93.453125,234.5,,2,e
20,92.953125,234.5,99.953125,234.5,,2, 
21,100.328125,215.5,115.328125,234.5,,2,d
22,115.359375,220.5,129.359375,234.5,,2,a
23,129.6875,220.5,139.6875,234.5,,2,r
24,139.03125,215.5,153.03125,234.5,,2,k
25,153.484375,220.5,168.484375,234.5,,2,n
26,168.578125,220.5,182.578125,234.5,,2,e
27,182.546875,220.5,194.546875,234.5,,2,s
28,194.515625,220.5,206.515625,234.5,,2,s
29,206.015625,234.5,213.015625,234.5,,2, 
30,212.671875,220.5,232.671875,234.5,,2,w
31,232.703125,220.5,246.703125,234.5,,2,a
32,246.671875,220.5,258.671875,234.5,,2,s
33,258.171875,234.5,265.171875,234.5,,2, 
34,265.546875,220.5,280.546875,240.5,,2,p
35,280.578125,220.5,294.578125,234.5,,2,a
36,295.03125,215.5,301.03125,234.5,,2,l
37,301.40625,220.5,316.40625,240.5,,2,p
38,316.4375,220.5,330.4375,234.5,,2,a
39,330.8125,215.5,345.8125,234.5,,2,b
40,346.265625,215.5,352.265625,234.5,,2,l
41,352.359375,220.5,366.359375,234.5,,2,e
42,366.0625,231.5,373.0625,237.5,,2,","
43,372.5625,234.5,379.5625,234.5,,2, 
44,379.59375,220.5,393.59375,234.5,,2,a
45,393.09375,234.5,400.09375,234.5,,2, 
46,400.546875,215.5,415.546875,234.5,,2,h
47,415.640625,220.5,429.640625,234.5,,2,e
48,429.671875,220.5,443.671875,234.5,,2,a
49,443.375,220.5,456.375,234.5,,2,v
50,456.125,220.5,469.125,240.5,,2,y
51,468.625,234.5,475.625,234.5,,2, 
52,476.0,215.5,491.0,234.5,,2,b
53,491.453125,215.5,497.453125,234.5,,2,l
54,497.484375,220.5,511.484375,234.5,,2,a
55,511.9375,220.5,526.9375,234.5,,2,n
56,526.28125,215.5,540.28125,234.5,,2,k
57,540.375,220.5,554.375,234.5,,2,e
58,554.40625,217.5,563.40625,234.5,,2,t
59,562.90625,234.5,569.90625,234.5,,2, 
60,569.9375,217.5,578.9375,234.5,,2,t
61,579.390625,215.5,594.390625,234.5,,2,h
62,594.421875,220.5,608.421875,234.5,,2,a
63,608.453125,217.5,617.453125,234.5,,2,t
64,616.953125,234.5,623.953125,234.5,,2, 
65,623.921875,220.5,635.921875,234.5,,2,s
66,636.375,220.5,651.375,234.5,,2,u
67,649.96875,215.5,659.96875,234.5,,2,f
68,658.578125,215.5,668.578125,234.5,,2,f
69,668.703125,220.5,683.703125,234.5,,2,o
70,683.703125,220.5,695.703125,234.5,,2,c
71,695.734375,220.5,709.734375,234.5,,2,a
72,709.765625,217.5,718.765625,234.5,,2,t
73,718.859375,220.5,732.859375,234.5,,2,e
74,733.234375,215.5,748.234375,234.5,,2,d
75,747.734375,234.5,754.734375,234.5,,2, 
76,754.765625,217.5,763.765625,234.5,,2,t
77,764.21875,215.5,779.21875,234.5,,2,h
78,779.3125,220.5,793.3125,234.5,,2,e
79,792.8125,234.5,799.8125,234.5,,2, 
80,800.265625,220.5,815.265625,234.5,,2,n
81,815.359375,220.5,829.359375,234.5,,2,e
82,829.8125,215.5,835.8125,234.5,,2,i
83,836.1875,220.5,851.1875,240.5,,2,g
84,851.640625,215.5,866.640625,234.5,,2,h
85,867.015625,215.5,882.015625,234.5,,2,b
86,882.140625,220.5,897.140625,234.5,,2,o
87,897.46875,220.5,907.46875,234.5,,2,r
88,907.921875,215.5,922.921875,234.5,,2,h
89,923.046875,220.5,938.046875,234.5,,2,o
90,938.171875,220.5,953.171875,234.5,,2,o
91,953.546875,215.5,968.546875,234.5,,2,d
92,968.25,231.5,975.25,234.5,,2,.
93,974.75,234.5,981.75,234.5,,2, 
94,981.65625,216.5,995.65625,234.5,,2,T
95,994.734375,220.5,1004.734375,234.5,,2,r
96,1004.328125,220.5,1018.328125,234.5,,2,e
97,1018.421875,220.5,1032.421875,234.5,,2,e
98,1032.390625,220.5,1044.390625,234.5,,2,s
99,49.96875,290.5,61.96875,304.5,,3,s
100,61.625,290.5,81.625,304.5,,3,w
101,81.65625,290.5,95.65625,304.5,,3,a
102,95.40625,290.5,108.40625,310.5,,3,y
103,108.5,290.5,122.5,304.5,,3,e
104,122.875,285.5,137.875,304.5,,3,d
105,137.375,304.5,144.375,304.5,,3, 
106,144.5,290.5,159.5,304.5,,3,o
107,159.875,290.5,182.875,304.5,,3,m
108,183.328125,285.5,189.328125,304.5,,3,i
109,189.78125,290.5,204.78125,304.5,,3,n
110,204.90625,290.5,219.90625,304.5,,3,o
111,220.359375,290.5,235.359375,304.5,,3,u
112,235.328125,290.5,247.328125,304.5,,3,s
113,247.78125,285.5,253.78125,304.5,,3,l
114,253.53125,290.5,266.53125,310.5,,3,y
115,266.03125,304.5,273.03125,304.5,,3, 
116,273.484375,285.5,279.484375,304.5,,3,i
117,279.9375,290.5,294.9375,304.5,,3,n
118,294.4375,304.5,301.4375,304.5,,3, 
119,301.46875,287.5,310.46875,304.5,,3,t
120,310.921875,285.5,325.921875,304.5,,3,h
121,326.015625,290.5,340.015625,304.5,,3,e
122,339.515625,304.5,346.515625,304.5,,3, 
123,346.171875,290.5,366.171875,304.5,,3,w
124,366.625,285.5,372.625,304.5,,3,i
125,373.078125,290.5,388.078125,304.5,,3,n
126,388.453125,285.5,403.453125,304.5,,3,d
127,403.15625,301.5,410.15625,307.5,,3,","
128,409.65625,304.5,416.65625,304.5,,3, 
129,416.6875,287.5,425.6875,304.5,,3,t
130,426.140625,285.5,441.140625,304.5,,3,h
131,441.234375,290.5,455.234375,304.5,,3,e
132,455.6875,285.5,461.6875,304.5,,3,i
133,462.015625,290.5,472.015625,304.5,,3,r
134,471.515625,304.5,478.515625,304.5,,3, 
135,478.890625,285.5,493.890625,304.5,,3,b
136,494.21875,290.5,504.21875,304.5,,3,r
137,503.75,290.5,517.75,304.5,,3,a
138,518.203125,290.5,533.203125,304.5,,3,n
139,533.203125,290.5,545.203125,304.5,,3,c
140,545.65625,285.5,560.65625,304.5,,3,h
141,560.75,290.5,574.75,304.5,,3,e
142,574.71875,290.5,586.71875,304.5,,3,s
143,586.21875,304.5,593.21875,304.5,,3, 
144,593.21875,290.5,605.21875,304.5,,3,c
