index,left,top,right,bottom,section,line,content
261,43.40625,50,96.703125,120.0,,0,The
262,96.703125,50,197.59375,120.0,,0,couple's
263,197.59375,50,252.03125,120.0,,0,fear
264,252.03125,50,385.3359375,120.0,,0,"dissipated,"
265,385.3359375,50,493.109375,120.0,,0,replaced
266,493.109375,50,527.046875,120.0,,0,by
267,527.046875,50,638.9140625,120.0,,0,curiosity.
268,638.9140625,50,770.6484375,120.0,,0,"""Expecting"
269,770.6484375,50,825.40625,120.0,,0,"us?"""
270,825.40625,50,882.8828125,120.0,,0,they
271,882.8828125,50,1005.09375,120.0,,0,"repeated,"
272,43.53125,120.0,108.4609375,190.0,,1,their
273,108.4609375,120.0,187.640625,190.0,,1,voices
274,187.640625,120.0,266.5,190.0,,1,barely
275,266.5,120.0,343.828125,190.0,,1,above
276,343.828125,120.0,364.171875,190.0,,1,a
277,364.171875,120.0,466.7109375,190.0,,1,whisper.
278,466.7109375,120.0,524.9609375,190.0,,1,Mrs.
279,524.9609375,120.0,615.3671875,190.0,,1,Jenkins
280,615.3671875,120.0,719.3671875,190.0,,1,"nodded,"
281,719.3671875,120.0,765.5625,190.0,,1,her
282,765.5625,120.0,899.140625,190.0,,1,expression
283,899.140625,120.0,1031.8125,190.0,,1,enigmatic.
284,43.703125,190.0,104.53125,260.0,,2,"""I've"
285,104.53125,190.0,169.6875,260.0,,2,been
286,169.6875,190.0,262.109375,260.0,,2,waiting
287,262.109375,190.0,303.546875,260.0,,2,for
288,303.546875,190.0,370.25,260.0,,2,quite
289,370.25,190.0,441.34375,260.0,,2,some
290,441.34375,190.0,507.0625,260.0,,2,time.
291,507.0625,190.0,557.453125,260.0,,2,You
292,557.453125,190.0,611.0625,260.0,,2,"see,"
293,611.0625,190.0,658.40625,260.0,,2,I've
294,658.40625,190.0,739.8203125,260.0,,2,grown
295,739.8203125,190.0,818.21875,260.0,,2,rather
296,818.21875,190.0,880.03125,260.0,,2,fond
297,880.03125,190.0,910.203125,260.0,,2,of
298,910.203125,190.0,962.84375,260.0,,2,this
299,43.953125,260.0,228.875,330.0,,3,"neighborhood,"
300,228.875,260.0,321.8046875,330.0,,3,despite
301,321.8046875,260.0,375.6875,330.0,,3,its...
302,375.6875,260.0,555.75,330.0,,3,"eccentricities."""
303,43.46875,400.0,81.203125,470.0,,5,As
304,81.203125,400.0,126.453125,470.0,,5,the
305,126.453125,400.0,206.140625,470.0,,5,power
306,206.140625,400.0,313.765625,470.0,,5,flickered
307,313.765625,400.0,374.84375,470.0,,5,back
308,374.84375,400.0,405.7109375,470.0,,5,to
309,405.7109375,400.0,454.5078125,470.0,,5,"life,"
310,454.5078125,400.0,601.234375,470.0,,5,illuminating
311,601.234375,400.0,646.5234375,470.0,,5,the
312,646.5234375,400.0,724.953125,470.0,,5,house
313,724.953125,400.0,788.25,470.0,,5,once
314,788.25,400.0,863.703125,470.0,,5,"more,"
315,863.703125,400.0,908.765625,470.0,,5,the
316,908.765625,400.0,997.015625,470.0,,5,couple
317,43.828125,470.0,145.34375,540.0,,6,realized
318,145.34375,470.0,199.2109375,540.0,,6,that
319,199.2109375,470.0,257.4609375,540.0,,6,Mrs.
320,257.4609375,470.0,347.46875,540.0,,6,Jenkins
321,347.46875,470.0,429.8828125,540.0,,6,wasn't
322,429.8828125,470.0,479.078125,540.0,,6,just
323,479.078125,470.0,527.859375,540.0,,6,any
324,527.859375,470.0,633.8671875,540.0,,6,ordinary
325,633.8671875,470.0,784.90625,540.0,,6,homeowner.
326,784.90625,470.0,834.640625,540.0,,6,She
327,834.640625,470.0,886.984375,540.0,,6,was
328,886.984375,470.0,907.6875,540.0,,6,a
329,907.6875,470.0,1026.71875,540.0,,6,"guardian,"
330,1026.71875,470.0,1050.484375,540.0,,6,a
331,43.5,540.0,164.09375,610.0,,7,caretaker
332,164.09375,540.0,194.234375,610.0,,7,of
333,194.234375,540.0,265.921875,610.0,,7,"sorts,"
334,265.921875,540.0,376.96875,610.0,,7,ensuring
335,376.96875,540.0,422.2578125,610.0,,7,the
336,422.2578125,540.0,613.40625,610.0,,7,neighborhood's
337,613.40625,540.0,695.625,610.0,,7,fragile
338,695.625,540.0,793.5390625,610.0,,7,balance
339,793.5390625,540.0,912.8046875,610.0,,7,remained
340,912.8046875,540.0,991.734375,610.0,,7,intact.
341,991.734375,540.0,1044.984375,610.0,,7,The
342,43.875,610.0,160.9921875,680.0,,8,"blackout,"
343,160.9921875,610.0,182.734375,680.0,,8,it
344,182.734375,610.0,288.78125,680.0,,8,"seemed,"
345,288.78125,610.0,341.3359375,680.0,,8,was
346,341.3359375,610.0,387.234375,680.0,,8,not
347,387.234375,610.0,407.9375,680.0,,8,a
348,407.9375,610.0,562.5625,680.0,,8,"malfunction,"
349,562.5625,610.0,608.75,680.0,,8,but
350,608.75,610.0,629.28125,680.0,,8,a
351,629.28125,610.0,679.640625,680.0,,8,test
352,679.640625,610.0,698.90625,680.0,,8,–
353,698.90625,610.0,750.0859375,680.0,,8,and
354,750.0859375,610.0,808.3359375,680.0,,8,Mrs.
355,808.3359375,610.0,898.7421875,680.0,,8,Jenkins
356,898.7421875,610.0,950.0625,680.0,,8,had
357,950.0625,610.0,1042.4375,680.0,,8,passed
358,43.15625,680.0,103.140625,750.0,,9,with
359,103.140625,680.0,175.421875,750.0,,9,flying
360,175.421875,680.0,262.875,750.0,,9,colors.
