index,left,top,right,bottom,section,line,content
0,43.75,50,115.203125,120.0,question,0,What
1,115.203125,50,232.0,120.0,question,0,discovery
2,232.0,50,294.734375,120.0,question,0,does
3,294.734375,50,368.625,120.0,question,0,Sarah
4,368.625,50,440.0078125,120.0,question,0,make
5,440.0078125,50,468.203125,120.0,question,0,in
6,468.203125,50,513.28125,120.0,question,0,the
7,513.28125,50,584.40625,120.0,question,0,attic?
8,93.40625,190.0,146.71875,260.0,option:0,0,The
9,146.71875,190.0,203.9765625,260.0,option:0,0,attic
10,203.9765625,190.0,228.671875,260.0,option:0,0,is
11,228.671875,190.0,363.96875,260.0,option:0,0,completely
12,363.96875,190.0,448.296875,260.0,option:0,0,empty
13,93.46875,260.0,119.4453125,330.0,option:1,0,A
14,119.4453125,260.0,207.90625,330.0,option:1,0,hidden
15,207.90625,260.0,318.0546875,330.0,option:1,0,staircase
16,318.0546875,260.0,386.265625,330.0,option:1,0,leads
17,386.265625,260.0,416.921875,330.0,option:1,0,to
18,416.921875,260.0,437.625,330.0,option:1,0,a
19,437.625,260.0,564.609375,330.0,option:1,0,basement
20,93.46875,330.0,118.515625,400.0,option:2,0,A
21,118.515625,330.0,195.7421875,400.0,option:2,0,figure
22,195.7421875,330.0,220.421875,400.0,option:2,0,is
23,220.421875,330.0,330.3046875,400.0,option:2,0,standing
24,330.3046875,330.0,407.296875,400.0,option:2,0,under
25,407.296875,330.0,428.0390625,400.0,option:2,0,a
26,428.0390625,330.0,490.328125,400.0,option:2,0,light
27,93.40625,400.0,146.9296875,470.0,option:3,0,The
28,146.9296875,400.0,225.5234375,470.0,option:3,0,house
29,225.5234375,400.0,250.28125,470.0,option:3,0,is
30,250.28125,400.0,286.59375,470.0,option:3,0,on
31,286.59375,400.0,336.015625,470.0,option:3,0,fire
