index,left,top,right,bottom,section,line,content
1128,49.53125,76.5,69.53125,94.5,,0,O
1129,69.984375,80.5,84.984375,94.5,,0,n
1130,85.078125,80.5,99.078125,94.5,,0,e
1131,98.578125,94.5,105.578125,94.5,,0, 
1132,105.953125,75.5,120.953125,94.5,,0,b
1133,121.28125,80.5,131.28125,94.5,,0,r
1134,130.8125,80.5,144.8125,94.5,,0,a
1135,144.515625,80.5,157.515625,94.5,,0,v
1136,157.609375,80.5,171.609375,94.5,,0,e
1137,171.109375,94.5,178.109375,94.5,,0, 
1138,178.078125,80.5,190.078125,94.5,,0,s
1139,190.203125,80.5,205.203125,94.5,,0,o
1140,205.65625,80.5,220.65625,94.5,,0,u
1141,221.109375,75.5,227.109375,94.5,,0,l
1142,226.8125,91.5,233.8125,97.5,,0,","
1143,233.3125,94.5,240.3125,94.5,,0, 
1144,240.34375,80.5,254.34375,94.5,,0,a
1145,253.84375,94.5,260.84375,94.5,,0, 
1146,260.59375,80.5,273.59375,100.5,,0,y
1147,273.71875,80.5,288.71875,94.5,,0,o
1148,289.171875,80.5,304.171875,94.5,,0,u
1149,304.625,80.5,319.625,94.5,,0,n
1150,320.0,80.5,335.0,100.5,,0,g
1151,334.5,94.5,341.5,94.5,,0, 
1152,341.15625,80.5,361.15625,94.5,,0,w
1153,361.28125,80.5,376.28125,94.5,,0,o
1154,376.65625,80.5,399.65625,94.5,,0,m
1155,399.6875,80.5,413.6875,94.5,,0,a
1156,414.140625,80.5,429.140625,94.5,,0,n
1157,428.640625,94.5,435.640625,94.5,,0, 
1158,436.09375,80.5,451.09375,94.5,,0,n
1159,451.125,80.5,465.125,94.5,,0,a
1160,465.5,80.5,488.5,94.5,,0,m
1161,488.59375,80.5,502.59375,94.5,,0,e
1162,502.96875,75.5,517.96875,94.5,,0,d
1163,517.46875,94.5,524.46875,94.5,,0, 
1164,524.1875,76.5,538.1875,94.5,,0,S
1165,538.21875,80.5,552.21875,94.5,,0,a
1166,552.546875,80.5,562.546875,94.5,,0,r
1167,562.078125,80.5,576.078125,94.5,,0,a
1168,576.53125,75.5,591.53125,94.5,,0,h
1169,591.234375,91.5,598.234375,97.5,,0,","
1170,597.734375,94.5,604.734375,94.5,,0, 
1171,605.109375,75.5,620.109375,94.5,,0,d
1172,620.203125,80.5,634.203125,94.5,,0,e
1173,634.203125,80.5,646.203125,94.5,,0,c
1174,646.65625,75.5,652.65625,94.5,,0,i
1175,653.03125,75.5,668.03125,94.5,,0,d
1176,668.125,80.5,682.125,94.5,,0,e
1177,682.5,75.5,697.5,94.5,,0,d
1178,697.0,94.5,704.0,94.5,,0, 
1179,704.03125,77.5,713.03125,94.5,,0,t
1180,713.15625,80.5,728.15625,94.5,,0,o
1181,727.65625,94.5,734.65625,94.5,,0, 
1182,735.109375,75.5,741.109375,94.5,,0,i
1183,741.5625,80.5,756.5625,94.5,,0,n
