index,left,top,right,bottom,section,line,content
325,43.953125,50,152.296875,120.0,,0,nothing.
326,152.296875,50,192.90625,120.0,,0,No
327,192.90625,50,260.703125,120.0,,0,signs
328,260.703125,50,290.84375,120.0,,0,of
329,290.84375,50,402.3671875,120.0,,0,"struggle,"
330,402.3671875,50,439.203125,120.0,,0,no
331,439.203125,50,507.0,120.0,,0,signs
332,507.0,50,537.34375,120.0,,0,of
333,537.34375,50,613.5859375,120.0,,0,panic.
334,613.5859375,50,663.46875,120.0,,0,Just
335,663.46875,50,699.484375,120.0,,0,an
336,699.484375,50,764.984375,120.0,,0,eerie
337,764.984375,50,852.03125,120.0,,0,silence
338,852.03125,50,906.046875,120.0,,0,that
339,906.046875,50,1005.578125,120.0,,0,seemed
340,1005.578125,50,1039.46875,120.0,,0,to
341,43.46875,120.0,146.3203125,190.0,,1,swallow
342,146.3203125,120.0,192.296875,190.0,,1,her
343,192.296875,120.0,279.703125,190.0,,1,whole.
344,43.46875,260.0,81.171875,330.0,,3,As
345,81.171875,260.0,129.3671875,330.0,,3,she
346,129.3671875,260.0,230.59375,330.0,,3,reached
347,230.59375,260.0,275.671875,330.0,,3,the
348,275.671875,260.0,321.75,330.0,,3,top
349,321.75,260.0,351.921875,330.0,,3,of
350,351.921875,260.0,396.96875,330.0,,3,the
351,396.96875,260.0,473.953125,330.0,,3,"stairs,"
352,473.953125,260.0,522.2109375,330.0,,3,she
353,522.2109375,260.0,597.28125,330.0,,3,heard
354,597.28125,260.0,617.09375,330.0,,3,a
355,617.09375,260.0,678.0859375,330.0,,3,faint
356,678.0859375,260.0,799.5234375,330.0,,3,humming
357,799.5234375,260.0,875.828125,330.0,,3,noise.
358,875.828125,260.0,899.421875,330.0,,3,It
359,899.421875,260.0,951.765625,330.0,,3,was
360,951.765625,260.0,972.5078125,330.0,,3,a
361,972.5078125,260.0,1028.46875,330.0,,3,"low,"
362,43.875,330.0,139.765625,400.0,,4,pulsing
363,139.765625,330.0,219.671875,400.0,,4,sound
364,219.671875,330.0,273.6875,400.0,,4,that
365,273.6875,330.0,373.21875,400.0,,4,seemed
366,373.21875,330.0,404.046875,400.0,,4,to
367,404.046875,330.0,439.828125,400.0,,4,be
368,439.828125,330.0,533.40625,400.0,,4,coming
369,533.40625,330.0,597.546875,400.0,,4,from
370,597.546875,330.0,642.625,400.0,,4,the
371,642.625,330.0,706.21875,400.0,,4,attic.
372,706.21875,330.0,756.3515625,400.0,,4,She
373,756.3515625,330.0,871.453125,400.0,,4,hesitated
374,871.453125,330.0,912.71875,400.0,,4,for
375,912.71875,330.0,933.421875,400.0,,4,a
