index,left,top,right,bottom,section,line,content
523,49.96875,76.5,65.96875,94.5,,0,A
524,65.9375,80.5,77.9375,94.5,,0,s
525,77.4375,94.5,84.4375,94.5,,0, 
526,84.90625,76.5,92.90625,94.5,,0,I
527,92.40625,94.5,99.40625,94.5,,0, 
528,99.0625,80.5,119.0625,94.5,,0,w
529,119.09375,80.5,133.09375,94.5,,0,a
530,133.546875,75.5,139.546875,94.5,,0,i
531,139.578125,77.5,148.578125,94.5,,0,t
532,148.671875,80.5,162.671875,94.5,,0,e
533,163.046875,75.5,178.046875,94.5,,0,d
534,177.546875,94.5,184.546875,94.5,,0, 
535,183.140625,75.5,193.140625,94.5,,0,f
536,193.265625,80.5,208.265625,94.5,,0,o
537,208.59375,80.5,218.59375,94.5,,0,r
538,218.09375,94.5,225.09375,94.5,,0, 
539,225.46875,80.5,248.46875,94.5,,0,m
540,248.21875,80.5,261.21875,100.5,,0,y
541,260.71875,94.5,267.71875,94.5,,0, 
542,266.3125,75.5,276.3125,94.5,,0,f
543,276.4375,80.5,291.4375,94.5,,0,o
544,291.5625,80.5,306.5625,94.5,,0,o
545,306.9375,75.5,321.9375,94.5,,0,d
546,321.4375,94.5,328.4375,94.5,,0, 
547,328.46875,77.5,337.46875,94.5,,0,t
548,337.59375,80.5,352.59375,94.5,,0,o
549,352.09375,94.5,359.09375,94.5,,0, 
550,359.125,80.5,373.125,94.5,,0,a
551,373.453125,80.5,383.453125,94.5,,0,r
552,383.78125,80.5,393.78125,94.5,,0,r
553,394.234375,75.5,400.234375,94.5,,0,i
554,399.9375,80.5,412.9375,94.5,,0,v
555,413.03125,80.5,427.03125,94.5,,0,e
556,426.734375,91.5,433.734375,97.5,,0,","
557,433.234375,94.5,440.234375,94.5,,0, 
558,440.703125,76.5,448.703125,94.5,,0,I
559,448.203125,94.5,455.203125,94.5,,0, 
560,455.234375,77.5,464.234375,94.5,,0,t
561,464.359375,80.5,479.359375,94.5,,0,o
562,479.484375,80.5,494.484375,94.5,,0,o
563,493.828125,75.5,507.828125,94.5,,0,k
564,507.328125,94.5,514.328125,94.5,,0, 
565,514.359375,80.5,528.359375,94.5,,0,a
566,527.859375,94.5,534.859375,94.5,,0, 
567,534.828125,80.5,546.828125,94.5,,0,s
568,547.28125,75.5,553.28125,94.5,,0,i
569,553.65625,80.5,568.65625,100.5,,0,p
570,568.15625,94.5,575.15625,94.5,,0, 
571,575.28125,80.5,590.28125,94.5,,0,o
572,588.875,75.5,598.875,94.5,,0,f
573,598.375,94.5,605.375,94.5,,0, 
574,605.75,80.5,628.75,94.5,,0,m
575,628.5,80.5,641.5,100.5,,0,y
576,641.0,94.5,648.0,94.5,,0, 
577,648.0,80.5,660.0,94.5,,0,c
578,660.125,80.5,675.125,94.5,,0,o
579,673.71875,75.5,683.71875,94.5,,0,f
580,682.328125,75.5,692.328125,94.5,,0,f
581,692.421875,80.5,706.421875,94.5,,0,e
582,706.515625,80.5,720.515625,94.5,,0,e
583,720.015625,94.5,727.015625,94.5,,0, 
584,727.046875,80.5,741.046875,94.5,,0,a
585,741.5,80.5,756.5,94.5,,0,n
586,756.875,75.5,771.875,94.5,,0,d
587,771.375,94.5,778.375,94.5,,0, 
588,778.75,80.5,793.75,100.5,,0,p
589,794.203125,80.5,809.203125,94.5,,0,u
590,809.65625,75.5,815.65625,94.5,,0,l
591,816.109375,75.5,822.109375,94.5,,0,l
592,822.203125,80.5,836.203125,94.5,,0,e
593,836.578125,75.5,851.578125,94.5,,0,d
594,851.078125,94.5,858.078125,94.5,,0, 
595,858.203125,80.5,873.203125,94.5,,0,o
596,873.65625,80.5,888.65625,94.5,,0,u
597,888.6875,77.5,897.6875,94.5,,0,t
598,897.1875,94.5,904.1875,94.5,,0, 
599,904.5625,80.5,927.5625,94.5,,0,m
600,927.3125,80.5,940.3125,100.5,,0,y
601,939.8125,94.5,946.8125,94.5,,0, 
602,947.1875,80.5,962.1875,100.5,,0,p
603,962.640625,75.5,977.640625,94.5,,0,h
604,977.765625,80.5,992.765625,94.5,,0,o
605,993.21875,80.5,1008.21875,94.5,,0,n
606,1008.3125,80.5,1022.3125,94.5,,0,e
607,50.03125,147.5,59.03125,164.5,,1,t
608,59.15625,150.5,74.15625,164.5,,1,o
609,73.65625,164.5,80.65625,164.5,,1, 
610,80.65625,150.5,92.65625,164.5,,1,c
611,93.109375,145.5,108.109375,164.5,,1,h
612,108.203125,150.5,122.203125,164.5,,1,e
613,122.203125,150.5,134.203125,164.5,,1,c
614,133.546875,145.5,147.546875,164.5,,1,k
615,147.046875,164.5,154.046875,164.5,,1, 
616,154.078125,147.5,163.078125,164.5,,1,t
617,163.53125,145.5,178.53125,164.5,,1,h
618,178.625,150.5,192.625,164.5,,1,e
619,192.125,164.5,199.125,164.5,,1, 
620,199.15625,147.5,208.15625,164.5,,1,t
621,208.609375,145.5,214.609375,164.5,,1,i
622,214.984375,150.5,237.984375,164.5,,1,m
623,238.078125,150.5,252.078125,164.5,,1,e
624,251.78125,161.5,258.78125,164.5,,1,.
625,258.28125,164.5,265.28125,164.5,,1, 
626,265.75,146.5,273.75,164.5,,1,I
627,273.25,164.5,280.25,164.5,,1, 
628,280.703125,145.5,295.703125,164.5,,1,h
629,295.734375,150.5,309.734375,164.5,,1,a
630,310.109375,145.5,325.109375,164.5,,1,d
631,324.609375,164.5,331.609375,164.5,,1, 
632,331.640625,150.5,345.640625,164.5,,1,a
633,345.140625,164.5,352.140625,164.5,,1, 
634,352.515625,145.5,367.515625,164.5,,1,b
635,367.96875,145.5,373.96875,164.5,,1,i
636,374.34375,150.5,389.34375,170.5,,1,g
637,388.84375,164.5,395.84375,164.5,,1, 
638,396.21875,145.5,411.21875,164.5,,1,d
639,411.25,150.5,425.25,164.5,,1,a
640,425.0,150.5,438.0,170.5,,1,y
641,437.5,164.5,444.5,164.5,,1, 
642,444.53125,150.5,458.53125,164.5,,1,a
643,458.984375,145.5,473.984375,164.5,,1,h
644,474.078125,150.5,488.078125,164.5,,1,e
645,488.109375,150.5,502.109375,164.5,,1,a
646,502.484375,145.5,517.484375,164.5,,1,d
647,516.984375,164.5,523.984375,164.5,,1, 
648,524.109375,150.5,539.109375,164.5,,1,o
649,537.703125,145.5,547.703125,164.5,,1,f
650,547.203125,164.5,554.203125,164.5,,1, 
651,554.578125,150.5,577.578125,164.5,,1,m
652,577.671875,150.5,591.671875,164.5,,1,e
653,591.375,161.5,598.375,167.5,,1,","
