index,left,top,right,bottom,section,line,content
385,43.875,50,140.984375,120.0,,0,pushed
386,140.984375,50,186.0625,120.0,,0,the
387,186.0625,50,299.453125,120.0,,0,thoughts
388,299.453125,50,367.875,120.0,,0,aside
389,367.875,50,419.234375,120.0,,0,and
390,419.234375,50,478.359375,120.0,,0,took
391,478.359375,50,499.0625,120.0,,0,a
392,499.0625,50,550.390625,120.0,,0,bite
393,550.390625,50,580.734375,120.0,,0,of
394,580.734375,50,623.234375,120.0,,0,my
395,623.234375,50,732.703125,120.0,,0,"oatmeal,"
396,732.703125,50,778.890625,120.0,,0,but
397,778.890625,50,823.96875,120.0,,0,the
398,823.96875,50,888.4375,120.0,,0,taste
399,888.4375,50,940.953125,120.0,,0,was
400,940.953125,50,1011.640625,120.0,,0,bitter
401,1011.640625,50,1051.90625,120.0,,0,on
402,43.875,120.0,89.390625,190.0,,1,my
403,89.390625,120.0,190.359375,190.0,,1,tongue.
404,43.46875,260.0,81.421875,330.0,,3,As
405,81.421875,260.0,95.453125,330.0,,3,I
406,95.453125,260.0,196.6875,330.0,,3,finished
407,196.6875,260.0,239.3125,330.0,,3,my
408,239.3125,260.0,303.59375,330.0,,3,meal
409,303.59375,260.0,355.125,330.0,,3,and
410,355.125,260.0,469.453125,330.0,,3,prepared
411,469.453125,260.0,500.3203125,330.0,,3,to
412,500.3203125,260.0,574.90625,330.0,,3,"leave,"
413,574.90625,260.0,589.640625,330.0,,3,I
414,589.640625,260.0,677.5,330.0,,3,caught
415,677.5,260.0,698.203125,330.0,,3,a
416,698.203125,260.0,797.671875,330.0,,3,glimpse
417,797.671875,260.0,827.84375,330.0,,3,of
418,827.84375,260.0,872.734375,330.0,,3,the
419,872.734375,260.0,976.5,330.0,,3,waitress
420,976.5,260.0,1022.609375,330.0,,3,out
421,1022.609375,260.0,1056.015625,330.0,,3,of
422,43.53125,330.0,91.828125,400.0,,4,the
423,91.828125,330.0,175.71875,400.0,,4,corner
424,175.71875,330.0,206.0625,400.0,,4,of
425,206.0625,330.0,248.546875,400.0,,4,my
426,248.546875,330.0,302.0,400.0,,4,eye.
427,302.0,330.0,351.734375,400.0,,4,She
428,351.734375,330.0,403.890625,400.0,,4,was
429,403.890625,330.0,518.203125,400.0,,4,watching
430,518.203125,330.0,568.703125,400.0,,4,"me,"
431,568.703125,330.0,588.890625,400.0,,4,a
432,588.890625,330.0,696.3046875,400.0,,4,knowing
433,696.3046875,330.0,752.8515625,400.0,,4,look
434,752.8515625,330.0,781.2578125,400.0,,4,in
435,781.2578125,330.0,827.453125,400.0,,4,her
436,827.453125,330.0,893.25,400.0,,4,eyes.
437,893.25,330.0,907.28125,400.0,,4,I
438,907.28125,330.0,952.671875,400.0,,4,felt
439,952.671875,330.0,973.1875,400.0,,4,a
440,973.1875,330.0,1029.75,400.0,,4,chill
441,43.828125,400.0,94.671875,470.0,,5,run
442,94.671875,400.0,166.28125,470.0,,5,down
443,166.28125,400.0,208.703125,470.0,,5,my
444,208.703125,400.0,278.578125,470.0,,5,spine
445,278.578125,400.0,311.296875,470.0,,5,as
446,311.296875,400.0,326.1953125,470.0,,5,I
447,326.1953125,400.0,424.625,470.0,,5,realized
448,424.625,400.0,478.890625,470.0,,5,that
449,478.890625,400.0,493.8515625,470.0,,5,I
450,493.8515625,400.0,545.2109375,470.0,,5,had
451,545.2109375,400.0,582.2890625,470.0,,5,no
452,582.2890625,400.0,638.34375,470.0,,5,idea
453,638.34375,400.0,703.015625,470.0,,5,what
454,703.015625,400.0,755.53125,470.0,,5,was
455,755.53125,400.0,829.6875,470.0,,5,going
456,829.6875,400.0,873.59375,470.0,,5,"on,"
457,873.59375,400.0,920.0,470.0,,5,but
458,920.0,400.0,934.9609375,470.0,,5,I
459,934.9609375,400.0,986.109375,470.0,,5,had
460,986.109375,400.0,1009.875,470.0,,5,a
461,42.09375,470.0,133.78125,540.0,,6,feeling
462,133.78125,470.0,188.0,540.0,,6,that
463,188.0,470.0,230.6640625,540.0,,6,my
464,230.6640625,470.0,272.359375,540.0,,6,life
465,272.359375,470.0,324.703125,540.0,,6,was
466,324.703125,470.0,400.21875,540.0,,6,about
467,400.21875,470.0,430.859375,540.0,,6,to
468,430.859375,470.0,523.9921875,540.0,,6,change
469,523.9921875,470.0,552.0,540.0,,6,in
470,552.0,470.0,617.3125,540.0,,6,ways
471,617.3125,470.0,632.046875,540.0,,6,I
472,632.046875,470.0,732.859375,540.0,,6,couldn't
473,732.859375,470.0,795.3828125,540.0,,6,even
474,795.3828125,470.0,906.84375,540.0,,6,imagine.
