index,left,top,right,bottom,section,line,content
585,50.375,75.5,65.375,94.5,,0,b
586,65.40625,80.5,79.40625,94.5,,0,a
587,79.40625,80.5,91.40625,94.5,,0,c
588,91.53125,80.5,106.53125,94.5,,0,o
589,106.984375,80.5,121.984375,94.5,,0,n
590,121.6875,91.5,128.6875,97.5,,0,","
591,128.1875,94.5,135.1875,94.5,,0, 
592,135.21875,80.5,149.21875,94.5,,0,a
593,149.671875,80.5,164.671875,94.5,,0,n
594,165.046875,75.5,180.046875,94.5,,0,d
595,179.546875,94.5,186.546875,94.5,,0, 
596,186.578125,77.5,195.578125,94.5,,0,t
597,195.703125,80.5,210.703125,94.5,,0,o
598,210.734375,80.5,224.734375,94.5,,0,a
599,224.703125,80.5,236.703125,94.5,,0,s
600,236.734375,77.5,245.734375,94.5,,0,t
601,245.4375,91.5,252.4375,97.5,,0,","
602,251.9375,94.5,258.9375,94.5,,0, 
603,259.1875,76.5,277.1875,94.5,,0,D
604,277.21875,80.5,291.21875,94.5,,0,a
605,291.546875,80.5,301.546875,94.5,,0,r
606,302.0,75.5,308.0,94.5,,0,l
607,308.03125,80.5,322.03125,94.5,,0,a
608,321.53125,94.5,328.53125,94.5,,0, 
609,328.5,80.5,340.5,94.5,,0,s
610,340.59375,80.5,354.59375,94.5,,0,e
611,354.625,77.5,363.625,94.5,,0,t
612,363.125,94.5,370.125,94.5,,0, 
613,370.5,75.5,385.5,94.5,,0,d
614,385.625,80.5,400.625,94.5,,0,o
615,399.78125,80.5,419.78125,94.5,,0,w
616,420.234375,80.5,435.234375,94.5,,0,n
617,434.734375,94.5,441.734375,94.5,,0, 
618,441.765625,80.5,455.765625,94.5,,0,a
619,455.265625,94.5,462.265625,94.5,,0, 
620,462.640625,80.5,477.640625,100.5,,0,p
621,478.09375,75.5,484.09375,94.5,,0,l
622,484.125,80.5,498.125,94.5,,0,a
623,498.15625,77.5,507.15625,94.5,,0,t
624,507.25,80.5,521.25,94.5,,0,e
625,520.75,94.5,527.75,94.5,,0, 
626,528.125,80.5,543.125,100.5,,0,p
627,543.578125,75.5,549.578125,94.5,,0,i
628,550.03125,75.5,556.03125,94.5,,0,l
629,556.125,80.5,570.125,94.5,,0,e
630,570.5,75.5,585.5,94.5,,0,d
631,585.0,94.5,592.0,94.5,,0, 
632,592.453125,75.5,607.453125,94.5,,0,h
633,607.90625,75.5,613.90625,94.5,,0,i
634,614.28125,80.5,629.28125,100.5,,0,g
635,629.734375,75.5,644.734375,94.5,,0,h
636,644.234375,94.5,651.234375,94.5,,0, 
637,650.890625,80.5,670.890625,94.5,,0,w
638,671.34375,75.5,677.34375,94.5,,0,i
639,677.375,77.5,686.375,94.5,,0,t
640,686.828125,75.5,701.828125,94.5,,0,h
641,701.328125,94.5,708.328125,94.5,,0, 
