index,left,top,right,bottom,section,line,content
202,43.53125,50,92.015625,120.0,,0,the
203,92.015625,50,229.1015625,120.0,,0,mysterious
204,229.1015625,50,295.5546875,120.0,,0,note.
205,295.5546875,50,396.890625,120.0,,0,Rachel's
206,396.890625,50,463.6875,120.0,,0,mind
207,463.6875,50,558.0,120.0,,0,whirled
208,558.0,50,615.453125,120.0,,0,with
209,615.453125,50,743.578125,120.0,,0,"questions,"
210,743.578125,50,789.9375,120.0,,0,but
211,789.9375,50,873.34375,120.0,,0,before
212,873.34375,50,921.375,120.0,,0,she
213,921.375,50,995.53125,120.0,,0,could
214,43.875,120.0,138.296875,190.0,,1,ponder
215,138.296875,120.0,231.609375,190.0,,1,"further,"
216,231.609375,120.0,301.0625,190.0,,1,Darla
217,301.0625,120.0,414.484375,190.0,,1,swooped
218,414.484375,120.0,482.4140625,190.0,,1,"back,"
219,482.4140625,120.0,577.90625,190.0,,1,refilling
220,577.90625,120.0,656.921875,190.0,,1,coffee
221,656.921875,120.0,718.234375,190.0,,1,cups
222,718.234375,120.0,769.578125,190.0,,1,and
223,769.578125,120.0,870.453125,190.0,,1,clearing
224,870.453125,120.0,947.546875,190.0,,1,plates
225,947.546875,120.0,1008.0625,190.0,,1,with
226,43.875,190.0,161.484375,260.0,,2,practiced
227,161.484375,190.0,287.390625,260.0,,2,efficiency.
228,43.046875,330.0,131.0546875,400.0,,4,Rachel
229,131.0546875,330.0,253.578125,400.0,,4,"hesitated,"
230,253.578125,330.0,310.1875,400.0,,4,torn
231,310.1875,330.0,418.5234375,400.0,,4,between
232,418.5234375,330.0,524.828125,400.0,,4,ignoring
233,524.828125,330.0,570.1171875,400.0,,4,the
234,570.1171875,330.0,630.109375,400.0,,4,note
235,630.109375,330.0,681.453125,400.0,,4,and
236,681.453125,330.0,825.96875,400.0,,4,confronting
237,825.96875,330.0,902.0,400.0,,4,Darla.
238,902.0,330.0,1039.96875,400.0,,4,Something
239,43.53125,400.0,122.28125,470.0,,5,about
240,122.28125,400.0,167.53125,470.0,,5,the
241,167.53125,400.0,278.9140625,470.0,,5,message
242,278.9140625,400.0,404.4375,470.0,,5,resonated
243,404.4375,400.0,469.515625,470.0,,5,deep
244,469.515625,400.0,548.9140625,470.0,,5,within
245,548.9140625,400.0,597.9921875,470.0,,5,"her,"
246,597.9921875,400.0,682.6796875,470.0,,5,urging
247,682.6796875,400.0,728.84375,470.0,,5,her
248,728.84375,400.0,759.7109375,470.0,,5,to
249,759.7109375,400.0,893.96875,470.0,,5,investigate
250,893.96875,400.0,987.015625,470.0,,5,further.
251,987.015625,400.0,1040.171875,470.0,,5,She
252,43.875,470.0,165.3125,540.0,,6,discreetly
253,165.3125,470.0,251.109375,540.0,,6,tucked
254,251.109375,470.0,296.3984375,540.0,,6,the
255,296.3984375,470.0,356.6015625,540.0,,6,note
256,356.6015625,470.0,409.1640625,540.0,,6,into
257,409.1640625,470.0,455.328125,540.0,,6,her
258,455.328125,470.0,531.8125,540.0,,6,apron
259,531.8125,470.0,623.625,540.0,,6,"pocket,"
260,623.625,470.0,737.765625,540.0,,6,watching
261,737.765625,470.0,770.375,540.0,,6,as
262,770.375,470.0,839.890625,540.0,,6,Darla
263,839.890625,470.0,941.4140625,540.0,,6,expertly
264,941.4140625,470.0,1039.515625,540.0,,6,juggled
265,43.875,540.0,149.953125,610.0,,7,multiple
266,149.953125,540.0,234.140625,610.0,,7,"tables,"
267,234.140625,540.0,376.6875,610.0,,7,exchanging
268,376.6875,540.0,526.296875,610.0,,7,pleasantries
269,526.296875,540.0,577.8046875,610.0,,7,and
270,577.8046875,540.0,673.296875,610.0,,7,refilling
271,673.296875,540.0,752.3125,610.0,,7,coffee
272,752.3125,540.0,823.5625,610.0,,7,cups.
273,43.46875,680.0,81.203125,750.0,,9,As
274,81.203125,680.0,126.453125,750.0,,9,the
275,126.453125,680.0,234.4921875,750.0,,9,morning
276,234.4921875,680.0,294.21875,750.0,,9,rush
277,294.21875,680.0,427.484375,750.0,,9,"dissipated,"
278,427.484375,680.0,497.1171875,750.0,,9,Darla
279,497.1171875,680.0,607.125,750.0,,9,returned
280,607.125,680.0,637.5390625,750.0,,9,to
281,637.5390625,680.0,738.875,750.0,,9,Rachel's
282,738.875,680.0,821.828125,750.0,,9,"booth,"
283,821.828125,680.0,907.453125,750.0,,9,wiping
284,907.453125,680.0,978.890625,750.0,,9,down
285,978.890625,680.0,1027.203125,750.0,,9,the
286,43.5,750.0,144.5625,820.0,,10,counter
287,144.5625,750.0,201.84375,820.0,,10,with
288,201.84375,750.0,222.546875,820.0,,10,a
289,222.546875,750.0,282.9609375,820.0,,10,dirty
290,282.9609375,750.0,335.3359375,820.0,,10,rag.
291,335.3359375,750.0,395.734375,820.0,,10,"""You"
292,395.734375,750.0,463.3515625,820.0,,10,"okay,"
293,463.3515625,750.0,536.6875,820.0,,10,"hon?"""
294,536.6875,750.0,584.734375,820.0,,10,she
295,584.734375,750.0,666.78125,820.0,,10,"asked,"
296,666.78125,750.0,750.7265625,820.0,,10,eyeing
297,750.7265625,750.0,852.0625,820.0,,10,Rachel's
298,852.0625,750.0,951.875,820.0,,10,puzzled
