index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.265625,80.5,130.265625,94.5,question,0,c
6,130.296875,80.5,144.296875,94.5,question,0,a
7,144.75,80.5,159.75,94.5,question,0,u
8,159.71875,80.5,171.71875,94.5,question,0,s
9,171.8125,80.5,185.8125,94.5,question,0,e
10,186.1875,75.5,201.1875,94.5,question,0,d
11,200.6875,94.5,207.6875,94.5,question,0, 
12,207.71875,77.5,216.71875,94.5,question,0,t
13,217.171875,75.5,232.171875,94.5,question,0,h
14,232.265625,80.5,246.265625,94.5,question,0,e
15,245.765625,94.5,252.765625,94.5,question,0, 
16,253.21875,80.5,268.21875,94.5,question,0,n
17,268.25,80.5,282.25,94.5,question,0,a
18,282.578125,80.5,292.578125,94.5,question,0,r
19,292.90625,80.5,302.90625,94.5,question,0,r
20,302.4375,80.5,316.4375,94.5,question,0,a
21,316.46875,77.5,325.46875,94.5,question,0,t
22,325.59375,80.5,340.59375,94.5,question,0,o
23,340.921875,80.5,350.921875,94.5,question,0,r
24,350.421875,94.5,357.421875,94.5,question,0, 
25,357.453125,77.5,366.453125,94.5,question,0,t
26,366.578125,80.5,381.578125,94.5,question,0,o
27,381.078125,94.5,388.078125,94.5,question,0, 
28,386.671875,75.5,396.671875,94.5,question,0,f
29,396.765625,80.5,410.765625,94.5,question,0,e
30,410.859375,80.5,424.859375,94.5,question,0,e
31,425.3125,75.5,431.3125,94.5,question,0,l
32,430.8125,94.5,437.8125,94.5,question,0, 
33,438.265625,80.5,453.265625,94.5,question,0,u
34,453.71875,80.5,468.71875,94.5,question,0,n
35,468.8125,80.5,482.8125,94.5,question,0,e
36,482.84375,80.5,496.84375,94.5,question,0,a
37,496.8125,80.5,508.8125,94.5,question,0,s
38,508.5625,80.5,521.5625,100.5,question,0,y
39,521.0625,94.5,528.0625,94.5,question,0, 
40,528.4375,75.5,543.4375,94.5,question,0,d
41,543.890625,80.5,558.890625,94.5,question,0,u
42,559.21875,80.5,569.21875,94.5,question,0,r
43,569.671875,75.5,575.671875,94.5,question,0,i
44,576.125,80.5,591.125,94.5,question,0,n
45,591.5,80.5,606.5,100.5,question,0,g
46,606.0,94.5,613.0,94.5,question,0, 
47,613.375,75.5,628.375,94.5,question,0,b
48,628.703125,80.5,638.703125,94.5,question,0,r
49,638.296875,80.5,652.296875,94.5,question,0,e
50,652.328125,80.5,666.328125,94.5,question,0,a
51,665.671875,75.5,679.671875,94.5,question,0,k
52,678.265625,75.5,688.265625,94.5,question,0,f
53,688.296875,80.5,702.296875,94.5,question,0,a
54,702.265625,80.5,714.265625,94.5,question,0,s
55,714.296875,77.5,723.296875,94.5,question,0,t
56,723.140625,76.5,734.140625,94.5,question,0,?
57,99.90625,216.5,113.90625,234.5,option:0,0,T
58,114.359375,215.5,129.359375,234.5,option:0,0,h
59,129.453125,220.5,143.453125,234.5,option:0,0,e
60,142.953125,234.5,149.953125,234.5,option:0,0, 
61,149.953125,220.5,161.953125,234.5,option:0,0,c
62,162.078125,220.5,177.078125,234.5,option:0,0,o
63,175.671875,215.5,185.671875,234.5,option:0,0,f
64,184.28125,215.5,194.28125,234.5,option:0,0,f
65,194.375,220.5,208.375,234.5,option:0,0,e
66,208.46875,220.5,222.46875,234.5,option:0,0,e
67,221.96875,234.5,228.96875,234.5,option:0,0, 
68,229.0,217.5,238.0,234.5,option:0,0,t
69,238.03125,220.5,252.03125,234.5,option:0,0,a
70,252.0,220.5,264.0,234.5,option:0,0,s
71,264.03125,217.5,273.03125,234.5,option:0,0,t
72,273.125,220.5,287.125,234.5,option:0,0,e
73,287.5,215.5,302.5,234.5,option:0,0,d
74,302.0,234.5,309.0,234.5,option:0,0, 
75,309.375,215.5,324.375,234.5,option:0,0,b
76,324.828125,215.5,330.828125,234.5,option:0,0,i
77,330.859375,217.5,339.859375,234.5,option:0,0,t
78,339.890625,217.5,348.890625,234.5,option:0,0,t
79,348.984375,220.5,362.984375,234.5,option:0,0,e
80,363.3125,220.5,373.3125,234.5,option:0,0,r
81,99.90625,286.5,113.90625,304.5,option:1,0,T
82,114.359375,285.5,129.359375,304.5,option:1,0,h
83,129.453125,290.5,143.453125,304.5,option:1,0,e
84,142.953125,304.5,149.953125,304.5,option:1,0, 
85,149.609375,290.5,169.609375,304.5,option:1,0,w
86,169.640625,290.5,183.640625,304.5,option:1,0,a
87,184.09375,285.5,190.09375,304.5,option:1,0,i
88,190.125,287.5,199.125,304.5,option:1,0,t
89,199.453125,290.5,209.453125,304.5,option:1,0,r
90,209.046875,290.5,223.046875,304.5,option:1,0,e
91,223.015625,290.5,235.015625,304.5,option:1,0,s
92,234.984375,290.5,246.984375,304.5,option:1,0,s
93,246.484375,304.5,253.484375,304.5,option:1,0, 
94,253.515625,290.5,267.515625,304.5,option:1,0,a
