index,left,top,right,bottom,section,line,content
0,43.75,50,115.015625,120.0,question,0,What
1,115.015625,50,204.453125,120.0,question,0,caused
2,204.453125,50,249.7421875,120.0,question,0,the
3,249.7421875,50,354.1875,120.0,question,0,narrator
4,354.1875,50,384.125,120.0,question,0,to
5,384.125,50,434.7890625,120.0,question,0,feel
6,434.7890625,50,525.0,120.0,question,0,uneasy
7,525.0,50,609.9375,120.0,question,0,during
8,609.9375,50,740.640625,120.0,question,0,breakfast?
9,93.40625,190.0,146.703125,260.0,option:0,0,The
10,146.703125,190.0,225.734375,260.0,option:0,0,coffee
11,225.734375,190.0,305.9375,260.0,option:0,0,tasted
12,305.9375,190.0,379.8125,260.0,option:0,0,bitter
13,93.40625,260.0,146.53125,330.0,option:1,0,The
14,146.53125,260.0,250.25,330.0,option:1,0,waitress
15,250.25,260.0,321.25,330.0,option:1,0,acted
16,321.25,260.0,440.0,330.0,option:1,0,strangely
17,93.40625,330.0,146.0,400.0,option:2,0,The
18,146.0,330.0,207.25,400.0,option:2,0,food
19,207.25,330.0,259.578125,400.0,option:2,0,was
20,259.578125,330.0,318.28125,400.0,option:2,0,cold
21,93.46875,400.0,119.40625,470.0,option:3,0,A
22,119.40625,400.0,256.4921875,470.0,option:3,0,mysterious
23,256.4921875,400.0,316.484375,470.0,option:3,0,note
24,316.484375,400.0,438.421875,470.0,option:3,0,appeared
