index,left,top,right,bottom,section,line,content
1505,49.96875,76.5,65.96875,94.5,,0,A
1506,65.9375,80.5,77.9375,94.5,,0,s
1507,77.4375,94.5,84.4375,94.5,,0, 
1508,84.90625,76.5,92.90625,94.5,,0,I
1509,92.40625,94.5,99.40625,94.5,,0, 
1510,98.0,75.5,108.0,94.5,,0,f
1511,108.453125,75.5,114.453125,94.5,,0,i
1512,114.90625,80.5,129.90625,94.5,,0,n
1513,130.359375,75.5,136.359375,94.5,,0,i
1514,136.328125,80.5,148.328125,94.5,,0,s
1515,148.78125,75.5,163.78125,94.5,,0,h
1516,163.875,80.5,177.875,94.5,,0,e
1517,178.25,75.5,193.25,94.5,,0,d
1518,192.75,94.5,199.75,94.5,,0, 
1519,200.125,80.5,223.125,94.5,,0,m
1520,222.875,80.5,235.875,100.5,,0,y
1521,235.375,94.5,242.375,94.5,,0, 
1522,242.75,80.5,265.75,94.5,,0,m
1523,265.84375,80.5,279.84375,94.5,,0,e
1524,279.875,80.5,293.875,94.5,,0,a
1525,294.328125,75.5,300.328125,94.5,,0,l
1526,299.828125,94.5,306.828125,94.5,,0, 
1527,306.859375,80.5,320.859375,94.5,,0,a
1528,321.3125,80.5,336.3125,94.5,,0,n
1529,336.6875,75.5,351.6875,94.5,,0,d
1530,351.1875,94.5,358.1875,94.5,,0, 
1531,358.5625,80.5,373.5625,100.5,,0,p
1532,373.890625,80.5,383.890625,94.5,,0,r
1533,383.484375,80.5,397.484375,94.5,,0,e
1534,397.859375,80.5,412.859375,100.5,,0,p
1535,412.890625,80.5,426.890625,94.5,,0,a
1536,427.21875,80.5,437.21875,94.5,,0,r
1537,436.8125,80.5,450.8125,94.5,,0,e
1538,451.1875,75.5,466.1875,94.5,,0,d
1539,465.6875,94.5,472.6875,94.5,,0, 
1540,472.71875,77.5,481.71875,94.5,,0,t
1541,481.84375,80.5,496.84375,94.5,,0,o
1542,496.34375,94.5,503.34375,94.5,,0, 
1543,503.796875,75.5,509.796875,94.5,,0,l
1544,509.890625,80.5,523.890625,94.5,,0,e
1545,523.921875,80.5,537.921875,94.5,,0,a
1546,537.625,80.5,550.625,94.5,,0,v
1547,550.71875,80.5,564.71875,94.5,,0,e
1548,564.421875,91.5,571.421875,97.5,,0,","
1549,570.921875,94.5,577.921875,94.5,,0, 
1550,577.953125,77.5,586.953125,94.5,,0,t
1551,587.40625,75.5,602.40625,94.5,,0,h
1552,602.5,80.5,616.5,94.5,,0,e
1553,616.0,94.5,623.0,94.5,,0, 
1554,622.65625,80.5,642.65625,94.5,,0,w
1555,642.6875,80.5,656.6875,94.5,,0,a
1556,657.140625,75.5,663.140625,94.5,,0,i
1557,663.171875,77.5,672.171875,94.5,,0,t
1558,672.5,80.5,682.5,94.5,,0,r
1559,682.09375,80.5,696.09375,94.5,,0,e
1560,696.0625,80.5,708.0625,94.5,,0,s
1561,708.03125,80.5,720.03125,94.5,,0,s
1562,719.53125,94.5,726.53125,94.5,,0, 
1563,726.53125,80.5,738.53125,94.5,,0,c
1564,738.5625,80.5,752.5625,94.5,,0,a
1565,752.9375,80.5,775.9375,94.5,,0,m
1566,776.03125,80.5,790.03125,94.5,,0,e
1567,789.53125,94.5,796.53125,94.5,,0, 
1568,796.65625,80.5,811.65625,94.5,,0,o
1569,810.859375,80.5,823.859375,94.5,,0,v
1570,823.953125,80.5,837.953125,94.5,,0,e
1571,838.28125,80.5,848.28125,94.5,,0,r
1572,847.78125,94.5,854.78125,94.5,,0, 
1573,854.8125,77.5,863.8125,94.5,,0,t
1574,863.9375,80.5,878.9375,94.5,,0,o
1575,878.4375,94.5,885.4375,94.5,,0, 
1576,885.4375,80.5,897.4375,94.5,,0,c
1577,897.890625,75.5,903.890625,94.5,,0,l
1578,903.984375,80.5,917.984375,94.5,,0,e
1579,918.015625,80.5,932.015625,94.5,,0,a
1580,932.34375,80.5,942.34375,94.5,,0,r
1581,941.84375,94.5,948.84375,94.5,,0, 
1582,949.21875,80.5,972.21875,94.5,,0,m
1583,971.96875,80.5,984.96875,100.5,,0,y
1584,50.375,150.5,65.375,170.5,,1,p
1585,65.828125,145.5,71.828125,164.5,,1,l
1586,71.859375,150.5,85.859375,164.5,,1,a
1587,85.890625,147.5,94.890625,164.5,,1,t
1588,94.984375,150.5,108.984375,164.5,,1,e
1589,108.6875,161.5,115.6875,164.5,,1,.
1590,115.1875,164.5,122.1875,164.5,,1, 
1591,122.390625,146.5,132.390625,164.5,,1,""""
1592,132.296875,146.5,146.296875,164.5,,1,E
1593,146.0,150.5,159.0,164.5,,1,v
1594,159.09375,150.5,173.09375,164.5,,1,e
1595,173.421875,150.5,183.421875,164.5,,1,r
1596,183.171875,150.5,196.171875,170.5,,1,y
1597,196.203125,147.5,205.203125,164.5,,1,t
1598,205.65625,145.5,220.65625,164.5,,1,h
1599,221.109375,145.5,227.109375,164.5,,1,i
1600,227.5625,150.5,242.5625,164.5,,1,n
1601,242.9375,150.5,257.9375,170.5,,1,g
1602,257.4375,164.5,264.4375,164.5,,1, 
1603,264.5625,150.5,279.5625,164.5,,1,o
1604,278.90625,145.5,292.90625,164.5,,1,k
1605,292.9375,150.5,306.9375,164.5,,1,a
1606,306.6875,150.5,319.6875,170.5,,1,y
1607,318.390625,161.5,325.390625,167.5,,1,","
1608,324.890625,164.5,331.890625,164.5,,1, 
1609,332.34375,145.5,347.34375,164.5,,1,h
1610,347.46875,150.5,362.46875,164.5,,1,o
1611,362.921875,150.5,377.921875,164.5,,1,n
1612,377.765625,146.5,388.765625,164.5,,1,?
1613,388.96875,146.5,398.96875,164.5,,1,""""
1614,398.46875,164.5,405.46875,164.5,,1, 
1615,405.4375,150.5,417.4375,164.5,,1,s
1616,417.890625,145.5,432.890625,164.5,,1,h
1617,432.984375,150.5,446.984375,164.5,,1,e
1618,446.484375,164.5,453.484375,164.5,,1, 
1619,453.515625,150.5,467.515625,164.5,,1,a
1620,467.484375,150.5,479.484375,164.5,,1,s
1621,478.828125,145.5,492.828125,164.5,,1,k
1622,492.921875,150.5,506.921875,164.5,,1,e
1623,507.296875,145.5,522.296875,164.5,,1,d
1624,522.0,161.5,529.0,167.5,,1,","
1625,528.5,164.5,535.5,164.5,,1, 
1626,535.59375,150.5,549.59375,164.5,,1,e
1627,548.84375,150.5,561.84375,170.5,,1,y
1628,561.9375,150.5,575.9375,164.5,,1,e
1629,576.390625,145.5,582.390625,164.5,,1,i
1630,582.84375,150.5,597.84375,164.5,,1,n
1631,598.21875,150.5,613.21875,170.5,,1,g
1632,612.71875,164.5,619.71875,164.5,,1, 
1633,620.09375,150.5,643.09375,164.5,,1,m
1634,643.1875,150.5,657.1875,164.5,,1,e
1635,656.6875,164.5,663.6875,164.5,,1, 
1636,663.6875,150.5,675.6875,164.5,,1,c
1637,676.140625,150.5,691.140625,164.5,,1,u
1638,691.46875,150.5,701.46875,164.5,,1,r
1639,701.921875,145.5,707.921875,164.5,,1,i
1640,708.046875,150.5,723.046875,164.5,,1,o
1641,723.5,150.5,738.5,164.5,,1,u
1642,738.46875,150.5,750.46875,164.5,,1,s
1643,750.921875,145.5,756.921875,164.5,,1,l
1644,756.671875,150.5,769.671875,170.5,,1,y
1645,768.375,161.5,775.375,164.5,,1,.
1646,50.46875,286.5,58.46875,304.5,,3,I
1647,57.96875,304.5,64.96875,304.5,,3, 
1648,65.421875,285.5,80.421875,304.5,,3,h
1649,80.515625,290.5,94.515625,304.5,,3,e
1650,94.484375,290.5,106.484375,304.5,,3,s
1651,106.9375,285.5,112.9375,304.5,,3,i
1652,112.96875,287.5,121.96875,304.5,,3,t
1653,122.0,290.5,136.0,304.5,,3,a
1654,136.03125,287.5,145.03125,304.5,,3,t
1655,145.125,290.5,159.125,304.5,,3,e
1656,159.5,285.5,174.5,304.5,,3,d
1657,174.203125,301.5,181.203125,307.5,,3,","
1658,180.703125,304.5,187.703125,304.5,,3, 
1659,188.15625,290.5,203.15625,304.5,,3,u
1660,203.609375,290.5,218.609375,304.5,,3,n
1661,218.578125,290.5,230.578125,304.5,,3,s
1662,231.03125,290.5,246.03125,304.5,,3,u
1663,246.359375,290.5,256.359375,304.5,,3,r
1664,255.953125,290.5,269.953125,304.5,,3,e
1665,269.453125,304.5,276.453125,304.5,,3, 
1666,276.578125,290.5,291.578125,304.5,,3,o
1667,290.171875,285.5,300.171875,304.5,,3,f
1668,299.671875,304.5,306.671875,304.5,,3, 
1669,307.125,285.5,322.125,304.5,,3,h
1670,322.25,290.5,337.25,304.5,,3,o
1671,336.40625,290.5,356.40625,304.5,,3,w
1672,355.90625,304.5,362.90625,304.5,,3, 
1673,362.9375,287.5,371.9375,304.5,,3,t
1674,372.0625,290.5,387.0625,304.5,,3,o
1675,386.5625,304.5,393.5625,304.5,,3, 
1676,393.890625,290.5,403.890625,304.5,,3,r
1677,403.484375,290.5,417.484375,304.5,,3,e
1678,417.453125,290.5,429.453125,304.5,,3,s
1679,429.828125,290.5,444.828125,310.5,,3,p
1680,444.953125,290.5,459.953125,304.5,,3,o
1681,460.40625,290.5,475.40625,304.5,,3,n
1682,475.78125,285.5,490.78125,304.5,,3,d
1683,490.484375,301.5,497.484375,304.5,,3,.
1684,496.984375,304.5,503.984375,304.5,,3, 
1685,504.1875,286.5,514.1875,304.5,,3,""""
1686,513.59375,286.5,528.59375,304.5,,3,Y
1687,527.4375,290.5,541.4375,304.5,,3,e
1688,541.46875,290.5,555.46875,304.5,,3,a
1689,555.921875,285.5,570.921875,304.5,,3,h
1690,570.625,301.5,577.625,307.5,,3,","
1691,577.125,304.5,584.125,304.5,,3, 
1692,584.21875,290.5,598.21875,304.5,,3,e
1693,597.421875,290.5,610.421875,304.5,,3,v
1694,610.515625,290.5,624.515625,304.5,,3,e
1695,624.84375,290.5,634.84375,304.5,,3,r
1696,634.59375,290.5,647.59375,310.5,,3,y
1697,647.625,287.5,656.625,304.5,,3,t
1698,657.078125,285.5,672.078125,304.5,,3,h
