index,left,top,right,bottom,section,line,content
288,43.46875,50,81.421875,120.0,,0,As
289,81.421875,50,95.453125,120.0,,0,I
290,95.453125,50,196.6875,120.0,,0,finished
291,196.6875,50,239.3125,120.0,,0,my
292,239.3125,50,303.59375,120.0,,0,meal
293,303.59375,50,355.125,120.0,,0,and
294,355.125,50,469.453125,120.0,,0,prepared
295,469.453125,50,500.3203125,120.0,,0,to
296,500.3203125,50,574.6875,120.0,,0,"leave,"
297,574.6875,50,619.578125,120.0,,0,the
298,619.578125,50,723.28125,120.0,,0,waitress
299,723.28125,50,793.34375,120.0,,0,came
300,793.34375,50,851.546875,120.0,,0,over
301,851.546875,50,882.1875,120.0,,0,to
302,882.1875,50,945.78125,120.0,,0,clear
303,945.78125,50,991.46875,120.0,,0,my
304,43.875,120.0,119.0390625,190.0,,1,plate.
305,119.0390625,120.0,261.25,190.0,,1,"""Everything"
306,261.25,120.0,328.8671875,190.0,,1,"okay,"
307,328.8671875,120.0,402.203125,190.0,,1,"hon?"""
308,402.203125,120.0,450.25,190.0,,1,she
309,450.25,120.0,532.296875,190.0,,1,"asked,"
310,532.296875,120.0,616.65625,190.0,,1,eyeing
311,616.65625,120.0,660.4375,190.0,,1,me
312,660.4375,120.0,781.875,190.0,,1,curiously.
313,43.96875,260.0,61.9453125,330.0,,3,I
314,61.9453125,260.0,184.6796875,330.0,,3,"hesitated,"
315,184.6796875,260.0,273.265625,330.0,,3,unsure
316,273.265625,260.0,303.6484375,330.0,,3,of
317,303.6484375,260.0,359.671875,330.0,,3,how
318,359.671875,260.0,390.4765625,330.0,,3,to
319,390.4765625,260.0,500.8359375,330.0,,3,respond.
320,500.8359375,260.0,580.921875,330.0,,3,"""Yeah,"
321,580.921875,260.0,728.75,330.0,,3,everything's
322,728.75,260.0,797.6875,330.0,,3,"fine,"""
323,797.6875,260.0,812.40625,330.0,,3,I
324,812.40625,260.0,866.046875,330.0,,3,said
325,866.046875,260.0,949.15625,330.0,,3,"finally,"
326,949.15625,260.0,1028.28125,330.0,,3,trying
327,43.53125,330.0,77.59375,400.0,,4,to
328,77.59375,330.0,152.7109375,400.0,,4,brush
329,152.7109375,330.0,174.53125,400.0,,4,it
330,174.53125,330.0,222.75,400.0,,4,off.
331,43.75,470.0,94.0,540.0,,6,But
332,94.0,470.0,126.71875,540.0,,6,as
333,126.71875,470.0,141.28125,540.0,,6,I
334,141.28125,470.0,230.96875,540.0,,6,walked
335,230.96875,470.0,277.078125,540.0,,6,out
336,277.078125,470.0,307.25,540.0,,6,of
337,307.25,470.0,352.5,540.0,,6,the
338,352.5,470.0,423.453125,540.0,,6,"diner,"
339,423.453125,470.0,438.1875,540.0,,6,I
340,438.1875,470.0,538.9375,540.0,,6,couldn't
341,538.9375,470.0,614.359375,540.0,,6,shake
342,614.359375,470.0,658.71875,540.0,,6,the
343,658.71875,470.0,746.453125,540.0,,6,feeling
344,746.453125,470.0,800.671875,540.0,,6,that
345,800.671875,470.0,843.3359375,540.0,,6,my
346,843.3359375,470.0,885.03125,540.0,,6,life
347,885.03125,470.0,937.375,540.0,,6,was
348,937.375,470.0,1012.890625,540.0,,6,about
349,1012.890625,470.0,1046.78125,540.0,,6,to
350,43.5,540.0,139.8828125,610.0,,7,change
351,139.8828125,540.0,168.046875,610.0,,7,in
352,168.046875,540.0,238.421875,610.0,,7,some
353,238.421875,540.0,396.796875,610.0,,7,fundamental
354,396.796875,540.0,455.5625,610.0,,7,way.
355,455.5625,540.0,505.7890625,610.0,,7,The
356,505.7890625,540.0,565.9921875,610.0,,7,note
357,565.9921875,540.0,617.3515625,610.0,,7,had
358,617.3515625,540.0,661.984375,610.0,,7,left
359,661.984375,540.0,705.59375,610.0,,7,me
360,705.59375,540.0,763.046875,610.0,,7,with
361,763.046875,540.0,831.96875,610.0,,7,more
362,831.96875,540.0,953.21875,610.0,,7,questions
363,953.21875,540.0,1016.921875,610.0,,7,than
364,43.53125,610.0,157.46875,680.0,,8,"answers,"
365,157.46875,610.0,209.046875,680.0,,8,and
366,209.046875,610.0,223.78125,680.0,,8,I
367,223.78125,610.0,324.7734375,680.0,,8,couldn't
368,324.7734375,610.0,382.609375,680.0,,8,help
369,382.609375,610.0,428.609375,680.0,,8,but
370,428.609375,610.0,525.140625,680.0,,8,wonder
371,525.140625,610.0,590.0,680.0,,8,what
372,590.0,610.0,634.359375,680.0,,8,the
373,634.359375,610.0,714.2421875,680.0,,8,future
374,714.2421875,610.0,781.84375,680.0,,8,held.
