index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.265625,80.5,130.265625,94.5,question,0,c
6,130.296875,80.5,144.296875,94.5,question,0,a
7,144.75,80.5,159.75,94.5,question,0,u
8,159.71875,80.5,171.71875,94.5,question,0,s
9,171.8125,80.5,185.8125,94.5,question,0,e
10,186.1875,75.5,201.1875,94.5,question,0,d
11,200.6875,94.5,207.6875,94.5,question,0, 
12,207.40625,76.5,221.40625,94.5,question,0,S
13,221.4375,80.5,235.4375,94.5,question,0,a
14,235.765625,80.5,245.765625,94.5,question,0,r
15,245.296875,80.5,259.296875,94.5,question,0,a
16,259.75,75.5,274.75,94.5,question,0,h
17,274.25,94.5,281.25,94.5,question,0, 
18,281.28125,80.5,295.28125,94.5,question,0,a
19,295.734375,80.5,310.734375,94.5,question,0,n
20,311.109375,75.5,326.109375,94.5,question,0,d
21,325.609375,94.5,332.609375,94.5,question,0, 
22,332.578125,76.5,348.578125,94.5,question,0,A
23,349.03125,75.5,355.03125,94.5,question,0,l
24,355.125,80.5,369.125,94.5,question,0,e
25,368.84375,80.5,381.84375,94.5,question,0,x
26,381.34375,94.5,388.34375,94.5,question,0, 
27,388.375,77.5,397.375,94.5,question,0,t
28,397.5,80.5,412.5,94.5,question,0,o
29,412.0,94.5,419.0,94.5,question,0, 
30,419.375,80.5,442.375,94.5,question,0,m
31,442.46875,80.5,456.46875,94.5,question,0,e
32,456.5625,80.5,470.5625,94.5,question,0,e
33,470.59375,77.5,479.59375,94.5,question,0,t
34,479.4375,76.5,490.4375,94.5,question,0,?
35,99.90625,216.5,113.90625,234.5,option:0,0,T
36,114.359375,215.5,129.359375,234.5,option:0,0,h
37,129.453125,220.5,143.453125,234.5,option:0,0,e
38,142.703125,220.5,155.703125,240.5,option:0,0,y
39,155.203125,234.5,162.203125,234.5,option:0,0, 
40,162.578125,220.5,185.578125,234.5,option:0,0,m
41,185.671875,220.5,199.671875,234.5,option:0,0,e
42,199.703125,217.5,208.703125,234.5,option:0,0,t
43,208.203125,234.5,215.203125,234.5,option:0,0, 
44,214.859375,220.5,234.859375,234.5,option:0,0,w
45,235.3125,215.5,250.3125,234.5,option:0,0,h
46,250.765625,215.5,256.765625,234.5,option:0,0,i
47,257.21875,215.5,263.21875,234.5,option:0,0,l
48,263.3125,220.5,277.3125,234.5,option:0,0,e
49,276.8125,234.5,283.8125,234.5,option:0,0, 
50,284.1875,215.5,299.1875,234.5,option:0,0,b
51,299.3125,220.5,314.3125,234.5,option:0,0,o
52,314.34375,220.5,328.34375,234.5,option:0,0,a
53,328.671875,220.5,338.671875,234.5,option:0,0,r
54,338.546875,215.5,353.546875,234.5,option:0,0,d
55,354.0,215.5,360.0,234.5,option:0,0,i
56,360.453125,220.5,375.453125,234.5,option:0,0,n
57,375.828125,220.5,390.828125,240.5,option:0,0,g
58,390.328125,234.5,397.328125,234.5,option:0,0, 
59,397.359375,217.5,406.359375,234.5,option:0,0,t
60,406.8125,215.5,421.8125,234.5,option:0,0,h
61,421.90625,220.5,435.90625,234.5,option:0,0,e
62,435.40625,234.5,442.40625,234.5,option:0,0, 
63,442.78125,220.5,457.78125,240.5,option:0,0,p
64,458.234375,215.5,464.234375,234.5,option:0,0,l
65,464.265625,220.5,478.265625,234.5,option:0,0,a
66,478.71875,220.5,493.71875,234.5,option:0,0,n
67,493.8125,220.5,507.8125,234.5,option:0,0,e
68,507.515625,231.5,514.515625,234.5,option:0,0,.
69,99.96875,286.5,115.96875,304.5,option:1,0,A
70,115.46875,304.5,122.46875,304.5,option:1,0, 
71,122.4375,290.5,134.4375,304.5,option:1,0,s
72,134.46875,287.5,143.46875,304.5,option:1,0,t
73,143.59375,290.5,158.59375,304.5,option:1,0,o
74,158.921875,290.5,168.921875,304.5,option:1,0,r
75,169.296875,290.5,192.296875,304.5,option:1,0,m
76,191.796875,304.5,198.796875,304.5,option:1,0, 
77,199.171875,285.5,214.171875,304.5,option:1,0,d
78,214.265625,290.5,228.265625,304.5,option:1,0,e
79,228.71875,285.5,234.71875,304.5,option:1,0,l
80,234.75,290.5,248.75,304.5,option:1,0,a
81,248.5,290.5,261.5,310.5,option:1,0,y
82,261.59375,290.5,275.59375,304.5,option:1,0,e
83,275.96875,285.5,290.96875,304.5,option:1,0,d
84,290.46875,304.5,297.46875,304.5,option:1,0, 
85,297.5,287.5,306.5,304.5,option:1,0,t
86,306.953125,285.5,321.953125,304.5,option:1,0,h
87,322.046875,290.5,336.046875,304.5,option:1,0,e
88,336.5,285.5,342.5,304.5,option:1,0,i
89,342.828125,290.5,352.828125,304.5,option:1,0,r
90,352.328125,304.5,359.328125,304.5,option:1,0, 
91,357.921875,285.5,367.921875,304.5,option:1,0,f
92,368.375,285.5,374.375,304.5,option:1,0,l
