index,left,top,right,bottom,section,line,content
0,43.75,50,115.015625,120.0,question,0,What
1,115.015625,50,204.296875,120.0,question,0,caused
2,204.296875,50,278.015625,120.0,question,0,Sarah
3,278.015625,50,329.34375,120.0,question,0,and
4,329.34375,50,385.109375,120.0,question,0,Alex
5,385.109375,50,415.9375,120.0,question,0,to
6,415.9375,50,496.9375,120.0,question,0,meet?
7,93.40625,190.0,159.140625,260.0,option:0,0,They
8,159.140625,190.0,211.78125,260.0,option:0,0,met
9,211.78125,190.0,280.75,260.0,option:0,0,while
10,280.75,190.0,394.09375,260.0,option:0,0,boarding
11,394.09375,190.0,439.34375,260.0,option:0,0,the
12,439.34375,190.0,521.015625,260.0,option:0,0,plane.
13,93.46875,260.0,119.203125,330.0,option:1,0,A
14,119.203125,260.0,195.734375,330.0,option:1,0,storm
15,195.734375,260.0,294.234375,330.0,option:1,0,delayed
16,294.234375,260.0,355.375,330.0,option:1,0,their
17,355.375,260.0,445.859375,330.0,option:1,0,flights.
18,93.40625,330.0,158.78125,400.0,option:2,0,They
19,158.78125,330.0,223.3125,400.0,option:2,0,were
20,223.3125,330.0,284.8359375,400.0,option:2,0,both
21,284.8359375,330.0,333.9140625,400.0,option:2,0,lost
22,333.9140625,330.0,362.109375,400.0,option:2,0,in
23,362.109375,330.0,407.1875,400.0,option:2,0,the
24,407.1875,330.0,504.296875,400.0,option:2,0,airport.
25,93.40625,400.0,158.78125,470.0,option:3,0,They
26,158.78125,400.0,223.1875,470.0,option:3,0,were
27,223.1875,400.0,260.21875,470.0,option:3,0,on
28,260.21875,400.0,305.265625,470.0,option:3,0,the
29,305.265625,400.0,374.546875,470.0,option:3,0,same
30,374.546875,400.0,453.0625,470.0,option:3,0,flight.
