index,left,top,right,bottom,section,line,content
544,50.203125,76.5,60.203125,94.5,,0,""""
545,59.875,76.5,82.875,94.5,,0,M
546,83.328125,75.5,89.328125,94.5,,0,i
547,89.78125,80.5,104.78125,94.5,,0,n
548,105.15625,75.5,120.15625,94.5,,0,d
549,119.65625,94.5,126.65625,94.5,,0, 
550,127.109375,75.5,133.109375,94.5,,0,i
551,131.703125,75.5,141.703125,94.5,,0,f
552,141.203125,94.5,148.203125,94.5,,0, 
553,148.671875,76.5,156.671875,94.5,,0,I
554,156.171875,94.5,163.171875,94.5,,0, 
555,163.625,75.5,169.625,100.5,,0,j
556,169.75,80.5,184.75,94.5,,0,o
557,185.203125,75.5,191.203125,94.5,,0,i
558,191.65625,80.5,206.65625,94.5,,0,n
559,206.15625,94.5,213.15625,94.5,,0, 
560,212.90625,80.5,225.90625,100.5,,0,y
561,226.03125,80.5,241.03125,94.5,,0,o
562,241.484375,80.5,256.484375,94.5,,0,u
563,256.328125,76.5,267.328125,94.5,,0,?
564,267.53125,76.5,277.53125,94.5,,0,""""
565,277.03125,94.5,284.03125,94.5,,0, 
566,284.484375,75.5,290.484375,94.5,,0,i
567,290.515625,77.5,299.515625,94.5,,0,t
568,299.015625,94.5,306.015625,94.5,,0, 
569,305.984375,80.5,317.984375,94.5,,0,s
570,318.015625,80.5,332.015625,94.5,,0,a
571,332.46875,75.5,338.46875,94.5,,0,i
572,338.84375,75.5,353.84375,94.5,,0,d
573,353.546875,91.5,360.546875,94.5,,0,.
574,49.71875,216.5,63.71875,234.5,,2,S
575,63.75,220.5,77.75,234.5,,2,a
576,78.078125,220.5,88.078125,234.5,,2,r
577,87.609375,220.5,101.609375,234.5,,2,a
578,102.0625,215.5,117.0625,234.5,,2,h
579,116.5625,234.5,123.5625,234.5,,2, 
580,123.59375,217.5,132.59375,234.5,,2,t
581,133.046875,220.5,148.046875,234.5,,2,u
582,148.375,220.5,158.375,234.5,,2,r
583,158.828125,220.5,173.828125,234.5,,2,n
584,173.921875,220.5,187.921875,234.5,,2,e
585,188.296875,215.5,203.296875,234.5,,2,d
586,202.796875,234.5,209.796875,234.5,,2, 
587,209.828125,217.5,218.828125,234.5,,2,t
588,218.953125,220.5,233.953125,234.5,,2,o
589,233.453125,234.5,240.453125,234.5,,2, 
590,240.421875,220.5,252.421875,234.5,,2,s
591,252.515625,220.5,266.515625,234.5,,2,e
592,266.609375,220.5,280.609375,234.5,,2,e
593,280.109375,234.5,287.109375,234.5,,2, 
594,287.140625,220.5,301.140625,234.5,,2,a
595,300.640625,234.5,307.640625,234.5,,2, 
596,308.015625,220.5,331.015625,234.5,,2,m
597,331.046875,220.5,345.046875,234.5,,2,a
598,345.5,220.5,360.5,234.5,,2,n
599,360.0,234.5,367.0,234.5,,2, 
600,366.65625,220.5,386.65625,234.5,,2,w
601,387.109375,215.5,393.109375,234.5,,2,i
602,393.140625,217.5,402.140625,234.5,,2,t
603,402.59375,215.5,417.59375,234.5,,2,h
604,417.09375,234.5,424.09375,234.5,,2, 
605,424.125,220.5,438.125,234.5,,2,a
606,437.625,234.5,444.625,234.5,,2, 
607,443.96875,215.5,457.96875,234.5,,2,k
608,458.421875,215.5,464.421875,234.5,,2,i
609,464.875,220.5,479.875,234.5,,2,n
610,480.25,215.5,495.25,234.5,,2,d
611,494.75,234.5,501.75,234.5,,2, 
612,500.34375,215.5,510.34375,234.5,,2,f
613,510.375,220.5,524.375,234.5,,2,a
614,524.375,220.5,536.375,234.5,,2,c
615,536.46875,220.5,550.46875,234.5,,2,e
616,549.96875,234.5,556.96875,234.5,,2, 
617,557.0,220.5,571.0,234.5,,2,a
618,571.453125,220.5,586.453125,234.5,,2,n
619,586.828125,215.5,601.828125,234.5,,2,d
620,601.328125,234.5,608.328125,234.5,,2, 
621,608.359375,220.5,622.359375,234.5,,2,a
622,621.859375,234.5,628.859375,234.5,,2, 
623,628.515625,220.5,648.515625,234.5,,2,w
624,648.546875,220.5,662.546875,234.5,,2,a
625,662.875,220.5,672.875,234.5,,2,r
626,673.25,220.5,696.25,234.5,,2,m
627,695.75,234.5,702.75,234.5,,2, 
628,702.71875,220.5,714.71875,234.5,,2,s
629,715.09375,220.5,738.09375,234.5,,2,m
630,738.546875,215.5,744.546875,234.5,,2,i
631,745.0,215.5,751.0,234.5,,2,l
632,751.09375,220.5,765.09375,234.5,,2,e
633,764.796875,231.5,771.796875,234.5,,2,.
634,771.296875,234.5,778.296875,234.5,,2, 
635,777.828125,216.5,796.828125,234.5,,2,H
636,796.921875,220.5,810.921875,234.5,,2,e
637,810.421875,234.5,817.421875,234.5,,2, 
638,817.078125,220.5,837.078125,234.5,,2,w
639,837.109375,220.5,851.109375,234.5,,2,a
640,851.078125,220.5,863.078125,234.5,,2,s
641,862.578125,234.5,869.578125,234.5,,2, 
642,870.03125,215.5,885.03125,234.5,,2,h
643,885.15625,220.5,900.15625,234.5,,2,o
644,900.609375,215.5,906.609375,234.5,,2,l
645,906.984375,215.5,921.984375,234.5,,2,d
646,922.4375,215.5,928.4375,234.5,,2,i
647,928.890625,220.5,943.890625,234.5,,2,n
648,944.265625,220.5,959.265625,240.5,,2,g
649,958.765625,234.5,965.765625,234.5,,2, 
650,965.796875,220.5,979.796875,234.5,,2,a
651,979.296875,234.5,986.296875,234.5,,2, 
652,986.296875,220.5,998.296875,234.5,,2,c
653,998.75,220.5,1013.75,234.5,,2,u
654,1014.125,220.5,1029.125,240.5,,2,p
655,50.125,290.5,65.125,304.5,,3,o
656,63.71875,285.5,73.71875,304.5,,3,f
657,73.21875,304.5,80.21875,304.5,,3, 
658,80.21875,290.5,92.21875,304.5,,3,c
659,92.34375,290.5,107.34375,304.5,,3,o
660,105.9375,285.5,115.9375,304.5,,3,f
661,114.546875,285.5,124.546875,304.5,,3,f
662,124.640625,290.5,138.640625,304.5,,3,e
663,138.734375,290.5,152.734375,304.5,,3,e
664,152.234375,304.5,159.234375,304.5,,3, 
665,159.265625,290.5,173.265625,304.5,,3,a
666,173.71875,290.5,188.71875,304.5,,3,n
667,189.09375,285.5,204.09375,304.5,,3,d
668,203.59375,304.5,210.59375,304.5,,3, 
669,211.046875,285.5,217.046875,304.5,,3,l
670,217.171875,290.5,232.171875,304.5,,3,o
671,232.296875,290.5,247.296875,304.5,,3,o
672,246.640625,285.5,260.640625,304.5,,3,k
673,260.734375,290.5,274.734375,304.5,,3,e
674,275.109375,285.5,290.109375,304.5,,3,d
675,289.609375,304.5,296.609375,304.5,,3, 
676,297.0625,285.5,303.0625,304.5,,3,l
677,303.515625,285.5,309.515625,304.5,,3,i
678,308.859375,285.5,322.859375,304.5,,3,k
679,322.953125,290.5,336.953125,304.5,,3,e
680,336.453125,304.5,343.453125,304.5,,3, 
681,343.90625,285.5,358.90625,304.5,,3,h
682,359.0,290.5,373.0,304.5,,3,e
683,372.5,304.5,379.5,304.5,,3, 
684,379.953125,285.5,394.953125,304.5,,3,h
685,394.984375,290.5,408.984375,304.5,,3,a
686,409.359375,285.5,424.359375,304.5,,3,d
687,423.859375,304.5,430.859375,304.5,,3, 
688,431.234375,285.5,446.234375,304.5,,3,b
689,446.328125,290.5,460.328125,304.5,,3,e
690,460.421875,290.5,474.421875,304.5,,3,e
691,474.875,290.5,489.875,304.5,,3,n
692,489.375,304.5,496.375,304.5,,3, 
693,496.03125,290.5,516.03125,304.5,,3,w
694,516.0625,290.5,530.0625,304.5,,3,a
695,530.515625,285.5,536.515625,304.5,,3,i
696,536.546875,287.5,545.546875,304.5,,3,t
697,546.0,285.5,552.0,304.5,,3,i
698,552.453125,290.5,567.453125,304.5,,3,n
699,567.828125,290.5,582.828125,310.5,,3,g
700,582.328125,304.5,589.328125,304.5,,3, 
701,587.921875,285.5,597.921875,304.5,,3,f
702,598.046875,290.5,613.046875,304.5,,3,o
703,613.375,290.5,623.375,304.5,,3,r
704,622.875,304.5,629.875,304.5,,3, 
705,630.328125,285.5,636.328125,310.5,,3,j
706,636.78125,290.5,651.78125,304.5,,3,u
707,651.75,290.5,663.75,304.5,,3,s
708,663.78125,287.5,672.78125,304.5,,3,t
709,672.28125,304.5,679.28125,304.5,,3, 
710,679.3125,290.5,693.3125,304.5,,3,a
711,693.28125,290.5,705.28125,304.5,,3,s
712,704.78125,304.5,711.78125,304.5,,3, 
713,712.234375,285.5,718.234375,304.5,,3,l
714,718.359375,290.5,733.359375,304.5,,3,o
715,733.8125,290.5,748.8125,304.5,,3,n
716,749.1875,290.5,764.1875,310.5,,3,g
717,763.6875,304.5,770.6875,304.5,,3, 
718,770.71875,290.5,784.71875,304.5,,3,a
719,784.6875,290.5,796.6875,304.5,,3,s
720,796.1875,304.5,803.1875,304.5,,3, 
721,803.15625,290.5,815.15625,304.5,,3,s
722,815.609375,285.5,830.609375,304.5,,3,h
723,830.703125,290.5,844.703125,304.5,,3,e
724,844.203125,304.5,851.203125,304.5,,3, 
725,851.65625,285.5,866.65625,304.5,,3,h
726,866.6875,290.5,880.6875,304.5,,3,a
727,881.0625,285.5,896.0625,304.5,,3,d
728,895.765625,301.5,902.765625,304.5,,3,.
729,50.203125,426.5,60.203125,444.5,,5,""""
730,60.203125,426.5,79.203125,444.5,,5,N
731,79.328125,430.5,94.328125,444.5,,5,o
732,94.359375,427.5,103.359375,444.5,,5,t
733,102.859375,444.5,109.859375,444.5,,5, 
734,109.890625,430.5,123.890625,444.5,,5,a
735,123.921875,427.5,132.921875,444.5,,5,t
736,132.421875,444.5,139.421875,444.5,,5, 
737,139.453125,430.5,153.453125,444.5,,5,a
738,153.90625,425.5,159.90625,444.5,,5,l
739,160.359375,425.5,166.359375,444.5,,5,l
740,166.0625,441.5,173.0625,447.5,,5,","
741,173.265625,426.5,183.265625,444.5,,5,""""
742,182.765625,444.5,189.765625,444.5,,5, 
743,189.484375,426.5,203.484375,444.5,,5,S
744,203.515625,430.5,217.515625,444.5,,5,a
745,217.84375,430.5,227.84375,444.5,,5,r
746,227.375,430.5,241.375,444.5,,5,a
747,241.828125,425.5,256.828125,444.5,,5,h
748,256.328125,444.5,263.328125,444.5,,5, 
749,263.65625,430.5,273.65625,444.5,,5,r
750,273.25,430.5,287.25,444.5,,5,e
751,287.625,430.5,302.625,450.5,,5,p
752,303.078125,425.5,309.078125,444.5,,5,l
753,309.53125,425.5,315.53125,444.5,,5,i
754,315.625,430.5,329.625,444.5,,5,e
755,330.0,425.5,345.0,444.5,,5,d
756,344.703125,441.5,351.703125,447.5,,5,","
757,351.203125,444.5,358.203125,444.5,,5, 
758,358.234375,427.5,367.234375,444.5,,5,t
759,367.265625,430.5,381.265625,444.5,,5,a
760,380.609375,425.5,394.609375,444.5,,5,k
761,395.0625,425.5,401.0625,444.5,,5,i
762,401.515625,430.5,416.515625,444.5,,5,n
763,416.890625,430.5,431.890625,450.5,,5,g
764,431.390625,444.5,438.390625,444.5,,5, 
765,438.421875,427.5,447.421875,444.5,,5,t
766,447.875,425.5,462.875,444.5,,5,h
767,462.96875,430.5,476.96875,444.5,,5,e
768,476.46875,444.5,483.46875,444.5,,5, 
769,483.46875,430.5,495.46875,444.5,,5,c
770,495.921875,430.5,510.921875,444.5,,5,u
771,511.296875,430.5,526.296875,450.5,,5,p
772,525.796875,444.5,532.796875,444.5,,5, 
773,531.390625,425.5,541.390625,444.5,,5,f
774,541.71875,430.5,551.71875,444.5,,5,r
775,551.34375,430.5,566.34375,444.5,,5,o
776,566.71875,430.5,589.71875,444.5,,5,m
777,589.21875,444.5,596.21875,444.5,,5, 
778,596.671875,425.5,611.671875,444.5,,5,h
779,612.125,425.5,618.125,444.5,,5,i
780,618.5,430.5,641.5,444.5,,5,m
781,641.203125,441.5,648.203125,444.5,,5,.
782,647.703125,444.5,654.703125,444.5,,5, 
783,654.90625,426.5,664.90625,444.5,,5,""""
784,665.375,426.5,673.375,444.5,,5,I
785,673.0,426.5,679.0,444.5,,5,'
786,678.625,430.5,701.625,444.5,,5,m
787,701.125,444.5,708.125,444.5,,5, 
788,707.84375,426.5,721.84375,444.5,,5,S
789,721.875,430.5,735.875,444.5,,5,a
790,736.203125,430.5,746.203125,444.5,,5,r
791,745.734375,430.5,759.734375,444.5,,5,a
792,760.1875,425.5,775.1875,444.5,,5,h
793,774.890625,441.5,781.890625,444.5,,5,.
794,781.390625,444.5,788.390625,444.5,,5, 
795,788.359375,426.5,804.359375,444.5,,5,A
796,804.8125,430.5,819.8125,444.5,,5,n
797,820.1875,425.5,835.1875,444.5,,5,d
798,834.6875,444.5,841.6875,444.5,,5, 
799,841.4375,430.5,854.4375,450.5,,5,y
800,854.5625,430.5,869.5625,444.5,,5,o
801,870.015625,430.5,885.015625,444.5,,5,u
802,884.515625,444.5,891.515625,444.5,,5, 
803,891.546875,430.5,905.546875,444.5,,5,a
804,905.875,430.5,915.875,444.5,,5,r
805,915.46875,430.5,929.46875,444.5,,5,e
806,929.171875,441.5,936.171875,444.5,,5,.
807,935.875,441.5,942.875,444.5,,5,.
808,942.578125,441.5,949.578125,444.5,,5,.
809,949.421875,426.5,960.421875,444.5,,5,?
810,960.625,426.5,970.625,444.5,,5,""""
811,50.203125,566.5,60.203125,584.5,,7,""""
812,60.671875,566.5,68.671875,584.5,,7,I
813,68.296875,566.5,74.296875,584.5,,7,'
814,73.921875,570.5,96.921875,584.5,,7,m
815,96.421875,584.5,103.421875,584.5,,7, 
816,103.390625,566.5,119.390625,584.5,,7,A
817,119.84375,565.5,125.84375,584.5,,7,l
818,125.9375,570.5,139.9375,584.5,,7,e
819,139.65625,570.5,152.65625,584.5,,7,x
820,152.359375,581.5,159.359375,587.5,,7,","
821,159.5625,566.5,169.5625,584.5,,7,""""
822,169.0625,584.5,176.0625,584.5,,7, 
823,176.515625,565.5,191.515625,584.5,,7,h
824,191.609375,570.5,205.609375,584.5,,7,e
825,205.109375,584.5,212.109375,584.5,,7, 
826,212.078125,570.5,224.078125,584.5,,7,s
827,224.109375,570.5,238.109375,584.5,,7,a
828,238.5625,565.5,244.5625,584.5,,7,i
829,244.9375,565.5,259.9375,584.5,,7,d
830,259.640625,581.5,266.640625,587.5,,7,","
831,266.140625,584.5,273.140625,584.5,,7, 
832,273.171875,567.5,282.171875,584.5,,7,t
833,282.203125,570.5,296.203125,584.5,,7,a
834,295.546875,565.5,309.546875,584.5,,7,k
835,310.0,565.5,316.0,584.5,,7,i
836,316.453125,570.5,331.453125,584.5,,7,n
837,331.828125,570.5,346.828125,590.5,,7,g
838,346.328125,584.5,353.328125,584.5,,7, 
839,353.359375,570.5,367.359375,584.5,,7,a
840,366.859375,584.5,373.859375,584.5,,7, 
841,373.828125,570.5,385.828125,584.5,,7,s
842,385.921875,570.5,399.921875,584.5,,7,e
843,399.953125,570.5,413.953125,584.5,,7,a
844,413.984375,567.5,422.984375,584.5,,7,t
845,422.484375,584.5,429.484375,584.5,,7, 
846,429.9375,570.5,444.9375,584.5,,7,n
847,445.03125,570.5,459.03125,584.5,,7,e
848,458.75,570.5,471.75,584.5,,7,x
849,471.78125,567.5,480.78125,584.5,,7,t
850,480.28125,584.5,487.28125,584.5,,7, 
851,487.3125,567.5,496.3125,584.5,,7,t
852,496.4375,570.5,511.4375,584.5,,7,o
853,510.9375,584.5,517.9375,584.5,,7, 
854,518.390625,565.5,533.390625,584.5,,7,h
855,533.484375,570.5,547.484375,584.5,,7,e
856,547.8125,570.5,557.8125,584.5,,7,r
857,553.515625,581.5,560.515625,584.5,,7,.
858,560.015625,584.5,567.015625,584.5,,7, 
859,567.21875,566.5,577.21875,584.5,,7,""""
860,577.21875,566.5,596.21875,584.5,,7,N
861,596.671875,565.5,602.671875,584.5,,7,i
862,602.671875,570.5,614.671875,584.5,,7,c
863,614.765625,570.5,628.765625,584.5,,7,e
864,628.265625,584.5,635.265625,584.5,,7, 
865,635.296875,567.5,644.296875,584.5,,7,t
866,644.421875,570.5,659.421875,584.5,,7,o
867,658.921875,584.5,665.921875,584.5,,7, 
868,666.296875,570.5,689.296875,584.5,,7,m
869,689.390625,570.5,703.390625,584.5,,7,e
870,703.484375,570.5,717.484375,584.5,,7,e
871,717.515625,567.5,726.515625,584.5,,7,t
872,726.015625,584.5,733.015625,584.5,,7, 
873,732.765625,570.5,745.765625,590.5,,7,y
874,745.890625,570.5,760.890625,584.5,,7,o
875,761.34375,570.5,776.34375,584.5,,7,u
876,776.046875,581.5,783.046875,587.5,,7,","
877,782.546875,584.5,789.546875,584.5,,7, 
878,789.265625,566.5,803.265625,584.5,,7,S
879,803.296875,570.5,817.296875,584.5,,7,a
880,817.625,570.5,827.625,584.5,,7,r
881,827.15625,570.5,841.15625,584.5,,7,a
882,841.609375,565.5,856.609375,584.5,,7,h
883,856.3125,581.5,863.3125,584.5,,7,.
884,863.515625,566.5,873.515625,584.5,,7,""""
885,49.96875,706.5,65.96875,724.5,,9,A
886,65.9375,710.5,77.9375,724.5,,9,s
887,77.4375,724.5,84.4375,724.5,,9, 
888,84.46875,707.5,93.46875,724.5,,9,t
889,93.921875,705.5,108.921875,724.5,,9,h
890,109.015625,710.5,123.015625,724.5,,9,e
891,122.265625,710.5,135.265625,730.5,,9,y
892,134.765625,724.5,141.765625,724.5,,9, 
893,141.734375,710.5,153.734375,724.5,,9,s
894,154.1875,705.5,160.1875,724.5,,9,i
895,160.5625,710.5,175.5625,730.5,,9,p
896,175.9375,710.5,190.9375,730.5,,9,p
897,191.03125,710.5,205.03125,724.5,,9,e
