index,left,top,right,bottom,section,line,content
459,43.953125,50,105.671875,120.0,,0,long
460,105.671875,50,171.671875,120.0,,0,time.
461,171.671875,50,221.8046875,120.0,,0,She
462,221.8046875,50,273.1640625,120.0,,0,had
463,273.1640625,50,310.2421875,120.0,,0,no
464,310.2421875,50,366.296875,120.0,,0,idea
465,366.296875,50,431.15625,120.0,,0,what
466,431.15625,50,475.515625,120.0,,0,the
467,475.515625,50,555.3984375,120.0,,0,future
468,555.3984375,50,619.9375,120.0,,0,"held,"
469,619.9375,50,666.09375,120.0,,0,but
470,666.09375,50,713.796875,120.0,,0,she
471,713.796875,50,782.6875,120.0,,0,knew
472,782.6875,50,836.9453125,120.0,,0,that
473,836.9453125,50,883.3203125,120.0,,0,her
474,883.3203125,50,925.015625,120.0,,0,life
475,925.015625,50,977.359375,120.0,,0,was
476,977.359375,50,1056.109375,120.0,,0,about
477,43.53125,120.0,77.40625,190.0,,1,to
478,77.40625,120.0,170.5390625,190.0,,1,change
479,170.5390625,120.0,198.734375,190.0,,1,in
480,198.734375,120.0,219.4375,190.0,,1,a
481,219.4375,120.0,262.78125,190.0,,1,big
482,262.78125,120.0,324.84375,190.0,,1,way.
483,43.46875,260.0,81.203125,330.0,,3,As
484,81.203125,260.0,137.8125,330.0,,3,they
485,137.8125,260.0,238.875,330.0,,3,finished
486,238.875,260.0,300.90625,330.0,,3,their
487,300.90625,260.0,365.1875,330.0,,3,meal
488,365.1875,260.0,416.71875,330.0,,3,and
489,416.71875,260.0,531.046875,330.0,,3,prepared
490,531.046875,260.0,561.875,330.0,,3,to
491,561.875,260.0,616.78125,330.0,,3,part
492,616.78125,260.0,688.546875,330.0,,3,"ways,"
493,688.546875,260.0,744.3125,330.0,,3,Alex
494,744.3125,260.0,830.546875,330.0,,3,turned
495,830.546875,260.0,861.046875,330.0,,3,to
496,861.046875,260.0,934.765625,330.0,,3,Sarah
497,934.765625,260.0,989.359375,330.0,,3,and
498,43.53125,330.0,122.2890625,400.0,,4,asked
499,122.2890625,330.0,168.6640625,400.0,,4,her
500,168.6640625,330.0,189.96875,400.0,,4,if
501,189.96875,330.0,237.828125,400.0,,4,she
502,237.828125,330.0,332.15625,400.0,,4,wanted
503,332.15625,330.0,362.8125,400.0,,4,to
504,362.8125,330.0,419.8125,400.0,,4,take
505,419.8125,330.0,440.328125,400.0,,4,a
506,440.328125,330.0,529.921875,400.0,,4,chance
507,529.921875,330.0,567.1640625,400.0,,4,on
508,567.1640625,330.0,625.28125,400.0,,4,him.
509,625.28125,330.0,715.8046875,400.0,,4,Sarah's
510,715.8046875,330.0,785.0,400.0,,4,heart
511,785.0,330.0,883.515625,400.0,,4,skipped
512,883.515625,330.0,904.21875,400.0,,4,a
513,904.21875,330.0,963.078125,400.0,,4,beat
514,963.078125,330.0,995.546875,400.0,,4,as
515,995.546875,330.0,1046.828125,400.0,,4,she
516,43.953125,400.0,132.9921875,470.0,,5,looked
517,132.9921875,400.0,185.5546875,470.0,,5,into
518,185.5546875,400.0,225.75,470.0,,5,his
519,225.75,400.0,284.625,470.0,,5,eyes
520,284.625,400.0,335.953125,470.0,,5,and
521,335.953125,400.0,390.171875,470.0,,5,said
522,390.171875,400.0,445.5625,470.0,,5,yes.
523,43.96875,540.0,77.1875,610.0,,7,In
524,77.1875,540.0,131.40625,610.0,,7,that
525,131.40625,540.0,244.734375,610.0,,7,"moment,"
526,244.734375,540.0,318.109375,610.0,,7,Sarah
527,318.109375,540.0,387.0,610.0,,7,knew
528,387.0,540.0,441.015625,610.0,,7,that
529,441.015625,540.0,489.2734375,610.0,,7,she
530,489.2734375,540.0,539.703125,610.0,,7,had
531,539.703125,540.0,616.890625,610.0,,7,found
532,616.890625,540.0,749.71875,610.0,,7,something
533,749.71875,540.0,843.296875,610.0,,7,special.
534,843.296875,540.0,896.625,610.0,,7,And
535,896.625,540.0,929.09375,610.0,,7,as
536,929.09375,540.0,980.375,610.0,,7,she
537,43.15625,610.0,136.265625,680.0,,8,walked
538,136.265625,610.0,182.375,680.0,,8,out
539,182.375,610.0,212.546875,680.0,,8,of
540,212.546875,610.0,257.625,680.0,,8,the
541,257.625,610.0,344.609375,680.0,,8,airport
542,344.609375,610.0,401.859375,680.0,,8,with
543,401.859375,610.0,457.796875,680.0,,8,Alex
544,457.796875,610.0,491.9609375,680.0,,8,by
545,491.9609375,610.0,538.09375,680.0,,8,her
546,538.09375,610.0,599.1875,680.0,,8,"side,"
547,599.1875,610.0,646.890625,680.0,,8,she
548,646.890625,610.0,715.78125,680.0,,8,knew
549,715.78125,610.0,769.796875,680.0,,8,that
550,769.796875,610.0,817.65625,680.0,,8,she
551,817.65625,610.0,870.03125,680.0,,8,was
552,870.03125,610.0,957.390625,680.0,,8,exactly
553,957.390625,610.0,1040.4375,680.0,,8,where
554,43.46875,680.0,94.59375,750.0,,9,she
555,94.59375,680.0,147.109375,750.0,,9,was
556,147.109375,680.0,229.421875,750.0,,9,meant
557,229.421875,680.0,260.25,750.0,,9,to
558,260.25,680.0,305.984375,750.0,,9,be.
