index,left,top,right,bottom,section,line,content
255,43.875,50,152.765625,120.0,,0,glimmer
256,152.765625,50,183.1484375,120.0,,0,of
257,183.1484375,50,259.421875,120.0,,0,hope.
258,43.046875,190.0,146.96875,260.0,,2,Rachel's
259,146.96875,190.0,222.296875,260.0,,2,"flight,"
260,222.296875,190.0,285.59375,260.0,,2,once
261,285.59375,190.0,390.609375,260.0,,2,"delayed,"
262,390.609375,190.0,443.1640625,260.0,,2,was
263,443.1640625,190.0,499.3359375,260.0,,2,now
264,499.3359375,190.0,656.4765625,260.0,,2,rescheduled.
265,656.4765625,190.0,726.09375,260.0,,2,Jack's
266,726.09375,190.0,824.59375,260.0,,2,"startup,"
267,824.59375,190.0,887.6875,260.0,,2,once
268,887.6875,190.0,981.5625,260.0,,2,"stalled,"
269,43.875,260.0,134.1953125,330.0,,3,gained
270,134.1953125,260.0,242.8125,330.0,,3,renewed
271,242.8125,260.0,395.0625,330.0,,3,momentum.
272,395.0625,260.0,445.046875,330.0,,3,The
273,445.046875,260.0,521.453125,330.0,,3,storm
274,521.453125,260.0,615.375,330.0,,3,outside
275,615.375,260.0,734.8828125,330.0,,3,"subsided,"
276,734.8828125,260.0,767.90625,330.0,,3,its
277,767.90625,260.0,822.21875,330.0,,3,fury
278,822.21875,260.0,901.484375,330.0,,3,spent.
279,901.484375,260.0,948.609375,330.0,,3,But
280,948.609375,260.0,996.921875,330.0,,3,the
281,43.5,330.0,182.734375,400.0,,4,connection
282,182.734375,330.0,268.40625,400.0,,4,forged
283,268.40625,330.0,347.59375,400.0,,4,within
284,347.59375,330.0,392.671875,400.0,,4,the
285,392.671875,330.0,497.171875,400.0,,4,airport's
286,497.171875,330.0,603.0390625,400.0,,4,confines
287,603.0390625,330.0,713.15625,400.0,,4,"lingered,"
288,713.15625,330.0,733.6875,400.0,,4,a
289,733.6875,330.0,860.296875,400.0,,4,testament
290,860.296875,330.0,890.953125,400.0,,4,to
291,890.953125,330.0,939.265625,400.0,,4,the
292,43.46875,400.0,184.1875,470.0,,5,serendipity
293,184.1875,400.0,214.328125,470.0,,5,of
294,214.328125,400.0,520.96875,470.0,,5,strangers-turned-friends.
