index,left,top,right,bottom,section,line,content
0,43.75,50,114.3125,120.0,question,0,What
1,114.3125,50,167.890625,120.0,question,0,first
2,167.890625,50,296.7890625,120.0,question,0,connected
3,296.7890625,50,381.109375,120.0,question,0,Rachel
4,381.109375,50,432.2890625,120.0,question,0,and
5,432.2890625,50,489.0625,120.0,question,0,Max
6,489.0625,50,573.828125,120.0,question,0,during
7,573.828125,50,635.859375,120.0,question,0,their
8,635.859375,50,704.890625,120.0,question,0,delay
9,704.890625,50,734.453125,120.0,question,0,at
10,734.453125,50,779.53125,120.0,question,0,the
11,779.53125,50,880.78125,120.0,question,0,airport?
12,93.40625,190.0,163.671875,260.0,option:0,0,Their
13,163.671875,190.0,233.28125,260.0,option:0,0,plans
14,233.28125,190.0,263.7734375,260.0,option:0,0,to
15,263.7734375,190.0,316.9296875,260.0,option:0,0,visit
16,316.9296875,190.0,417.0625,260.0,option:0,0,Chicago
17,417.0625,190.0,458.1640625,260.0,option:0,0,for
18,458.1640625,190.0,566.890625,260.0,option:0,0,vacation
19,93.40625,260.0,163.46875,330.0,option:1,0,Their
20,163.46875,260.0,250.921875,330.0,option:1,0,shared
21,250.921875,260.0,381.234375,330.0,option:1,0,profession
22,381.234375,260.0,413.546875,330.0,option:1,0,as
23,413.546875,260.0,505.328125,330.0,option:1,0,writers
24,93.40625,330.0,163.671875,400.0,option:2,0,Their
25,163.671875,330.0,254.0078125,400.0,option:2,0,mutual
26,254.0078125,330.0,308.21875,400.0,option:2,0,love
27,308.21875,330.0,338.390625,400.0,option:2,0,of
28,338.390625,330.0,451.546875,400.0,option:2,0,traveling
29,93.40625,400.0,162.78125,470.0,option:3,0,Their
30,162.78125,400.0,217.09375,470.0,option:3,0,fear
31,217.09375,400.0,247.265625,470.0,option:3,0,of
32,247.265625,400.0,292.3125,470.0,option:3,0,the
33,292.3125,400.0,371.90625,470.0,option:3,0,storm
