index,left,top,right,bottom,section,line,content
0,43.75,50,148.28125,120.0,,0,Delayed
1,148.28125,50,223.78125,120.0,,0,Flight
2,43.46875,190.0,81.203125,260.0,,2,As
3,81.203125,190.0,126.25,260.0,,2,the
4,126.25,190.0,202.7578125,260.0,,2,storm
5,202.7578125,190.0,276.6484375,260.0,,2,rolled
6,276.6484375,190.0,311.546875,260.0,,2,"in,"
7,311.546875,190.0,356.625,260.0,,2,the
8,356.625,190.0,460.421875,260.0,,2,airport's
9,460.421875,190.0,599.9453125,260.0,,2,fluorescent
10,599.9453125,190.0,670.25,260.0,,2,lights
11,670.25,190.0,777.703125,260.0,,2,flickered
12,777.703125,190.0,829.234375,260.0,,2,and
13,829.234375,190.0,940.296875,260.0,,2,"dimmed,"
14,940.296875,190.0,1034.359375,260.0,,2,casting
15,43.53125,260.0,82.78125,330.0,,3,an
16,82.78125,260.0,148.484375,330.0,,3,eerie
17,148.484375,260.0,210.96875,330.0,,3,glow
18,210.96875,260.0,269.171875,330.0,,3,over
19,269.171875,260.0,314.234375,330.0,,3,the
20,314.234375,260.0,421.703125,330.0,,3,crowded
21,421.703125,260.0,533.8828125,330.0,,3,terminal.
22,533.8828125,260.0,618.4140625,330.0,,3,Rachel
23,618.4140625,260.0,722.4921875,330.0,,3,huddled
24,722.4921875,260.0,750.8984375,330.0,,3,in
25,750.8984375,260.0,797.2734375,330.0,,3,her
26,797.2734375,260.0,879.4296875,330.0,,3,"jacket,"
27,879.4296875,260.0,925.625,330.0,,3,her
28,925.625,260.0,983.78125,330.0,,3,eyes
29,983.78125,260.0,1051.46875,330.0,,3,fixed
30,43.625,330.0,83.84375,400.0,,4,on
31,83.84375,330.0,129.09375,400.0,,4,the
32,129.09375,330.0,265.171875,400.0,,4,departures
33,265.171875,330.0,341.234375,400.0,,4,board
34,341.234375,330.0,373.703125,400.0,,4,as
35,373.703125,330.0,421.734375,400.0,,4,she
36,421.734375,330.0,524.8203125,400.0,,4,checked
37,524.8203125,330.0,571.15625,400.0,,4,her
38,571.15625,330.0,652.265625,400.0,,4,phone
39,652.265625,330.0,693.34375,400.0,,4,for
40,693.34375,330.0,757.484375,400.0,,4,what
41,757.484375,330.0,803.0859375,400.0,,4,felt
42,803.0859375,330.0,849.71875,400.0,,4,like
43,849.71875,330.0,895.0078125,400.0,,4,the
44,895.0078125,330.0,1030.046875,400.0,,4,hundredth
45,43.53125,400.0,112.671875,470.0,,5,time.
46,112.671875,400.0,161.65625,470.0,,5,Her
47,161.65625,400.0,230.234375,470.0,,5,flight
48,230.234375,400.0,260.7734375,470.0,,5,to
49,260.7734375,400.0,361.8359375,470.0,,5,Chicago
50,361.8359375,400.0,413.15625,470.0,,5,had
51,413.15625,400.0,478.671875,470.0,,5,been
52,478.671875,400.0,576.453125,470.0,,5,delayed
53,576.453125,400.0,617.71875,470.0,,5,for
54,617.71875,400.0,662.796875,470.0,,5,the
55,662.796875,400.0,725.4375,470.0,,5,third
56,725.4375,400.0,791.59375,470.0,,5,"time,"
57,791.59375,400.0,842.921875,470.0,,5,and
58,842.921875,400.0,890.78125,470.0,,5,she
59,890.78125,400.0,943.09375,470.0,,5,was
60,943.09375,400.0,1044.53125,470.0,,5,starting
61,43.53125,470.0,77.6328125,540.0,,6,to
62,77.6328125,470.0,131.7734375,540.0,,6,lose
63,131.7734375,470.0,208.046875,540.0,,6,hope.
64,43.46875,610.0,129.40625,680.0,,8,Across
65,129.40625,610.0,193.7578125,680.0,,8,from
66,193.7578125,610.0,242.625,680.0,,8,"her,"
67,242.625,610.0,263.328125,680.0,,8,a
68,263.328125,610.0,322.484375,680.0,,8,man
69,322.484375,610.0,363.859375,680.0,,8,sat
70,363.859375,610.0,421.3515625,680.0,,8,with
71,421.3515625,610.0,461.7265625,680.0,,8,his
72,461.7265625,610.0,527.1796875,680.0,,8,head
73,527.1796875,610.0,555.5859375,680.0,,8,in
74,555.5859375,610.0,595.9609375,680.0,,8,his
75,595.9609375,610.0,681.4453125,680.0,,8,"hands,"
76,681.4453125,610.0,721.78125,680.0,,8,his
77,721.78125,610.0,781.3984375,680.0,,8,dark
78,781.3984375,610.0,834.125,680.0,,8,hair
79,834.125,610.0,932.6875,680.0,,8,mussed
80,932.6875,610.0,984.2578125,680.0,,8,and
81,984.2578125,610.0,1027.65625,680.0,,8,his
82,43.59375,680.0,105.8203125,750.0,,9,eyes
83,105.8203125,680.0,251.796875,750.0,,9,red-rimmed
84,251.796875,680.0,316.1484375,750.0,,9,from
85,316.1484375,680.0,368.3125,750.0,,9,lack
86,368.3125,680.0,398.453125,750.0,,9,of
87,398.453125,680.0,473.421875,750.0,,9,sleep.
88,473.421875,680.0,513.0078125,750.0,,9,He
89,513.0078125,680.0,599.0234375,750.0,,9,looked
90,599.0234375,680.0,645.8671875,750.0,,9,like
91,645.8671875,680.0,701.125,750.0,,9,he'd
92,701.125,680.0,766.6796875,750.0,,9,been
93,766.6796875,680.0,803.796875,750.0,,9,up
94,803.796875,680.0,837.4453125,750.0,,9,all
95,837.4453125,680.0,912.203125,750.0,,9,"night,"
96,912.203125,680.0,963.3203125,750.0,,9,and
97,963.3203125,680.0,1050.875,750.0,,9,Rachel
98,43.5,750.0,147.7421875,820.0,,10,couldn't
99,147.7421875,750.0,205.578125,820.0,,10,help
100,205.578125,750.0,251.046875,820.0,,10,but
101,251.046875,750.0,301.5,820.0,,10,feel
102,301.5,750.0,322.203125,820.0,,10,a
103,322.203125,750.0,388.8125,820.0,,10,pang
104,388.8125,750.0,418.953125,820.0,,10,of
105,418.953125,750.0,539.5,820.0,,10,sympathy
106,539.5,750.0,580.9765625,820.0,,10,for
107,580.9765625,750.0,642.484375,820.0,,10,him.
