index,left,top,right,bottom,section,line,content
1666,50.25,76.5,66.25,94.5,,0,B
1667,66.703125,80.5,81.703125,94.5,,0,u
1668,81.734375,77.5,90.734375,94.5,,0,t
1669,90.234375,94.5,97.234375,94.5,,0, 
1670,97.265625,77.5,106.265625,94.5,,0,t
1671,106.71875,75.5,121.71875,94.5,,0,h
1672,121.8125,80.5,135.8125,94.5,,0,e
1673,136.265625,80.5,151.265625,94.5,,0,n
1674,150.765625,94.5,157.765625,94.5,,0, 
1675,157.4375,76.5,180.4375,94.5,,0,M
1676,180.46875,80.5,194.46875,94.5,,0,a
1677,194.6875,80.5,207.6875,94.5,,0,x
1678,207.1875,94.5,214.1875,94.5,,0, 
1679,214.5625,80.5,229.5625,100.5,,0,g
1680,229.890625,80.5,239.890625,94.5,,0,r
1681,240.34375,75.5,246.34375,94.5,,0,i
1682,246.796875,80.5,261.796875,94.5,,0,n
1683,262.25,80.5,277.25,94.5,,0,n
1684,277.34375,80.5,291.34375,94.5,,0,e
1685,291.71875,75.5,306.71875,94.5,,0,d
1686,306.21875,94.5,313.21875,94.5,,0, 
1687,313.59375,80.5,336.59375,94.5,,0,m
1688,337.046875,75.5,343.046875,94.5,,0,i
1689,343.015625,80.5,355.015625,94.5,,0,s
1690,355.015625,80.5,367.015625,94.5,,0,c
1691,367.46875,75.5,382.46875,94.5,,0,h
1692,382.921875,75.5,388.921875,94.5,,0,i
1693,389.015625,80.5,403.015625,94.5,,0,e
1694,402.21875,80.5,415.21875,94.5,,0,v
1695,415.34375,80.5,430.34375,94.5,,0,o
1696,430.796875,80.5,445.796875,94.5,,0,u
1697,445.765625,80.5,457.765625,94.5,,0,s
1698,458.21875,75.5,464.21875,94.5,,0,l
1699,463.96875,80.5,476.96875,100.5,,0,y
1700,475.671875,91.5,482.671875,94.5,,0,.
1701,482.171875,94.5,489.171875,94.5,,0, 
1702,489.375,76.5,499.375,94.5,,0,""""
1703,498.78125,76.5,513.78125,94.5,,0,Y
1704,512.65625,80.5,527.65625,94.5,,0,o
1705,528.109375,80.5,543.109375,94.5,,0,u
1706,542.609375,94.5,549.609375,94.5,,0, 
1707,548.953125,75.5,562.953125,94.5,,0,k
1708,563.40625,80.5,578.40625,94.5,,0,n
1709,578.53125,80.5,593.53125,94.5,,0,o
1710,592.6875,80.5,612.6875,94.5,,0,w
1711,612.1875,94.5,619.1875,94.5,,0, 
1712,618.84375,80.5,638.84375,94.5,,0,w
1713,639.296875,75.5,654.296875,94.5,,0,h
1714,654.328125,80.5,668.328125,94.5,,0,a
1715,668.359375,77.5,677.359375,94.5,,0,t
1716,677.203125,76.5,688.203125,94.5,,0,?
1717,687.703125,94.5,694.703125,94.5,,0, 
1718,695.171875,76.5,703.171875,94.5,,0,I
1719,702.671875,94.5,709.671875,94.5,,0, 
1720,710.125,75.5,725.125,94.5,,0,h
1721,725.15625,80.5,739.15625,94.5,,0,a
1722,738.859375,80.5,751.859375,94.5,,0,v
1723,751.953125,80.5,765.953125,94.5,,0,e
1724,765.453125,94.5,772.453125,94.5,,0, 
1725,772.484375,80.5,786.484375,94.5,,0,a
1726,786.9375,80.5,801.9375,94.5,,0,n
1727,801.4375,94.5,808.4375,94.5,,0, 
1728,808.890625,75.5,814.890625,94.5,,0,i
1729,815.265625,75.5,830.265625,94.5,,0,d
