index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,117.921875,80.5,137.921875,94.5,question,0,w
6,137.953125,80.5,151.953125,94.5,question,0,a
7,151.921875,80.5,163.921875,94.5,question,0,s
8,163.421875,94.5,170.421875,94.5,question,0, 
9,170.078125,80.5,190.078125,94.5,question,0,w
10,190.40625,80.5,200.40625,94.5,question,0,r
11,200.859375,75.5,206.859375,94.5,question,0,i
12,206.890625,77.5,215.890625,94.5,question,0,t
13,215.921875,77.5,224.921875,94.5,question,0,t
14,225.015625,80.5,239.015625,94.5,question,0,e
15,239.46875,80.5,254.46875,94.5,question,0,n
16,253.96875,94.5,260.96875,94.5,question,0, 
17,261.09375,80.5,276.09375,94.5,question,0,o
18,276.546875,80.5,291.546875,94.5,question,0,n
19,291.046875,94.5,298.046875,94.5,question,0, 
20,298.078125,77.5,307.078125,94.5,question,0,t
21,307.53125,75.5,322.53125,94.5,question,0,h
22,322.625,80.5,336.625,94.5,question,0,e
23,336.125,94.5,343.125,94.5,question,0, 
24,343.09375,80.5,355.09375,94.5,question,0,s
25,355.1875,80.5,369.1875,94.5,question,0,e
26,369.1875,80.5,381.1875,94.5,question,0,c
27,381.3125,80.5,396.3125,94.5,question,0,o
28,396.765625,80.5,411.765625,94.5,question,0,n
29,412.140625,75.5,427.140625,94.5,question,0,d
30,426.640625,94.5,433.640625,94.5,question,0, 
31,434.09375,80.5,449.09375,94.5,question,0,n
32,449.21875,80.5,464.21875,94.5,question,0,o
33,464.25,77.5,473.25,94.5,question,0,t
34,473.34375,80.5,487.34375,94.5,question,0,e
35,486.84375,94.5,493.84375,94.5,question,0, 
36,493.9375,76.5,506.9375,94.5,question,0,L
37,507.390625,75.5,513.390625,94.5,question,0,i
38,513.84375,75.5,519.84375,94.5,question,0,l
39,519.59375,80.5,532.59375,100.5,question,0,y
40,532.09375,94.5,539.09375,94.5,question,0, 
41,537.6875,75.5,547.6875,94.5,question,0,f
42,547.8125,80.5,562.8125,94.5,question,0,o
43,563.265625,80.5,578.265625,94.5,question,0,u
44,578.71875,80.5,593.71875,94.5,question,0,n
45,594.09375,75.5,609.09375,94.5,question,0,d
46,608.9375,76.5,619.9375,94.5,question,0,?
47,100.203125,216.5,110.203125,234.5,option:0,0,""""
48,110.609375,216.5,124.609375,234.5,option:0,0,T
49,125.0625,215.5,140.0625,234.5,option:0,0,h
50,140.09375,220.5,154.09375,234.5,option:0,0,a
51,154.546875,220.5,169.546875,234.5,option:0,0,n
52,168.890625,215.5,182.890625,234.5,option:0,0,k
53,182.390625,234.5,189.390625,234.5,option:0,0, 
54,189.140625,220.5,202.140625,240.5,option:0,0,y
55,202.265625,220.5,217.265625,234.5,option:0,0,o
56,217.71875,220.5,232.71875,234.5,option:0,0,u
57,232.21875,234.5,239.21875,234.5,option:0,0, 
58,237.8125,215.5,247.8125,234.5,option:0,0,f
59,247.9375,220.5,262.9375,234.5,option:0,0,o
60,263.265625,220.5,273.265625,234.5,option:0,0,r
61,272.765625,234.5,279.765625,234.5,option:0,0, 
62,280.140625,215.5,295.140625,234.5,option:0,0,b
63,295.234375,220.5,309.234375,234.5,option:0,0,e
64,309.6875,215.5,315.6875,234.5,option:0,0,l
65,316.140625,215.5,322.140625,234.5,option:0,0,i
66,322.234375,220.5,336.234375,234.5,option:0,0,e
67,335.4375,220.5,348.4375,234.5,option:0,0,v
68,348.890625,215.5,354.890625,234.5,option:0,0,i
69,355.34375,220.5,370.34375,234.5,option:0,0,n
70,370.71875,220.5,385.71875,240.5,option:0,0,g
71,385.21875,234.5,392.21875,234.5,option:0,0, 
72,392.671875,215.5,398.671875,234.5,option:0,0,i
73,399.125,220.5,414.125,234.5,option:0,0,n
74,413.625,234.5,420.625,234.5,option:0,0, 
75,421.0,220.5,444.0,234.5,option:0,0,m
76,444.03125,220.5,458.03125,234.5,option:0,0,a
77,458.40625,220.5,473.40625,240.5,option:0,0,g
78,473.859375,215.5,479.859375,234.5,option:0,0,i
79,479.859375,220.5,491.859375,234.5,option:0,0,c
80,491.5625,231.5,498.5625,234.5,option:0,0,.
81,498.765625,216.5,508.765625,234.5,option:0,0,""""
82,100.203125,286.5,110.203125,304.5,option:1,0,""""
83,110.609375,286.5,124.609375,304.5,option:1,0,T
84,122.640625,290.5,136.640625,304.5,option:1,0,a
85,135.984375,285.5,149.984375,304.5,option:1,0,k
86,150.078125,290.5,164.078125,304.5,option:1,0,e
87,163.578125,304.5,170.578125,304.5,option:1,0, 
88,170.953125,290.5,185.953125,310.5,option:1,0,g
89,186.078125,290.5,201.078125,304.5,option:1,0,o
90,201.203125,290.5,216.203125,304.5,option:1,0,o
91,216.578125,285.5,231.578125,304.5,option:1,0,d
92,231.078125,304.5,238.078125,304.5,option:1,0, 
