index,left,top,right,bottom,section,line,content
0,49.53125,76.5,69.53125,94.5,,0,O
1,69.984375,80.5,84.984375,94.5,,0,n
2,85.078125,80.5,99.078125,94.5,,0,e
3,98.578125,94.5,105.578125,94.5,,0, 
4,105.671875,76.5,118.671875,94.5,,0,L
5,118.703125,80.5,132.703125,94.5,,0,a
6,132.671875,80.5,144.671875,94.5,,0,s
7,144.703125,77.5,153.703125,94.5,,0,t
8,153.203125,94.5,160.203125,94.5,,0, 
9,160.453125,76.5,183.453125,94.5,,0,W
10,183.90625,75.5,189.90625,94.5,,0,i
11,189.875,80.5,201.875,94.5,,0,s
12,202.328125,75.5,217.328125,94.5,,0,h
13,49.96875,216.5,65.96875,234.5,,2,A
14,65.9375,220.5,77.9375,234.5,,2,s
15,77.4375,234.5,84.4375,234.5,,2, 
16,84.46875,217.5,93.46875,234.5,,2,t
17,93.921875,215.5,108.921875,234.5,,2,h
18,109.015625,220.5,123.015625,234.5,,2,e
19,122.515625,234.5,129.515625,234.5,,2, 
20,129.484375,220.5,141.484375,234.5,,2,s
21,141.9375,220.5,156.9375,234.5,,2,u
22,157.390625,220.5,172.390625,234.5,,2,n
23,171.890625,234.5,178.890625,234.5,,2, 
24,178.859375,220.5,190.859375,234.5,,2,s
25,190.953125,220.5,204.953125,234.5,,2,e
26,204.984375,217.5,213.984375,234.5,,2,t
27,213.484375,234.5,220.484375,234.5,,2, 
28,220.609375,220.5,235.609375,234.5,,2,o
29,236.0625,220.5,251.0625,234.5,,2,n
30,250.5625,234.5,257.5625,234.5,,2, 
31,257.59375,217.5,266.59375,234.5,,2,t
32,267.046875,215.5,282.046875,234.5,,2,h
33,282.140625,220.5,296.140625,234.5,,2,e
34,295.640625,234.5,302.640625,234.5,,2, 
35,302.609375,220.5,314.609375,234.5,,2,s
36,314.984375,220.5,337.984375,234.5,,2,m
37,338.015625,220.5,352.015625,234.5,,2,a
38,352.46875,215.5,358.46875,234.5,,2,l
39,358.921875,215.5,364.921875,234.5,,2,l
40,364.421875,234.5,371.421875,234.5,,2, 
41,371.453125,217.5,380.453125,234.5,,2,t
42,380.578125,220.5,395.578125,234.5,,2,o
43,394.734375,220.5,414.734375,234.5,,2,w
