index,left,top,right,bottom,section,line,content
0,43.03125,50,102.375,120.0,,0,One
1,102.375,50,157.078125,120.0,,0,Last
2,157.078125,50,223.828125,120.0,,0,Wish
3,43.46875,190.0,81.203125,260.0,,2,As
4,81.203125,190.0,126.25,260.0,,2,the
5,126.25,190.0,175.625,260.0,,2,sun
6,175.625,190.0,217.296875,260.0,,2,set
7,217.296875,190.0,254.328125,260.0,,2,on
8,254.328125,190.0,299.375,260.0,,2,the
9,299.375,190.0,368.1875,260.0,,2,small
10,368.1875,190.0,433.5,260.0,,2,town
11,433.5,190.0,463.78125,260.0,,2,of
12,463.78125,190.0,546.9453125,260.0,,2,Willow
13,546.9453125,190.0,627.421875,260.0,,2,"Creek,"
14,627.421875,190.0,647.8125,260.0,,2,a
15,647.8125,190.0,728.78125,260.0,,2,young
16,728.78125,190.0,773.9296875,260.0,,2,girl
17,773.9296875,190.0,862.578125,260.0,,2,named
18,862.578125,190.0,907.765625,260.0,,2,Lily
19,907.765625,190.0,949.5,260.0,,2,sat
20,949.5,190.0,983.453125,260.0,,2,by
21,983.453125,190.0,1031.765625,260.0,,2,the
22,43.59375,260.0,112.25,330.0,,3,edge
23,112.25,260.0,142.6328125,330.0,,3,of
24,142.6328125,260.0,188.96875,330.0,,3,her
25,188.96875,260.0,247.0546875,330.0,,3,"bed,"
26,247.0546875,260.0,293.25,330.0,,3,her
27,293.25,260.0,351.40625,330.0,,3,eyes
28,351.40625,260.0,415.90625,330.0,,3,fixed
29,415.90625,260.0,452.9375,330.0,,3,on
30,452.9375,260.0,497.984375,330.0,,3,the
31,497.984375,260.0,566.796875,330.0,,3,small
32,566.796875,260.0,625.3671875,330.0,,3,tank
33,625.3671875,260.0,653.5625,330.0,,3,in
34,653.5625,260.0,698.625,330.0,,3,the
35,698.625,260.0,782.515625,330.0,,3,corner
36,782.515625,260.0,812.8984375,330.0,,3,of
37,812.8984375,260.0,859.2109375,330.0,,3,her
38,859.2109375,260.0,935.46875,330.0,,3,room.
39,935.46875,260.0,985.34375,330.0,,3,Her
40,985.34375,260.0,1033.40625,330.0,,3,pet
41,43.875,330.0,154.734375,400.0,,4,"goldfish,"
42,154.734375,330.0,234.8515625,400.0,,4,"Finley,"
43,234.8515625,330.0,286.171875,400.0,,4,had
44,286.171875,330.0,351.6875,400.0,,4,been
45,351.6875,330.0,385.8515625,400.0,,4,by
46,385.8515625,330.0,431.984375,400.0,,4,her
47,431.984375,330.0,485.6875,400.0,,4,side
48,485.6875,330.0,526.953125,400.0,,4,for
49,526.953125,330.0,559.6640625,400.0,,4,as
50,559.6640625,330.0,618.359375,400.0,,4,long
51,618.359375,330.0,650.828125,400.0,,4,as
52,650.828125,330.0,698.859375,400.0,,4,she
53,698.859375,330.0,769.9296875,400.0,,4,could
54,769.9296875,330.0,903.296875,400.0,,4,remember.
55,903.296875,330.0,942.484375,400.0,,4,He
56,942.484375,330.0,998.0625,400.0,,4,was
57,43.875,400.0,115.6875,470.0,,5,more
58,115.6875,400.0,176.3671875,470.0,,5,than
59,176.3671875,400.0,225.5625,470.0,,5,just
60,225.5625,400.0,246.265625,470.0,,5,a
61,246.265625,400.0,291.1015625,470.0,,5,pet
62,291.1015625,400.0,305.8515625,470.0,,5,-
63,305.8515625,400.0,341.5,470.0,,5,he
64,341.5,400.0,394.0546875,470.0,,5,was
65,394.0546875,400.0,440.390625,470.0,,5,her
66,440.390625,400.0,496.46875,470.0,,5,best
67,496.46875,400.0,583.921875,470.0,,5,friend.
68,43.46875,540.0,81.203125,610.0,,7,As
69,81.203125,540.0,126.453125,610.0,,7,the
70,126.453125,540.0,186.71875,610.0,,7,days
71,186.71875,540.0,251.8125,610.0,,7,went
72,251.8125,540.0,291.5,610.0,,7,"by,"
73,291.5,540.0,336.9296875,610.0,,7,Lily
74,336.9296875,540.0,430.75,610.0,,7,noticed
75,430.75,540.0,484.765625,610.0,,7,that
76,484.765625,540.0,558.78125,610.0,,7,Finley
77,558.78125,540.0,640.953125,610.0,,7,wasn't
