index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.59375,80.5,128.59375,94.5,question,0,r
6,128.21875,80.5,143.21875,94.5,question,0,o
7,143.671875,75.5,149.671875,94.5,question,0,l
8,149.765625,80.5,163.765625,94.5,question,0,e
9,163.265625,94.5,170.265625,94.5,question,0, 
10,170.640625,75.5,185.640625,94.5,question,0,d
11,185.765625,80.5,200.765625,94.5,question,0,o
12,200.859375,80.5,214.859375,94.5,question,0,e
13,214.828125,80.5,226.828125,94.5,question,0,s
14,226.328125,94.5,233.328125,94.5,question,0, 
15,233.296875,76.5,246.296875,94.5,question,0,F
16,246.75,75.5,252.75,94.5,question,0,i
17,253.203125,80.5,268.203125,94.5,question,0,n
18,268.65625,75.5,274.65625,94.5,question,0,l
19,274.75,80.5,288.75,94.5,question,0,e
20,288.0,80.5,301.0,100.5,question,0,y
21,300.5,94.5,307.5,94.5,question,0, 
22,307.53125,77.5,316.53125,94.5,question,0,t
23,316.984375,75.5,331.984375,94.5,question,0,h
24,332.078125,80.5,346.078125,94.5,question,0,e
25,345.578125,94.5,352.578125,94.5,question,0, 
26,352.953125,80.5,367.953125,100.5,question,0,g
27,368.078125,80.5,383.078125,94.5,question,0,o
28,383.53125,75.5,389.53125,94.5,question,0,l
29,389.90625,75.5,404.90625,94.5,question,0,d
30,403.5,75.5,413.5,94.5,question,0,f
31,413.953125,75.5,419.953125,94.5,question,0,i
32,419.921875,80.5,431.921875,94.5,question,0,s
33,432.375,75.5,447.375,94.5,question,0,h
34,446.875,94.5,453.875,94.5,question,0, 
35,453.84375,80.5,465.84375,94.5,question,0,s
36,465.9375,80.5,479.9375,94.5,question,0,e
37,480.03125,80.5,494.03125,94.5,question,0,e
38,494.40625,80.5,517.40625,94.5,question,0,m
39,516.90625,94.5,523.90625,94.5,question,0, 
40,523.9375,77.5,532.9375,94.5,question,0,t
41,533.0625,80.5,548.0625,94.5,question,0,o
42,547.5625,94.5,554.5625,94.5,question,0, 
43,554.9375,80.5,569.9375,100.5,question,0,p
44,570.390625,75.5,576.390625,94.5,question,0,l
45,576.421875,80.5,590.421875,94.5,question,0,a
46,590.171875,80.5,603.171875,100.5,question,0,y
47,602.671875,94.5,609.671875,94.5,question,0, 
48,610.125,75.5,616.125,94.5,question,0,i
49,616.578125,80.5,631.578125,94.5,question,0,n
50,631.078125,94.5,638.078125,94.5,question,0, 
51,638.109375,77.5,647.109375,94.5,question,0,t
52,647.5625,75.5,662.5625,94.5,question,0,h
53,662.65625,80.5,676.65625,94.5,question,0,e
54,676.15625,94.5,683.15625,94.5,question,0, 
55,683.125,80.5,695.125,94.5,question,0,s
56,695.15625,77.5,704.15625,94.5,question,0,t
57,704.28125,80.5,719.28125,94.5,question,0,o
58,719.609375,80.5,729.609375,94.5,question,0,r
59,729.359375,80.5,742.359375,100.5,question,0,y
60,742.703125,76.5,753.703125,94.5,question,0,?
61,99.53125,216.5,118.53125,234.5,option:0,0,H
62,118.625,220.5,132.625,234.5,option:0,0,e
63,132.125,234.5,139.125,234.5,option:0,0, 
64,138.46875,215.5,152.46875,234.5,option:0,0,k
65,152.5625,220.5,166.5625,234.5,option:0,0,e
66,166.65625,220.5,180.65625,234.5,option:0,0,e
67,181.03125,220.5,196.03125,240.5,option:0,0,p
68,196.0,220.5,208.0,234.5,option:0,0,s
69,207.5,234.5,214.5,234.5,option:0,0, 
70,214.40625,216.5,228.40625,234.5,option:0,0,E
71,228.78125,220.5,251.78125,234.5,option:0,0,m
72,252.15625,220.5,275.15625,234.5,option:0,0,m
73,275.1875,220.5,289.1875,234.5,option:0,0,a
74,288.6875,234.5,295.6875,234.5,option:0,0, 
75,295.6875,220.5,307.6875,234.5,option:0,0,c
76,307.8125,220.5,322.8125,234.5,option:0,0,o
77,323.1875,220.5,346.1875,234.5,option:0,0,m
78,346.5625,220.5,361.5625,240.5,option:0,0,p
79,361.59375,220.5,375.59375,234.5,option:0,0,a
80,376.046875,220.5,391.046875,234.5,option:0,0,n
81,390.796875,220.5,403.796875,240.5,option:0,0,y
82,402.5,231.5,409.5,234.5,option:0,0,.
83,99.53125,286.5,118.53125,304.5,option:1,0,H
84,118.625,290.5,132.625,304.5,option:1,0,e
85,132.125,304.5,139.125,304.5,option:1,0, 
86,139.5,290.5,154.5,310.5,option:1,0,g
87,154.828125,290.5,164.828125,304.5,option:1,0,r
88,164.359375,290.5,178.359375,304.5,option:1,0,a
89,178.8125,290.5,193.8125,304.5,option:1,0,n
90,193.84375,287.5,202.84375,304.5,option:1,0,t
91,202.8125,290.5,214.8125,304.5,option:1,0,s
92,214.3125,304.5,221.3125,304.5,option:1,0, 
93,221.28125,290.5,233.28125,304.5,option:1,0,s
94,233.65625,290.5,256.65625,304.5,option:1,0,m
