index,left,top,right,bottom,section,line,content
0,49.53125,76.5,69.53125,94.5,,0,O
1,69.984375,80.5,84.984375,94.5,,0,n
2,85.078125,80.5,99.078125,94.5,,0,e
3,98.578125,94.5,105.578125,94.5,,0, 
4,105.671875,76.5,118.671875,94.5,,0,L
5,118.703125,80.5,132.703125,94.5,,0,a
6,132.671875,80.5,144.671875,94.5,,0,s
7,144.703125,77.5,153.703125,94.5,,0,t
8,153.203125,94.5,160.203125,94.5,,0, 
9,160.453125,76.5,183.453125,94.5,,0,W
10,183.90625,75.5,189.90625,94.5,,0,i
11,189.875,80.5,201.875,94.5,,0,s
12,202.328125,75.5,217.328125,94.5,,0,h
13,49.90625,216.5,63.90625,234.5,,2,E
14,64.28125,220.5,87.28125,234.5,,2,m
15,87.65625,220.5,110.65625,234.5,,2,m
16,110.6875,220.5,124.6875,234.5,,2,a
17,124.1875,234.5,131.1875,234.5,,2, 
18,131.15625,220.5,143.15625,234.5,,2,s
19,143.1875,220.5,157.1875,234.5,,2,a
20,157.21875,217.5,166.21875,234.5,,2,t
21,165.71875,234.5,172.71875,234.5,,2, 
22,173.09375,215.5,188.09375,234.5,,2,b
23,188.1875,220.5,202.1875,234.5,,2,e
24,202.15625,220.5,214.15625,234.5,,2,s
25,214.609375,215.5,220.609375,234.5,,2,i
26,220.984375,215.5,235.984375,234.5,,2,d
27,236.078125,220.5,250.078125,234.5,,2,e
28,249.578125,234.5,256.578125,234.5,,2, 
29,257.03125,215.5,272.03125,234.5,,2,h
30,272.125,220.5,286.125,234.5,,2,e
31,286.453125,220.5,296.453125,234.5,,2,r
32,295.953125,234.5,302.953125,234.5,,2, 
33,303.328125,220.5,318.328125,240.5,,2,g
34,318.65625,220.5,328.65625,234.5,,2,r
35,328.1875,220.5,342.1875,234.5,,2,a
36,342.640625,220.5,357.640625,234.5,,2,n
37,358.015625,215.5,373.015625,234.5,,2,d
38,373.390625,220.5,396.390625,234.5,,2,m
39,396.515625,220.5,411.515625,234.5,,2,o
40,411.546875,217.5,420.546875,234.5,,2,t
41,421.0,215.5,436.0,234.5,,2,h
42,436.09375,220.5,450.09375,234.5,,2,e
43,450.421875,220.5,460.421875,234.5,,2,r
