index,left,top,right,bottom,section,line,content
221,43.40625,50,96.9296875,120.0,,0,The
222,96.9296875,50,154.6875,120.0,,0,next
223,154.6875,50,269.21875,120.0,,0,"morning,"
224,269.21875,50,350.6171875,120.0,,0,Emma
225,350.6171875,50,439.8125,120.0,,0,rushed
226,439.8125,50,581.703125,120.0,,0,"downstairs,"
227,581.703125,50,655.875,120.0,,0,Finley
228,655.875,50,730.328125,120.0,,0,safely
229,730.328125,50,862.5703125,120.0,,0,ensconced
230,862.5703125,50,890.9765625,120.0,,0,in
231,890.9765625,50,931.125,120.0,,0,his
232,931.125,50,1055.546875,120.0,,0,container.
233,43.46875,120.0,81.171875,190.0,,1,As
234,81.171875,120.0,129.25,190.0,,1,she
235,129.25,120.0,227.6875,190.0,,1,entered
236,227.6875,120.0,272.421875,190.0,,1,the
237,272.421875,120.0,371.796875,190.0,,1,"kitchen,"
238,371.796875,120.0,417.0859375,190.0,,1,the
239,417.0859375,120.0,582.40625,190.0,,1,unmistakable
240,582.40625,120.0,651.53125,190.0,,1,scent
241,651.53125,120.0,681.875,190.0,,1,of
242,681.875,120.0,798.3125,190.0,,1,pancakes
243,798.3125,120.0,885.78125,190.0,,1,wafted
244,885.78125,120.0,988.0,190.0,,1,through
245,988.0,120.0,1036.3125,190.0,,1,the
246,43.53125,190.0,86.71875,260.0,,2,air.
247,86.71875,190.0,184.53125,260.0,,2,Emma's
248,184.53125,190.0,292.21875,260.0,,2,stomach
249,292.21875,190.0,394.1640625,260.0,,2,growled
250,394.1640625,190.0,422.359375,260.0,,2,in
251,422.359375,190.0,574.203125,260.0,,2,anticipation.
252,574.203125,190.0,624.078125,260.0,,2,Her
253,624.078125,190.0,720.6875,260.0,,2,"mother,"
254,720.6875,190.0,782.734375,260.0,,2,busy
255,782.734375,190.0,905.546875,260.0,,2,preparing
256,905.546875,190.0,1032.109375,260.0,,2,"breakfast,"
257,43.46875,260.0,130.640625,330.0,,3,smiled
258,130.640625,260.0,265.984375,330.0,,3,knowingly.
259,43.703125,400.0,127.46875,470.0,,5,"""Good"
260,127.46875,400.0,242.03125,470.0,,5,"morning,"
261,242.03125,400.0,354.828125,470.0,,5,"sweetie,"""
262,354.828125,400.0,402.84375,470.0,,5,she
263,402.84375,400.0,464.078125,470.0,,5,"said,"
264,464.078125,400.0,597.46875,470.0,,5,presenting
265,597.46875,400.0,678.53125,470.0,,5,Emma
266,678.53125,400.0,735.8125,470.0,,5,with
267,735.8125,400.0,756.3125,470.0,,5,a
268,756.3125,400.0,872.796875,470.0,,5,steaming
269,872.796875,400.0,938.15625,470.0,,5,plate
270,938.15625,400.0,967.609375,470.0,,5,of
271,967.609375,400.0,1038.515625,470.0,,5,fluffy
272,43.875,470.0,170.4375,540.0,,6,"pancakes,"
273,170.4375,470.0,258.609375,540.0,,6,golden
274,258.609375,470.0,331.1875,540.0,,6,syrup
275,331.1875,470.0,429.09375,540.0,,6,drizzled
276,429.09375,470.0,510.515625,540.0,,6,across
277,510.515625,470.0,555.59375,540.0,,6,the
278,555.59375,470.0,611.5625,540.0,,6,top.
279,43.40625,610.0,144.578125,680.0,,8,Emma's
280,144.578125,610.0,203.265625,680.0,,8,eyes
281,203.265625,610.0,310.6640625,680.0,,8,widened
282,310.6640625,610.0,338.859375,680.0,,8,in
283,338.859375,610.0,399.9296875,680.0,,8,awe.
284,399.9296875,610.0,543.25,680.0,,8,"""Grandma's"
285,543.25,610.0,629.6796875,680.0,,8,wishes
286,629.6796875,610.0,699.453125,680.0,,8,really
287,699.453125,610.0,814.21875,680.0,,8,"worked!"""
288,43.328125,750.0,96.546875,820.0,,10,Just
289,96.546875,750.0,163.78125,820.0,,10,"then,"
290,163.78125,750.0,209.0703125,820.0,,10,the
291,209.0703125,750.0,309.3984375,820.0,,10,hospital
292,309.3984375,750.0,396.0078125,820.0,,10,room's
293,396.0078125,750.0,507.640625,820.0,,10,intercom
294,507.640625,750.0,611.28125,820.0,,10,crackled
295,611.28125,750.0,642.1484375,820.0,,10,to
296,642.1484375,750.0,690.703125,820.0,,10,life.
297,690.703125,750.0,713.1875,820.0,,10,A
298,713.1875,750.0,816.0078125,820.0,,10,cheerful
299,816.0078125,750.0,883.046875,820.0,,10,voice
300,883.046875,750.0,1031.921875,820.0,,10,"announced,"
