index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.71875,75.5,133.71875,94.5,question,0,h
6,133.75,80.5,147.75,94.5,question,0,a
7,148.125,80.5,163.125,100.5,question,0,p
8,163.5,80.5,178.5,100.5,question,0,p
9,178.59375,80.5,192.59375,94.5,question,0,e
10,193.046875,80.5,208.046875,94.5,question,0,n
11,208.140625,80.5,222.140625,94.5,question,0,e
12,222.515625,75.5,237.515625,94.5,question,0,d
13,237.015625,94.5,244.015625,94.5,question,0, 
14,243.671875,80.5,263.671875,94.5,question,0,w
15,264.125,75.5,279.125,94.5,question,0,h
16,279.21875,80.5,293.21875,94.5,question,0,e
17,293.671875,80.5,308.671875,94.5,question,0,n
18,308.171875,94.5,315.171875,94.5,question,0, 
19,315.078125,76.5,329.078125,94.5,question,0,E
20,329.453125,80.5,352.453125,94.5,question,0,m
21,352.828125,80.5,375.828125,94.5,question,0,m
22,375.859375,80.5,389.859375,94.5,question,0,a
23,389.359375,94.5,396.359375,94.5,question,0, 
24,396.734375,80.5,419.734375,94.5,question,0,m
25,419.765625,80.5,433.765625,94.5,question,0,a
26,434.140625,75.5,449.140625,94.5,question,0,d
27,449.234375,80.5,463.234375,94.5,question,0,e
28,462.734375,94.5,469.734375,94.5,question,0, 
29,469.390625,80.5,489.390625,94.5,question,0,w
30,489.84375,75.5,495.84375,94.5,question,0,i
31,495.8125,80.5,507.8125,94.5,question,0,s
32,508.265625,75.5,523.265625,94.5,question,0,h
33,523.359375,80.5,537.359375,94.5,question,0,e
34,537.328125,80.5,549.328125,94.5,question,0,s
35,548.828125,94.5,555.828125,94.5,question,0, 
36,555.859375,80.5,569.859375,94.5,question,0,a
37,568.453125,75.5,578.453125,94.5,question,0,f
38,578.484375,77.5,587.484375,94.5,question,0,t
39,587.578125,80.5,601.578125,94.5,question,0,e
40,601.90625,80.5,611.90625,94.5,question,0,r
41,611.40625,94.5,618.40625,94.5,question,0, 
42,618.375,76.5,631.375,94.5,question,0,F
43,631.828125,75.5,637.828125,94.5,question,0,i
44,638.28125,80.5,653.28125,94.5,question,0,n
45,653.734375,75.5,659.734375,94.5,question,0,l
46,659.828125,80.5,673.828125,94.5,question,0,e
47,673.078125,80.5,686.078125,100.5,question,0,y
48,685.578125,94.5,692.578125,94.5,question,0, 
49,692.578125,80.5,704.578125,94.5,question,0,c
50,704.609375,80.5,718.609375,94.5,question,0,a
51,718.984375,80.5,741.984375,94.5,question,0,m
52,742.078125,80.5,756.078125,94.5,question,0,e
53,755.578125,94.5,762.578125,94.5,question,0, 
54,762.953125,75.5,777.953125,94.5,question,0,b
55,777.984375,80.5,791.984375,94.5,question,0,a
56,791.984375,80.5,803.984375,94.5,question,0,c
57,803.328125,75.5,817.328125,94.5,question,0,k
58,816.828125,94.5,823.828125,94.5,question,0, 
59,823.859375,77.5,832.859375,94.5,question,0,t
60,832.984375,80.5,847.984375,94.5,question,0,o
61,847.484375,94.5,854.484375,94.5,question,0, 
62,854.9375,75.5,860.9375,94.5,question,0,l
63,861.390625,75.5,867.390625,94.5,question,0,i
64,865.984375,75.5,875.984375,94.5,question,0,f
65,876.078125,80.5,890.078125,94.5,question,0,e
66,889.921875,76.5,900.921875,94.5,question,0,?
67,99.96875,216.5,112.96875,234.5,option:0,0,F
68,113.421875,215.5,119.421875,234.5,option:0,0,i
69,119.875,220.5,134.875,234.5,option:0,0,n
70,135.328125,215.5,141.328125,234.5,option:0,0,l
71,141.421875,220.5,155.421875,234.5,option:0,0,e
72,154.671875,220.5,167.671875,240.5,option:0,0,y
73,167.171875,234.5,174.171875,234.5,option:0,0, 
74,173.828125,220.5,193.828125,234.5,option:0,0,w
75,193.953125,220.5,208.953125,234.5,option:0,0,o
76,209.40625,220.5,224.40625,234.5,option:0,0,u
77,224.859375,215.5,230.859375,234.5,option:0,0,l
78,231.234375,215.5,246.234375,234.5,option:0,0,d
79,245.734375,234.5,252.734375,234.5,option:0,0, 
80,253.109375,220.5,268.109375,240.5,option:0,0,g
81,268.4375,220.5,278.4375,234.5,option:0,0,r
82,278.0625,220.5,293.0625,234.5,option:0,0,o
83,292.21875,220.5,312.21875,234.5,option:0,0,w
84,311.71875,234.5,318.71875,234.5,option:0,0, 
85,319.171875,215.5,325.171875,234.5,option:0,0,l
86,325.203125,220.5,339.203125,234.5,option:0,0,a
87,339.53125,220.5,349.53125,234.5,option:0,0,r
88,349.65625,220.5,364.65625,240.5,option:0,0,g
89,364.75,220.5,378.75,234.5,option:0,0,e
90,379.078125,220.5,389.078125,234.5,option:0,0,r
91,384.78125,231.5,391.78125,234.5,option:0,0,.
92,99.90625,286.5,113.90625,304.5,option:1,0,E
93,114.28125,290.5,137.28125,304.5,option:1,0,m
94,137.65625,290.5,160.65625,304.5,option:1,0,m
