index,left,top,right,bottom,section,line,content
2576,49.65625,80.5,69.65625,94.5,,0,w
2577,69.6875,80.5,83.6875,94.5,,0,a
2578,83.65625,80.5,95.65625,94.5,,0,s
2579,95.15625,94.5,102.15625,94.5,,0, 
2580,102.53125,75.5,117.53125,94.5,,0,d
2581,117.984375,75.5,123.984375,94.5,,0,i
2582,122.578125,75.5,132.578125,94.5,,0,f
2583,131.1875,75.5,141.1875,94.5,,0,f
2584,141.28125,80.5,155.28125,94.5,,0,e
2585,155.609375,80.5,165.609375,94.5,,0,r
2586,165.203125,80.5,179.203125,94.5,,0,e
2587,179.65625,80.5,194.65625,94.5,,0,n
2588,194.6875,77.5,203.6875,94.5,,0,t
2589,203.390625,91.5,210.390625,94.5,,0,.
2590,209.890625,94.5,216.890625,94.5,,0, 
2591,216.421875,76.5,235.421875,94.5,,0,H
2592,235.515625,80.5,249.515625,94.5,,0,e
2593,249.015625,94.5,256.015625,94.5,,0, 
2594,255.671875,80.5,275.671875,94.5,,0,w
2595,275.703125,80.5,289.703125,94.5,,0,a
2596,289.671875,80.5,301.671875,94.5,,0,s
2597,301.171875,94.5,308.171875,94.5,,0, 
2598,308.625,80.5,323.625,94.5,,0,n
2599,323.75,80.5,338.75,94.5,,0,o
2600,338.25,94.5,345.25,94.5,,0, 
2601,345.703125,75.5,351.703125,94.5,,0,l
2602,351.828125,80.5,366.828125,94.5,,0,o
2603,367.28125,80.5,382.28125,94.5,,0,n
2604,382.65625,80.5,397.65625,100.5,,0,g
2605,397.75,80.5,411.75,94.5,,0,e
2606,412.078125,80.5,422.078125,94.5,,0,r
2607,421.578125,94.5,428.578125,94.5,,0, 
2608,429.03125,75.5,435.03125,100.5,,0,j
2609,435.484375,80.5,450.484375,94.5,,0,u
2610,450.453125,80.5,462.453125,94.5,,0,s
2611,462.484375,77.5,471.484375,94.5,,0,t
2612,470.984375,94.5,477.984375,94.5,,0, 
2613,478.015625,80.5,492.015625,94.5,,0,a
2614,491.515625,94.5,498.515625,94.5,,0, 
2615,498.890625,80.5,513.890625,100.5,,0,p
2616,513.984375,80.5,527.984375,94.5,,0,e
2617,528.015625,77.5,537.015625,94.5,,0,t
2618,536.515625,94.5,543.515625,94.5,,0, 
2619,543.5625,86.5,551.5625,94.5,,0,-
2620,551.0625,94.5,558.0625,94.5,,0, 
2621,558.515625,75.5,573.515625,94.5,,0,h
2622,573.609375,80.5,587.609375,94.5,,0,e
2623,587.109375,94.5,594.109375,94.5,,0, 
2624,593.765625,80.5,613.765625,94.5,,0,w
2625,613.796875,80.5,627.796875,94.5,,0,a
2626,627.765625,80.5,639.765625,94.5,,0,s
2627,639.265625,94.5,646.265625,94.5,,0, 
2628,646.296875,80.5,660.296875,94.5,,0,a
2629,659.796875,94.5,666.796875,94.5,,0, 
2630,667.171875,80.5,682.171875,100.5,,0,p
2631,682.203125,80.5,696.203125,94.5,,0,a
2632,696.53125,80.5,706.53125,94.5,,0,r
2633,706.5625,77.5,715.5625,94.5,,0,t
2634,715.0625,94.5,722.0625,94.5,,0, 
2635,722.1875,80.5,737.1875,94.5,,0,o
2636,735.78125,75.5,745.78125,94.5,,0,f
2637,745.28125,94.5,752.28125,94.5,,0, 
2638,752.734375,75.5,767.734375,94.5,,0,h
2639,767.828125,80.5,781.828125,94.5,,0,e
2640,782.15625,80.5,792.15625,94.5,,0,r
2641,787.859375,91.5,794.859375,94.5,,0,.
2642,49.96875,216.5,62.96875,234.5,,2,F
2643,63.296875,220.5,73.296875,234.5,,2,r
2644,72.921875,220.5,87.921875,234.5,,2,o
2645,88.296875,220.5,111.296875,234.5,,2,m
2646,110.796875,234.5,117.796875,234.5,,2, 
2647,117.828125,217.5,126.828125,234.5,,2,t
2648,127.28125,215.5,142.28125,234.5,,2,h
2649,142.3125,220.5,156.3125,234.5,,2,a
2650,156.34375,217.5,165.34375,234.5,,2,t
2651,164.84375,234.5,171.84375,234.5,,2, 
2652,172.21875,215.5,187.21875,234.5,,2,d
2653,187.25,220.5,201.25,234.5,,2,a
2654,201.0,220.5,214.0,240.5,,2,y
2655,213.5,234.5,220.5,234.5,,2, 
2656,220.625,220.5,235.625,234.5,,2,o
2657,236.078125,220.5,251.078125,234.5,,2,n
2658,250.78125,231.5,257.78125,237.5,,2,","
2659,257.28125,234.5,264.28125,234.5,,2, 
2660,264.1875,216.5,278.1875,234.5,,2,E
2661,278.5625,220.5,301.5625,234.5,,2,m
2662,301.9375,220.5,324.9375,234.5,,2,m
