index,left,top,right,bottom,section,line,content
504,43.15625,50,99.09375,120.0,,0,was
505,99.09375,50,213.40625,120.0,,0,different.
506,213.40625,50,252.59375,120.0,,0,He
507,252.59375,50,305.1484375,120.0,,0,was
508,305.1484375,50,342.2265625,120.0,,0,no
509,342.2265625,50,425.5546875,120.0,,0,longer
510,425.5546875,50,474.75,120.0,,0,just
511,474.75,50,495.453125,120.0,,0,a
512,495.453125,50,540.2890625,120.0,,0,pet
513,540.2890625,50,555.0390625,120.0,,0,-
514,555.0390625,50,590.6875,120.0,,0,he
515,590.6875,50,643.03125,120.0,,0,was
516,643.03125,50,663.734375,120.0,,0,a
517,663.734375,50,718.875,120.0,,0,part
518,718.875,50,749.2578125,120.0,,0,of
519,749.2578125,50,801.359375,120.0,,0,her.
520,43.46875,190.0,114.5625,260.0,,2,From
521,114.5625,190.0,168.78125,260.0,,2,that
522,168.78125,190.0,217.3125,260.0,,2,day
523,217.3125,190.0,260.984375,260.0,,2,"on,"
524,260.984375,190.0,342.234375,260.0,,2,Emma
525,342.234375,190.0,393.5625,260.0,,2,and
526,393.5625,190.0,467.578125,260.0,,2,Finley
527,467.578125,190.0,532.1484375,260.0,,2,were
528,532.1484375,190.0,682.234375,260.0,,2,inseparable.
529,682.234375,190.0,744.3125,260.0,,2,They
530,744.3125,190.0,809.28125,260.0,,2,went
531,809.28125,190.0,846.3125,260.0,,2,on
532,846.3125,190.0,988.078125,260.0,,2,adventures
533,43.53125,260.0,158.53125,330.0,,3,"together,"
534,158.53125,260.0,268.0625,330.0,,3,explored
535,268.0625,260.0,312.953125,330.0,,3,the
536,312.953125,260.0,393.28125,330.0,,3,"world,"
537,393.28125,260.0,444.8515625,330.0,,3,and
538,444.8515625,260.0,506.21875,330.0,,3,lived
539,506.21875,260.0,526.9609375,330.0,,3,a
540,526.9609375,260.0,568.125,330.0,,3,life
541,568.125,260.0,632.578125,330.0,,3,filled
542,632.578125,260.0,689.671875,330.0,,3,with
543,689.671875,260.0,786.390625,330.0,,3,wonder
544,786.390625,260.0,837.921875,330.0,,3,and
545,837.921875,260.0,922.15625,330.0,,3,magic.
546,922.15625,260.0,978.71875,330.0,,3,And
547,43.40625,330.0,127.609375,400.0,,4,Emma
548,127.609375,330.0,196.5,400.0,,4,knew
549,196.5,330.0,250.515625,400.0,,4,that
550,250.515625,330.0,298.375,400.0,,4,she
551,298.375,330.0,377.3359375,400.0,,4,would
552,377.3359375,330.0,450.0078125,400.0,,4,never
553,450.0078125,330.0,485.84375,400.0,,4,let
554,485.84375,330.0,560.21875,400.0,,4,Finley
555,560.21875,330.0,597.046875,400.0,,4,go
556,597.046875,330.0,678.828125,400.0,,4,again.
