index,left,top,right,bottom,section,line,content
0,49.90625,76.5,63.90625,94.5,,0,T
1,64.359375,75.5,79.359375,94.5,,0,h
2,79.453125,80.5,93.453125,94.5,,0,e
3,92.953125,94.5,99.953125,94.5,,0, 
4,100.203125,76.5,123.203125,94.5,,0,W
5,123.28125,80.5,133.28125,94.5,,0,r
6,132.90625,80.5,147.90625,94.5,,0,o
7,148.359375,80.5,163.359375,94.5,,0,n
8,163.734375,80.5,178.734375,100.5,,0,g
9,178.234375,94.5,185.234375,94.5,,0, 
10,185.484375,76.5,203.484375,94.5,,0,D
11,203.609375,80.5,218.609375,94.5,,0,o
12,218.734375,80.5,233.734375,94.5,,0,o
13,234.0625,80.5,244.0625,94.5,,0,r
14,49.90625,216.5,63.90625,234.5,,2,T
15,64.359375,215.5,79.359375,234.5,,2,h
16,79.453125,220.5,93.453125,234.5,,2,e
17,92.953125,234.5,99.953125,234.5,,2, 
18,98.546875,215.5,108.546875,234.5,,2,f
19,109.0,215.5,115.0,234.5,,2,l
20,115.453125,220.5,130.453125,234.5,,2,u
21,130.578125,220.5,145.578125,234.5,,2,o
22,145.90625,220.5,155.90625,234.5,,2,r
23,155.5,220.5,169.5,234.5,,2,e
24,169.46875,220.5,181.46875,234.5,,2,s
25,181.46875,220.5,193.46875,234.5,,2,c
26,193.5625,220.5,207.5625,234.5,,2,e
27,208.015625,220.5,223.015625,234.5,,2,n
28,223.046875,217.5,232.046875,234.5,,2,t
29,231.546875,234.5,238.546875,234.5,,2, 
30,239.0,215.5,245.0,234.5,,2,l
31,245.453125,215.5,251.453125,234.5,,2,i
32,251.828125,220.5,266.828125,240.5,,2,g
33,267.28125,215.5,282.28125,234.5,,2,h
34,282.3125,217.5,291.3125,234.5,,2,t
35,291.28125,220.5,303.28125,234.5,,2,s
36,302.78125,234.5,309.78125,234.5,,2, 
37,310.234375,215.5,325.234375,234.5,,2,h
38,325.6875,220.5,340.6875,234.5,,2,u
39,341.0625,220.5,364.0625,234.5,,2,m
40,364.4375,220.5,387.4375,234.5,,2,m
41,387.53125,220.5,401.53125,234.5,,2,e
42,401.90625,215.5,416.90625,234.5,,2,d
43,416.40625,234.5,423.40625,234.5,,2, 
44,423.53125,220.5,438.53125,234.5,,2,o
45,437.734375,220.5,450.734375,234.5,,2,v
46,450.828125,220.5,464.828125,234.5,,2,e
47,465.15625,220.5,475.15625,234.5,,2,r
48,475.609375,215.5,490.609375,234.5,,2,h
49,490.703125,220.5,504.703125,234.5,,2,e
50,504.734375,220.5,518.734375,234.5,,2,a
51,519.109375,215.5,534.109375,234.5,,2,d
52,533.8125,231.5,540.8125,237.5,,2,","
53,540.3125,234.5,547.3125,234.5,,2, 
54,547.3125,220.5,559.3125,234.5,,2,c
55,559.34375,220.5,573.34375,234.5,,2,a
56,573.3125,220.5,585.3125,234.5,,2,s
57,585.34375,217.5,594.34375,234.5,,2,t
58,594.796875,215.5,600.796875,234.5,,2,i
59,601.25,220.5,616.25,234.5,,2,n
60,616.625,220.5,631.625,240.5,,2,g
61,631.125,234.5,638.125,234.5,,2, 
62,638.15625,220.5,652.15625,234.5,,2,a
63,651.65625,234.5,658.65625,234.5,,2, 
64,658.625,220.5,670.625,234.5,,2,s
65,670.65625,217.5,679.65625,234.5,,2,t
66,679.75,220.5,693.75,234.5,,2,e
67,694.078125,220.5,704.078125,234.5,,2,r
68,704.53125,215.5,710.53125,234.5,,2,i
69,710.984375,215.5,716.984375,234.5,,2,l
70,717.078125,220.5,731.078125,234.5,,2,e
71,730.578125,234.5,737.578125,234.5,,2, 
72,737.953125,220.5,752.953125,240.5,,2,g
73,753.40625,215.5,759.40625,234.5,,2,l
74,759.53125,220.5,774.53125,234.5,,2,o
75,773.6875,220.5,793.6875,234.5,,2,w
76,793.1875,234.5,800.1875,234.5,,2, 
77,800.3125,220.5,815.3125,234.5,,2,o
78,814.515625,220.5,827.515625,234.5,,2,v
79,827.609375,220.5,841.609375,234.5,,2,e
80,841.9375,220.5,851.9375,234.5,,2,r
81,851.4375,234.5,858.4375,234.5,,2, 
82,858.46875,217.5,867.46875,234.5,,2,t
83,867.921875,215.5,882.921875,234.5,,2,h
84,883.015625,220.5,897.015625,234.5,,2,e
85,896.515625,234.5,903.515625,234.5,,2, 
86,903.515625,220.5,915.515625,234.5,,2,c
87,915.84375,220.5,925.84375,234.5,,2,r
88,925.46875,220.5,940.46875,234.5,,2,o
89,939.625,220.5,959.625,234.5,,2,w
90,960.0,215.5,975.0,234.5,,2,d
91,975.09375,220.5,989.09375,234.5,,2,e
92,989.46875,215.5,1004.46875,234.5,,2,d
93,50.0,290.5,62.0,304.5,,3,c
94,62.125,290.5,77.125,304.5,,3,o
95,77.578125,290.5,92.578125,304.5,,3,n
96,91.171875,285.5,101.171875,304.5,,3,f
97,101.265625,290.5,115.265625,304.5,,3,e
98,115.59375,290.5,125.59375,304.5,,3,r
99,125.1875,290.5,139.1875,304.5,,3,e
100,139.640625,290.5,154.640625,304.5,,3,n
101,154.640625,290.5,166.640625,304.5,,3,c
102,166.734375,290.5,180.734375,304.5,,3,e
103,180.234375,304.5,187.234375,304.5,,3, 
104,187.5625,290.5,197.5625,304.5,,3,r
105,197.1875,290.5,212.1875,304.5,,3,o
106,212.3125,290.5,227.3125,304.5,,3,o
107,227.6875,290.5,250.6875,304.5,,3,m
108,250.390625,301.5,257.390625,304.5,,3,.
109,256.890625,304.5,263.890625,304.5,,3, 
110,263.796875,286.5,277.796875,304.5,,3,T
111,278.25,285.5,293.25,304.5,,3,h
112,293.34375,290.5,307.34375,304.5,,3,e
113,306.84375,304.5,313.84375,304.5,,3, 
114,313.875,290.5,327.875,304.5,,3,a
115,328.328125,285.5,334.328125,304.5,,3,i
116,334.65625,290.5,344.65625,304.5,,3,r
117,344.15625,304.5,351.15625,304.5,,3, 
118,350.8125,290.5,370.8125,304.5,,3,w
119,370.84375,290.5,384.84375,304.5,,3,a
120,384.8125,290.5,396.8125,304.5,,3,s
121,396.3125,304.5,403.3125,304.5,,3, 
122,403.34375,287.5,412.34375,304.5,,3,t
123,412.796875,285.5,427.796875,304.5,,3,h
124,428.25,285.5,434.25,304.5,,3,i
125,434.25,290.5,446.25,304.5,,3,c
126,445.59375,285.5,459.59375,304.5,,3,k
127,459.09375,304.5,466.09375,304.5,,3, 
128,465.75,290.5,485.75,304.5,,3,w
129,486.203125,285.5,492.203125,304.5,,3,i
130,492.234375,287.5,501.234375,304.5,,3,t
131,501.6875,285.5,516.6875,304.5,,3,h
132,516.1875,304.5,523.1875,304.5,,3, 
133,523.21875,287.5,532.21875,304.5,,3,t
134,532.671875,285.5,547.671875,304.5,,3,h
135,547.765625,290.5,561.765625,304.5,,3,e
136,561.265625,304.5,568.265625,304.5,,3, 
137,568.234375,290.5,580.234375,304.5,,3,s
138,580.234375,290.5,592.234375,304.5,,3,c
139,592.328125,290.5,606.328125,304.5,,3,e
140,606.78125,290.5,621.78125,304.5,,3,n
141,621.8125,287.5,630.8125,304.5,,3,t
142,630.3125,304.5,637.3125,304.5,,3, 
143,637.4375,290.5,652.4375,304.5,,3,o
144,651.03125,285.5,661.03125,304.5,,3,f
