index,left,top,right,bottom,section,line,content
1320,50.03125,77.5,59.03125,94.5,,0,t
1321,59.484375,75.5,74.484375,94.5,,0,h
1322,74.515625,80.5,88.515625,94.5,,0,a
1323,88.546875,77.5,97.546875,94.5,,0,t
1324,97.046875,94.5,104.046875,94.5,,0, 
1325,104.421875,80.5,127.421875,94.5,,0,m
1326,127.453125,80.5,141.453125,94.5,,0,a
1327,141.828125,75.5,156.828125,94.5,,0,d
1328,156.921875,80.5,170.921875,94.5,,0,e
1329,170.421875,94.5,177.421875,94.5,,0, 
1330,177.875,75.5,192.875,94.5,,0,h
1331,192.96875,80.5,206.96875,94.5,,0,e
1332,207.296875,80.5,217.296875,94.5,,0,r
1333,216.796875,94.5,223.796875,94.5,,0, 
1334,224.25,75.5,239.25,94.5,,0,h
1335,239.34375,80.5,253.34375,94.5,,0,e
1336,253.375,80.5,267.375,94.5,,0,a
1337,267.703125,80.5,277.703125,94.5,,0,r
1338,277.734375,77.5,286.734375,94.5,,0,t
1339,286.234375,94.5,293.234375,94.5,,0, 
1340,293.203125,80.5,305.203125,94.5,,0,s
1341,305.65625,75.5,311.65625,94.5,,0,i
1342,312.109375,80.5,327.109375,94.5,,0,n
1343,326.453125,75.5,340.453125,94.5,,0,k
1344,340.15625,91.5,347.15625,94.5,,0,.
1345,346.65625,94.5,353.65625,94.5,,0, 
1346,353.625,76.5,369.625,94.5,,0,A
1347,369.59375,80.5,381.59375,94.5,,0,s
1348,381.09375,94.5,388.09375,94.5,,0, 
1349,388.0625,80.5,400.0625,94.5,,0,s
1350,400.515625,75.5,415.515625,94.5,,0,h
1351,415.609375,80.5,429.609375,94.5,,0,e
1352,429.109375,94.5,436.109375,94.5,,0, 
1353,436.5625,75.5,442.5625,94.5,,0,l
1354,442.6875,80.5,457.6875,94.5,,0,o
1355,457.8125,80.5,472.8125,94.5,,0,o
1356,472.15625,75.5,486.15625,94.5,,0,k
1357,486.25,80.5,500.25,94.5,,0,e
1358,500.625,75.5,515.625,94.5,,0,d
1359,515.125,94.5,522.125,94.5,,0, 
1360,522.25,80.5,537.25,94.5,,0,o
1361,537.703125,80.5,552.703125,94.5,,0,u
1362,552.734375,77.5,561.734375,94.5,,0,t
1363,561.234375,94.5,568.234375,94.5,,0, 
1364,568.265625,80.5,582.265625,94.5,,0,a
1365,582.296875,77.5,591.296875,94.5,,0,t
1366,590.796875,94.5,597.796875,94.5,,0, 
1367,597.828125,77.5,606.828125,94.5,,0,t
1368,607.28125,75.5,622.28125,94.5,,0,h
1369,622.375,80.5,636.375,94.5,,0,e
1370,635.875,94.5,642.875,94.5,,0, 
1371,642.875,80.5,654.875,94.5,,0,c
1372,655.203125,80.5,665.203125,94.5,,0,r
1373,664.828125,80.5,679.828125,94.5,,0,o
1374,678.984375,80.5,698.984375,94.5,,0,w
1375,699.359375,75.5,714.359375,94.5,,0,d
1376,714.0625,91.5,721.0625,97.5,,0,","
