index,left,top,right,bottom,section,line,content
268,43.53125,50,100.984375,120.0,,0,that
269,100.984375,50,174.3984375,120.0,,0,made
270,174.3984375,50,220.7734375,120.0,,0,her
271,220.7734375,50,289.96875,120.0,,0,heart
272,289.96875,50,350.390625,120.0,,0,sink.
273,350.390625,50,384.828125,120.0,,0,As
274,384.828125,50,433.0859375,120.0,,0,she
275,433.0859375,50,518.9375,120.0,,0,looked
276,518.9375,50,565.0,120.0,,0,out
277,565.0,50,594.5625,120.0,,0,at
278,594.5625,50,639.625,120.0,,0,the
279,639.625,50,724.296875,120.0,,0,"crowd,"
280,724.296875,50,772.3125,120.0,,0,she
281,772.3125,50,824.5,120.0,,0,saw
282,824.5,50,844.3125,120.0,,0,a
283,844.3125,50,921.296875,120.0,,0,figure
284,921.296875,50,1034.203125,120.0,,0,standing
285,43.953125,120.0,75.171875,190.0,,1,in
286,75.171875,120.0,119.53125,190.0,,1,the
287,119.53125,120.0,184.9296875,190.0,,1,front
288,184.9296875,120.0,241.09375,190.0,,1,"row,"
289,241.09375,120.0,260.90625,190.0,,1,a
290,260.90625,120.0,337.890625,190.0,,1,figure
291,337.890625,120.0,386.1484375,190.0,,1,she
292,386.1484375,120.0,437.5078125,190.0,,1,had
293,437.5078125,120.0,509.9375,190.0,,1,never
294,509.9375,120.0,572.25,190.0,,1,seen
295,572.25,120.0,662.609375,190.0,,1,before.
296,662.609375,120.0,686.203125,190.0,,1,It
297,686.203125,120.0,738.546875,190.0,,1,was
298,738.546875,120.0,758.890625,190.0,,1,a
299,758.890625,120.0,853.03125,190.0,,1,woman
300,853.03125,120.0,910.3125,190.0,,1,with
301,910.3125,120.0,930.5,190.0,,1,a
302,930.5,120.0,987.25,190.0,,1,kind
303,987.25,120.0,1046.421875,190.0,,1,face
304,43.53125,190.0,98.125,260.0,,2,and
305,98.125,190.0,118.46875,260.0,,2,a
306,118.46875,190.0,192.515625,260.0,,2,warm
307,192.515625,190.0,268.09375,260.0,,2,"smile,"
308,268.09375,190.0,319.421875,260.0,,2,and
309,319.421875,190.0,367.4375,260.0,,2,she
310,367.4375,190.0,466.96875,260.0,,2,seemed
311,466.96875,190.0,497.796875,260.0,,2,to
312,497.796875,190.0,533.40625,260.0,,2,be
313,533.40625,190.0,626.7578125,260.0,,2,waiting
314,626.7578125,190.0,675.234375,260.0,,2,just
315,675.234375,190.0,716.4375,260.0,,2,for
316,716.4375,190.0,807.625,260.0,,2,Emma.
317,43.46875,330.0,81.203125,400.0,,4,As
318,81.203125,330.0,126.09375,400.0,,4,the
319,126.09375,330.0,220.59375,400.0,,4,woman
320,220.59375,330.0,294.0078125,400.0,,4,made
321,294.0078125,330.0,339.984375,400.0,,4,her
322,339.984375,330.0,393.3203125,400.0,,4,way
323,393.3203125,330.0,430.4375,400.0,,4,up
324,430.4375,330.0,461.09375,400.0,,4,to
325,461.09375,330.0,506.140625,400.0,,4,the
