index,left,top,right,bottom,section,line,content
1330,50.453125,75.5,56.453125,94.5,,0,i
1331,56.90625,80.5,71.90625,94.5,,0,n
1332,71.9375,77.5,80.9375,94.5,,0,t
1333,81.265625,80.5,91.265625,94.5,,0,r
1334,91.71875,75.5,97.71875,94.5,,0,i
1335,97.71875,80.5,109.71875,94.5,,0,c
1336,109.75,80.5,123.75,94.5,,0,a
1337,123.78125,77.5,132.78125,94.5,,0,t
1338,132.875,80.5,146.875,94.5,,0,e
1339,147.328125,75.5,153.328125,94.5,,0,l
1340,153.078125,80.5,166.078125,100.5,,0,y
1341,165.578125,94.5,172.578125,94.5,,0, 
1342,172.578125,80.5,184.578125,94.5,,0,c
1343,184.609375,80.5,198.609375,94.5,,0,a
1344,198.9375,80.5,208.9375,94.5,,0,r
1345,208.640625,80.5,221.640625,94.5,,0,v
1346,221.734375,80.5,235.734375,94.5,,0,e
1347,236.109375,75.5,251.109375,94.5,,0,d
1348,250.609375,94.5,257.609375,94.5,,0, 
1349,257.265625,80.5,277.265625,94.5,,0,w
1350,277.390625,80.5,292.390625,94.5,,0,o
1351,292.515625,80.5,307.515625,94.5,,0,o
1352,307.890625,75.5,322.890625,94.5,,0,d
1353,322.984375,80.5,336.984375,94.5,,0,e
1354,337.4375,80.5,352.4375,94.5,,0,n
1355,351.9375,94.5,358.9375,94.5,,0, 
1356,357.53125,75.5,367.53125,94.5,,0,f
1357,367.984375,75.5,373.984375,94.5,,0,i
1358,374.359375,80.5,389.359375,100.5,,0,g
1359,389.8125,80.5,404.8125,94.5,,0,u
1360,405.140625,80.5,415.140625,94.5,,0,r
1361,415.59375,75.5,421.59375,94.5,,0,i
1362,422.046875,80.5,437.046875,94.5,,0,n
1363,437.140625,80.5,451.140625,94.5,,0,e
1364,450.640625,94.5,457.640625,94.5,,0, 
1365,457.609375,80.5,469.609375,94.5,,0,s
1366,470.0625,75.5,485.0625,94.5,,0,h
1367,485.15625,80.5,499.15625,94.5,,0,e
1368,498.53125,76.5,504.53125,94.5,,0,'
1369,503.40625,75.5,518.40625,94.5,,0,d
1370,517.90625,94.5,524.90625,94.5,,0, 
1371,524.90625,80.5,536.90625,94.5,,0,c
1372,537.234375,80.5,547.234375,94.5,,0,r
1373,546.828125,80.5,560.828125,94.5,,0,e
1374,560.859375,80.5,574.859375,94.5,,0,a
1375,574.890625,77.5,583.890625,94.5,,0,t
1376,583.984375,80.5,597.984375,94.5,,0,e
1377,598.359375,75.5,613.359375,94.5,,0,d
1378,612.859375,94.5,619.859375,94.5,,0, 
1379,619.609375,80.5,632.609375,100.5,,0,y
1380,632.703125,80.5,646.703125,94.5,,0,e
1381,646.734375,80.5,660.734375,94.5,,0,a
1382,661.0625,80.5,671.0625,94.5,,0,r
1383,671.03125,80.5,683.03125,94.5,,0,s
1384,682.53125,94.5,689.53125,94.5,,0, 
1385,689.5625,80.5,703.5625,94.5,,0,a
1386,703.9375,80.5,718.9375,100.5,,0,g
1387,719.0625,80.5,734.0625,94.5,,0,o
1388,733.765625,91.5,740.765625,94.5,,0,.
1389,740.265625,94.5,747.265625,94.5,,0, 
1390,746.984375,76.5,760.984375,94.5,,0,S
1391,761.4375,75.5,776.4375,94.5,,0,h
1392,776.53125,80.5,790.53125,94.5,,0,e
1393,790.03125,94.5,797.03125,94.5,,0, 
1394,797.03125,80.5,809.03125,94.5,,0,c
1395,809.484375,75.5,815.484375,94.5,,0,l
1396,815.9375,75.5,821.9375,94.5,,0,i
1397,821.9375,80.5,833.9375,94.5,,0,c
1398,833.28125,75.5,847.28125,94.5,,0,k
1399,847.375,80.5,861.375,94.5,,0,e
1400,861.75,75.5,876.75,94.5,,0,d
1401,876.25,94.5,883.25,94.5,,0, 
1402,883.21875,80.5,895.21875,94.5,,0,s
1403,895.671875,80.5,910.671875,94.5,,0,u
1404,911.046875,75.5,926.046875,94.5,,0,b
1405,926.421875,80.5,949.421875,94.5,,0,m
1406,949.875,75.5,955.875,94.5,,0,i
1407,955.90625,77.5,964.90625,94.5,,0,t
1408,964.609375,91.5,971.609375,97.5,,0,","
1409,971.109375,94.5,978.109375,94.5,,0, 
1410,978.140625,80.5,992.140625,94.5,,0,a
1411,992.59375,80.5,1007.59375,94.5,,0,n
1412,1007.96875,75.5,1022.96875,94.5,,0,d
1413,49.65625,150.5,69.65625,164.5,,1,w
1414,69.6875,150.5,83.6875,164.5,,1,a
1415,84.140625,145.5,90.140625,164.5,,1,i
1416,90.171875,147.5,99.171875,164.5,,1,t
1417,99.265625,150.5,113.265625,164.5,,1,e
1418,113.640625,145.5,128.640625,164.5,,1,d
1419,128.34375,161.5,135.34375,164.5,,1,.
1420,50.25,286.5,73.25,304.5,,3,W
1421,72.84375,290.5,86.84375,304.5,,3,e
1422,86.9375,290.5,100.9375,304.5,,3,e
1423,100.28125,285.5,114.28125,304.5,,3,k
1424,114.25,290.5,126.25,304.5,,3,s
1425,125.75,304.5,132.75,304.5,,3, 
1426,133.125,290.5,148.125,310.5,,3,p
1427,148.15625,290.5,162.15625,304.5,,3,a
1428,162.125,290.5,174.125,304.5,,3,s
1429,174.09375,290.5,186.09375,304.5,,3,s
1430,186.1875,290.5,200.1875,304.5,,3,e
1431,200.5625,285.5,215.5625,304.5,,3,d
1432,215.265625,301.5,222.265625,307.5,,3,","
1433,221.765625,304.5,228.765625,304.5,,3, 
1434,228.796875,290.5,242.796875,304.5,,3,a
1435,243.25,290.5,258.25,304.5,,3,n
1436,258.625,285.5,273.625,304.5,,3,d
1437,273.125,304.5,280.125,304.5,,3, 
1438,280.03125,286.5,294.03125,304.5,,3,E
1439,294.40625,290.5,317.40625,304.5,,3,m
1440,317.78125,290.5,340.78125,304.5,,3,m
1441,340.8125,290.5,354.8125,304.5,,3,a
1442,354.3125,304.5,361.3125,304.5,,3, 
1443,359.90625,285.5,369.90625,304.5,,3,f
1444,370.03125,290.5,385.03125,304.5,,3,o
1445,385.359375,290.5,395.359375,304.5,,3,r
1446,395.484375,290.5,410.484375,310.5,,3,g
1447,410.609375,290.5,425.609375,304.5,,3,o
1448,425.640625,287.5,434.640625,304.5,,3,t
1449,434.140625,304.5,441.140625,304.5,,3, 
1450,441.171875,290.5,455.171875,304.5,,3,a
1451,455.546875,285.5,470.546875,304.5,,3,b
1452,470.671875,290.5,485.671875,304.5,,3,o
1453,486.125,290.5,501.125,304.5,,3,u
1454,501.15625,287.5,510.15625,304.5,,3,t
1455,509.65625,304.5,516.65625,304.5,,3, 
1456,516.6875,287.5,525.6875,304.5,,3,t
1457,526.140625,285.5,541.140625,304.5,,3,h
1458,541.234375,290.5,555.234375,304.5,,3,e
1459,554.734375,304.5,561.734375,304.5,,3, 
1460,561.734375,290.5,573.734375,304.5,,3,c
1461,573.859375,290.5,588.859375,304.5,,3,o
1462,589.3125,290.5,604.3125,304.5,,3,n
1463,604.34375,287.5,613.34375,304.5,,3,t
1464,613.4375,290.5,627.4375,304.5,,3,e
1465,627.40625,290.5,639.40625,304.5,,3,s
1466,639.4375,287.5,648.4375,304.5,,3,t
1467,647.9375,304.5,654.9375,304.5,,3, 
1468,654.96875,290.5,668.96875,304.5,,3,a
1469,669.421875,285.5,675.421875,304.5,,3,l
1470,675.453125,287.5,684.453125,304.5,,3,t
1471,684.578125,290.5,699.578125,304.5,,3,o
1472,699.953125,290.5,714.953125,310.5,,3,g
1473,715.046875,290.5,729.046875,304.5,,3,e
1474,729.078125,287.5,738.078125,304.5,,3,t
1475,738.53125,285.5,753.53125,304.5,,3,h
1476,753.625,290.5,767.625,304.5,,3,e
1477,767.953125,290.5,777.953125,304.5,,3,r
1478,773.65625,301.5,780.65625,304.5,,3,.
1479,780.15625,304.5,787.15625,304.5,,3, 
1480,787.0625,286.5,801.0625,304.5,,3,T
1481,801.515625,285.5,816.515625,304.5,,3,h
1482,816.609375,290.5,830.609375,304.5,,3,e
1483,831.0625,290.5,846.0625,304.5,,3,n
1484,845.765625,301.5,852.765625,307.5,,3,","
1485,852.265625,304.5,859.265625,304.5,,3, 
1486,859.390625,290.5,874.390625,304.5,,3,o
1487,874.84375,290.5,889.84375,304.5,,3,n
1488,889.9375,290.5,903.9375,304.5,,3,e
1489,903.4375,304.5,910.4375,304.5,,3, 
1490,910.8125,290.5,933.8125,304.5,,3,m
1491,933.9375,290.5,948.9375,304.5,,3,o
1492,949.265625,290.5,959.265625,304.5,,3,r
1493,959.71875,290.5,974.71875,304.5,,3,n
1494,975.171875,285.5,981.171875,304.5,,3,i
1495,981.625,290.5,996.625,304.5,,3,n
1496,997.0,290.5,1012.0,310.5,,3,g
1497,1011.703125,301.5,1018.703125,307.5,,3,","
1498,50.03125,357.5,59.03125,374.5,,4,t
1499,59.484375,355.5,74.484375,374.5,,4,h
1500,74.578125,360.5,88.578125,374.5,,4,e
1501,88.078125,374.5,95.078125,374.5,,4, 
1502,93.671875,355.5,103.671875,374.5,,4,f
1503,104.125,355.5,110.125,374.5,,4,i
1504,110.5,360.5,125.5,380.5,,4,g
1505,125.953125,360.5,140.953125,374.5,,4,u
1506,141.28125,360.5,151.28125,374.5,,4,r
1507,151.734375,355.5,157.734375,374.5,,4,i
1508,158.1875,360.5,173.1875,374.5,,4,n
1509,173.28125,360.5,187.28125,374.5,,4,e
1510,186.78125,374.5,193.78125,374.5,,4, 
1511,193.8125,360.5,207.8125,374.5,,4,a
1512,208.140625,360.5,218.140625,374.5,,4,r
1513,218.46875,360.5,228.46875,374.5,,4,r
1514,228.921875,355.5,234.921875,374.5,,4,i
1515,234.625,360.5,247.625,374.5,,4,v
1516,247.71875,360.5,261.71875,374.5,,4,e
1517,262.09375,355.5,277.09375,374.5,,4,d
1518,276.59375,374.5,283.59375,374.5,,4, 
1519,283.625,360.5,297.625,374.5,,4,a
1520,297.65625,357.5,306.65625,374.5,,4,t
1521,306.15625,374.5,313.15625,374.5,,4, 
1522,313.609375,355.5,328.609375,374.5,,4,h
1523,328.703125,360.5,342.703125,374.5,,4,e
1524,343.03125,360.5,353.03125,374.5,,4,r
1525,352.53125,374.5,359.53125,374.5,,4, 
1526,359.90625,355.5,374.90625,374.5,,4,d
1527,375.03125,360.5,390.03125,374.5,,4,o
1528,390.15625,360.5,405.15625,374.5,,4,o
1529,405.484375,360.5,415.484375,374.5,,4,r
1530,415.453125,360.5,427.453125,374.5,,4,s
1531,427.484375,357.5,436.484375,374.5,,4,t
1532,436.578125,360.5,450.578125,374.5,,4,e
1533,450.953125,360.5,465.953125,380.5,,4,p
1534,465.65625,371.5,472.65625,377.5,,4,","
1535,472.15625,374.5,479.15625,374.5,,4, 
1536,479.609375,360.5,494.609375,374.5,,4,u
1537,495.0625,360.5,510.0625,374.5,,4,n
1538,510.09375,360.5,524.09375,374.5,,4,a
1539,524.546875,360.5,539.546875,374.5,,4,n
1540,540.0,360.5,555.0,374.5,,4,n
1541,555.125,360.5,570.125,374.5,,4,o
1542,570.578125,360.5,585.578125,374.5,,4,u
1543,586.03125,360.5,601.03125,374.5,,4,n
1544,601.03125,360.5,613.03125,374.5,,4,c
1545,613.125,360.5,627.125,374.5,,4,e
1546,627.5,355.5,642.5,374.5,,4,d
1547,642.0,374.5,649.0,374.5,,4, 
1548,649.03125,360.5,663.03125,374.5,,4,a
1549,663.484375,360.5,678.484375,374.5,,4,n
1550,678.859375,355.5,693.859375,374.5,,4,d
1551,693.359375,374.5,700.359375,374.5,,4, 
1552,700.8125,360.5,715.8125,374.5,,4,u
1553,716.265625,360.5,731.265625,374.5,,4,n
1554,731.59375,360.5,741.59375,374.5,,4,r
1555,741.1875,360.5,755.1875,374.5,,4,e
1556,755.5625,360.5,778.5625,374.5,,4,m
1557,778.59375,360.5,792.59375,374.5,,4,a
1558,792.921875,360.5,802.921875,374.5,,4,r
1559,802.265625,355.5,816.265625,374.5,,4,k
1560,816.296875,360.5,830.296875,374.5,,4,a
1561,830.671875,355.5,845.671875,374.5,,4,b
1562,846.125,355.5,852.125,374.5,,4,l
1563,852.21875,360.5,866.21875,374.5,,4,e
1564,865.921875,371.5,872.921875,374.5,,4,.
1565,872.421875,374.5,879.421875,374.5,,4, 
1566,879.890625,356.5,887.890625,374.5,,4,I
1567,888.34375,360.5,903.34375,374.5,,4,n
1568,903.3125,360.5,915.3125,374.5,,4,s
1569,915.765625,355.5,921.765625,374.5,,4,i
1570,922.140625,355.5,937.140625,374.5,,4,d
1571,937.234375,360.5,951.234375,374.5,,4,e
1572,950.9375,371.5,957.9375,377.5,,4,","
1573,957.4375,374.5,964.4375,374.5,,4, 
1574,964.46875,360.5,978.46875,374.5,,4,a
1575,977.96875,374.5,984.96875,374.5,,4, 
1576,984.9375,360.5,996.9375,374.5,,4,s
1577,997.3125,360.5,1020.3125,374.5,,4,m
1578,1020.34375,360.5,1034.34375,374.5,,4,a
1579,1034.796875,355.5,1040.796875,374.5,,4,l
1580,1041.25,355.5,1047.25,374.5,,4,l
1581,50.453125,430.5,65.453125,444.5,,5,n
1582,65.578125,430.5,80.578125,444.5,,5,o
1583,80.609375,427.5,89.609375,444.5,,5,t
1584,89.703125,430.5,103.703125,444.5,,5,e
1585,103.203125,444.5,110.203125,444.5,,5, 
1586,110.53125,430.5,120.53125,444.5,,5,r
1587,120.125,430.5,134.125,444.5,,5,e
1588,134.15625,430.5,148.15625,444.5,,5,a
1589,148.53125,425.5,163.53125,444.5,,5,d
1590,163.234375,430.5,170.234375,444.5,,5,:
1591,169.734375,444.5,176.734375,444.5,,5, 
1592,176.9375,426.5,186.9375,444.5,,5,""""
1593,186.734375,426.5,202.734375,444.5,,5,C
1594,202.859375,430.5,217.859375,444.5,,5,o
1595,218.3125,430.5,233.3125,444.5,,5,n
1596,233.6875,430.5,248.6875,450.5,,5,g
1597,249.015625,430.5,259.015625,444.5,,5,r
1598,258.546875,430.5,272.546875,444.5,,5,a
