index,left,top,right,bottom,section,line,content
351,43.75,50,107.453125,120.0,,0,With
352,107.453125,50,128.1953125,120.0,,0,a
353,128.1953125,50,203.7265625,120.0,,0,heavy
354,203.7265625,50,279.59375,120.0,,0,"heart,"
355,279.59375,50,360.8125,120.0,,0,Emma
356,360.8125,50,446.0625,120.0,,0,signed
357,446.0625,50,491.125,120.0,,0,the
358,491.125,50,600.8125,120.0,,0,"contract,"
359,600.8125,50,761.7578125,120.0,,0,surrendering
360,761.7578125,50,807.921875,120.0,,0,her
361,807.921875,50,943.703125,120.0,,0,"autonomy,"
362,43.5,120.0,165.34375,190.0,,1,"creativity,"
363,165.34375,120.0,216.671875,190.0,,1,and
364,216.671875,120.0,290.828125,190.0,,1,sense
365,290.828125,120.0,320.96875,190.0,,1,of
366,320.96875,120.0,374.75,190.0,,1,self.
367,374.75,120.0,424.578125,190.0,,1,The
368,424.578125,120.0,525.375,190.0,,1,wooden
369,525.375,120.0,631.546875,190.0,,1,"figurine,"
370,631.546875,120.0,694.671875,190.0,,1,once
371,694.671875,120.0,715.171875,190.0,,1,a
372,715.171875,120.0,806.796875,190.0,,1,symbol
373,806.796875,120.0,837.1796875,190.0,,1,of
374,837.1796875,120.0,883.515625,190.0,,1,her
375,883.515625,120.0,1023.765625,190.0,,1,"mediocrity,"
376,43.953125,190.0,102.96875,260.0,,2,now
377,102.96875,190.0,202.7109375,260.0,,2,seemed
378,202.7109375,190.0,249.34375,260.0,,2,like
379,249.34375,190.0,269.859375,260.0,,2,a
380,269.859375,190.0,334.9140625,260.0,,2,cruel
381,334.9140625,190.0,396.6796875,260.0,,2,joke.
382,396.6796875,190.0,535.5390625,260.0,,2,"Runner-up,"
383,535.5390625,190.0,632.609375,260.0,,2,indeed.
